lag_model,lags,n_lags,n_tables,median_coef_s2_over_s1,median_coef_s3_over_s1,mean_cv_r2_energy,mean_train_r2_energy
instant,0,1,96,9.20461736976766e-05,,-0.0019008007179300357,0.00382680928455887
lag0_1,"0,1",2,96,0.16416100060412753,4.816863328721074e-05,-0.006996320895077301,0.006905885462184702
lag0_1_2,"0,1,2",3,96,0.17842057385703952,0.07908100775963813,-0.016135896831651713,0.010734927842403664
lag0_1_2_4,"0,1,2,4",4,96,0.31617432622588765,0.09817587812471817,-0.03491047165903646,0.02030853076038253
lag0_1_2_4_8,"0,1,2,4,8",5,96,0.2763382530953434,0.13937785336439398,-0.05750778422804936,0.04921016099582865
