latent,feature_space_mode,observer_mode,observer_label,observation_scale,prior_family,n,mean_feature_cosine,median_feature_cosine,mean_feature_mse,median_feature_mse,mean_feature_rmse,median_feature_pred_norm,median_feature_true_norm
pyramid_local_field,fold_centered_whitened_pca,hidden_eye_prior_mean,prior mean,0.5,axis_edge_orthogonal,2,0.006040070328875269,0.006040070328875269,2.1188114270473304,2.1188114270473304,1.435373787587786,2.8835640047929125,2.834794497828231
pyramid_local_field,fold_zscore_pca,hidden_eye_prior_mean,prior mean,0.5,axis_edge_orthogonal,2,-0.07988456420264045,-0.07988456420264045,91.9226911107418,91.9226911107418,9.578321090694219,12.785945984062932,22.973261331157595
pyramid_local_field,fold_zscore_whitened_pca,hidden_eye_prior_mean,prior mean,0.5,axis_edge_orthogonal,2,0.06571305464366449,0.06571305464366449,1.4277144853995638,1.4277144853995638,1.181799976295511,2.4811241672113704,2.388372158990052
pyramid_local_field,global_centered_whitened_pca,hidden_eye_prior_mean,prior mean,0.5,axis_edge_orthogonal,2,-0.0034453077157116166,-0.0034453077157116166,2.794695346621247,2.794695346621247,1.669958161329244,2.875790455277529,3.73124538299139
pyramid_local_field,fold_centered_whitened_pca,hidden_eye_tau_marginal,hidden eye,0.5,axis_edge_orthogonal,2,0.026031691696700027,0.026031691696700027,1.7461088869285386,1.7461088869285386,1.3088989008628702,2.4109148000731446,2.834794497828231
pyramid_local_field,fold_zscore_pca,hidden_eye_tau_marginal,hidden eye,0.5,axis_edge_orthogonal,2,-0.09136751962825088,-0.09136751962825088,79.94476063556819,79.94476063556819,8.924291053409082,8.840578224829265,22.973261331157595
pyramid_local_field,fold_zscore_whitened_pca,hidden_eye_tau_marginal,hidden eye,0.5,axis_edge_orthogonal,2,0.026714214454407442,0.026714214454407442,1.1536035271597902,1.1536035271597902,1.073146202940828,1.9415900416480565,2.388372158990052
pyramid_local_field,global_centered_whitened_pca,hidden_eye_tau_marginal,hidden eye,0.5,axis_edge_orthogonal,2,0.025817201282141523,0.025817201282141523,2.3865106357766868,2.3865106357766868,1.544294978571494,2.3952622058328794,3.73124538299139
pyramid_local_field,fold_centered_whitened_pca,known_eye,known eye,0.5,axis_edge_orthogonal,2,0.6721686143751799,0.6721686143751799,3.615153524683656,3.615153524683656,1.7385630534249754,5.277620934017466,2.834794497828231
pyramid_local_field,fold_zscore_pca,known_eye,known eye,0.5,axis_edge_orthogonal,2,0.6565669080909091,0.6565669080909091,43.16408897198899,43.16408897198899,6.5615697115033464,10.47145436164179,22.973261331157595
