latent,feature_space_mode,contrast,lhs,rhs,observation_scale,prior_family,mean_feature_cosine_delta,ci_low,ci_high,fraction_positive,n
pyramid_local_field,fold_zscore_pca,hidden_minus_zero_eye_model,hidden_eye_tau_marginal,zero_eye_on_motion,all,all,0.09261539754697638,-0.23187264915487107,0.3333094436417054,0.75,8
pyramid_local_field,fold_zscore_whitened_pca,hidden_minus_zero_eye_model,hidden_eye_tau_marginal,zero_eye_on_motion,all,all,0.2719181765398453,-0.07667214051428606,0.5963196670956687,0.75,8
pyramid_local_field,global_centered_whitened_pca,hidden_minus_zero_eye_model,hidden_eye_tau_marginal,zero_eye_on_motion,all,all,-0.06266790285922366,-0.27173126112765533,0.09386588083041408,0.5,8
pyramid_local_field,fold_centered_whitened_pca,known_minus_zero_eye_model,known_eye,zero_eye_on_motion,0.5,all,0.5533228148514193,0.1935143780872592,0.7892627733852948,1.0,4
pyramid_local_field,fold_zscore_pca,known_minus_zero_eye_model,known_eye,zero_eye_on_motion,0.5,all,0.5718644588272822,0.1339018730889597,0.859053039639297,0.5,4
pyramid_local_field,fold_zscore_whitened_pca,known_minus_zero_eye_model,known_eye,zero_eye_on_motion,0.5,all,0.5692958322678112,0.1757222023239084,0.9628694622117138,1.0,4
pyramid_local_field,global_centered_whitened_pca,known_minus_zero_eye_model,known_eye,zero_eye_on_motion,0.5,all,0.570751742904424,0.08240858427874354,0.943113401356505,1.0,4
pyramid_local_field,fold_centered_whitened_pca,known_minus_zero_eye_model,known_eye,zero_eye_on_motion,1.0,all,0.4796676811323925,0.4796676811323925,0.4796676811323925,1.0,2
pyramid_local_field,fold_zscore_pca,known_minus_zero_eye_model,known_eye,zero_eye_on_motion,1.0,all,0.651129826865333,0.651129826865333,0.651129826865333,1.0,2
pyramid_local_field,fold_zscore_whitened_pca,known_minus_zero_eye_model,known_eye,zero_eye_on_motion,1.0,all,0.8395802628077352,0.8395802628077352,0.8395802628077352,1.0,2
pyramid_local_field,global_centered_whitened_pca,known_minus_zero_eye_model,known_eye,zero_eye_on_motion,1.0,all,0.2912634512224265,0.2912634512224265,0.2912634512224265,1.0,2
pyramid_local_field,fold_centered_whitened_pca,known_minus_zero_eye_model,known_eye,zero_eye_on_motion,2.0,all,-0.5087935767302134,-0.5087935767302134,-0.5087935767302134,0.0,2
pyramid_local_field,fold_zscore_pca,known_minus_zero_eye_model,known_eye,zero_eye_on_motion,2.0,all,-0.27143910620810596,-0.27143910620810596,-0.27143910620810596,0.0,2
pyramid_local_field,fold_zscore_whitened_pca,known_minus_zero_eye_model,known_eye,zero_eye_on_motion,2.0,all,-0.37972842152921915,-0.37972842152921915,-0.37972842152921915,0.0,2
pyramid_local_field,global_centered_whitened_pca,known_minus_zero_eye_model,known_eye,zero_eye_on_motion,2.0,all,-0.7948859450243284,-0.7948859450243284,-0.7948859450243284,0.0,2
pyramid_local_field,fold_centered_whitened_pca,known_minus_zero_eye_model,known_eye,zero_eye_on_motion,all,all,0.26937993352625444,-0.018428445672834748,0.4939966788832184,0.75,8
