table_index,trial_id,response_cache_path,candidate_set_mode,observation_family,prior_family,observation_scale,axis_catalog_mode,n_candidates,n_prior_trajectories,n_timebins,n_units,true_candidate_index,true_source_row,true_candidate_id,observer_mode,observer_label,train_bank,test_input,latent,feature_space_mode,feature_fit_scope,feature_preprocessing,feature_whitened,feature_weighted,feature_variance_fraction,fold,n_train_samples,n_fit_sources,feature_mse,feature_neg_mse,feature_rmse,feature_l2_error,feature_cosine,feature_true_norm,feature_pred_norm
4,2,response_tables/trial_00002_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,per_candidate,4,16,40,756,0,25,source_row:25,hidden_eye_tau_marginal,hidden eye,prior_all,observed,pyramid_local_field,global_centered_whitened_pca,global,centered,True,False,0.40020061763128495,0,416,128,2.0782275836878195,-2.0782275836878195,1.4416059044301321,4.0774772432844495,0.4106436563657092,3.7174380186666656,3.7929948025389475
5,2,response_tables/trial_00002_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel2x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,2.0,per_candidate,4,16,40,756,0,25,source_row:25,hidden_eye_tau_marginal,hidden eye,prior_all,observed,pyramid_local_field,global_centered_whitened_pca,global,centered,True,False,0.40020061763128495,0,416,128,2.0782275836878195,-2.0782275836878195,1.4416059044301321,4.0774772432844495,0.4106436563657092,3.7174380186666656,3.7929948025389475
0,0,response_tables/trial_00000_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_parallel,0.5,per_candidate,4,16,40,756,0,25,source_row:25,hidden_eye_prior_mean,prior mean,prior_mean,observed,pyramid_local_field,global_centered_whitened_pca,global,centered,True,False,0.40020061763128495,0,26,128,2.5373898311987335,-2.5373898311987335,1.5929186517831768,4.505454322217668,0.040977710400022904,3.7174380186666656,2.702425880209527
1,0,response_tables/trial_00000_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,0.5,per_candidate,4,16,40,756,0,25,source_row:25,hidden_eye_prior_mean,prior mean,prior_mean,observed,pyramid_local_field,global_centered_whitened_pca,global,centered,True,False,0.40020061763128495,0,26,128,2.5373898311987335,-2.5373898311987335,1.5929186517831768,4.505454322217668,0.040977710400022904,3.7174380186666656,2.702425880209527
2,1,response_tables/trial_00001_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel1x.npz,hard_negative_structure,empirical,axis_edge_parallel,1.0,per_candidate,4,16,40,756,0,25,source_row:25,hidden_eye_prior_mean,prior mean,prior_mean,observed,pyramid_local_field,global_centered_whitened_pca,global,centered,True,False,0.40020061763128495,0,26,128,1.5712865001024046,-1.5712865001024046,1.2535096729193616,3.5454607600168466,0.32870000643207253,3.7174380186666656,1.7159256551572026
3,1,response_tables/trial_00001_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel1x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,1.0,per_candidate,4,16,40,756,0,25,source_row:25,hidden_eye_prior_mean,prior mean,prior_mean,observed,pyramid_local_field,global_centered_whitened_pca,global,centered,True,False,0.40020061763128495,0,26,128,1.5712865001024046,-1.5712865001024046,1.2535096729193616,3.5454607600168466,0.32870000643207253,3.7174380186666656,1.7159256551572026
4,2,response_tables/trial_00002_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,per_candidate,4,16,40,756,0,25,source_row:25,hidden_eye_prior_mean,prior mean,prior_mean,observed,pyramid_local_field,global_centered_whitened_pca,global,centered,True,False,0.40020061763128495,0,26,128,3.1230875145212535,-3.1230875145212535,1.7672259375986008,4.9984697774589,0.47523160498939643,3.7174380186666656,5.546377603877073
5,2,response_tables/trial_00002_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel2x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,2.0,per_candidate,4,16,40,756,0,25,source_row:25,hidden_eye_prior_mean,prior mean,prior_mean,observed,pyramid_local_field,global_centered_whitened_pca,global,centered,True,False,0.40020061763128495,0,26,128,3.1230875145212535,-3.1230875145212535,1.7672259375986008,4.9984697774589,0.47523160498939643,3.7174380186666656,5.546377603877073
0,0,response_tables/trial_00000_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_parallel,0.5,per_candidate,4,16,40,756,0,25,source_row:25,zero_eye_on_motion,zero-eye model,zero,observed,pyramid_local_field,global_centered_whitened_pca,global,centered,True,False,0.40020061763128495,0,26,128,5.55441496607525,-5.55441496607525,2.3567806359683225,6.66598227784938,0.7066090896614372,3.7174380186666656,8.751799886286424
1,0,response_tables/trial_00000_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,0.5,per_candidate,4,16,40,756,0,25,source_row:25,zero_eye_on_motion,zero-eye model,zero,observed,pyramid_local_field,global_centered_whitened_pca,global,centered,True,False,0.40020061763128495,0,26,128,5.55441496607525,-5.55441496607525,2.3567806359683225,6.66598227784938,0.7066090896614372,3.7174380186666656,8.751799886286424
2,1,response_tables/trial_00001_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel1x.npz,hard_negative_structure,empirical,axis_edge_parallel,1.0,per_candidate,4,16,40,756,0,25,source_row:25,zero_eye_on_motion,zero-eye model,zero,observed,pyramid_local_field,global_centered_whitened_pca,global,centered,True,False,0.40020061763128495,0,26,128,20.52111244819158,-20.52111244819158,4.530023448967078,12.812841198794773,0.548291920723853,3.7174380186666656,14.468204283680308
3,1,response_tables/trial_00001_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel1x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,1.0,per_candidate,4,16,40,756,0,25,source_row:25,zero_eye_on_motion,zero-eye model,zero,observed,pyramid_local_field,global_centered_whitened_pca,global,centered,True,False,0.40020061763128495,0,26,128,20.52111244819158,-20.52111244819158,4.530023448967078,12.812841198794773,0.548291920723853,3.7174380186666656,14.468204283680308
4,2,response_tables/trial_00002_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,per_candidate,4,16,40,756,0,25,source_row:25,zero_eye_on_motion,zero-eye model,zero,observed,pyramid_local_field,global_centered_whitened_pca,global,centered,True,False,0.40020061763128495,0,26,128,221.3195520034951,-221.3195520034951,14.87681256195342,42.077980179993915,0.2805490095629436,3.7174380186666656,42.96934434287944
5,2,response_tables/trial_00002_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel2x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,2.0,per_candidate,4,16,40,756,0,25,source_row:25,zero_eye_on_motion,zero-eye model,zero,observed,pyramid_local_field,global_centered_whitened_pca,global,centered,True,False,0.40020061763128495,0,26,128,221.3195520034951,-221.3195520034951,14.87681256195342,42.077980179993915,0.2805490095629436,3.7174380186666656,42.96934434287944
0,0,response_tables/trial_00000_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_parallel,0.5,per_candidate,4,16,40,756,0,25,source_row:25,zero_static,0x stabilized,zero,zero_static,pyramid_local_field,global_centered_whitened_pca,global,centered,True,False,0.40020061763128495,0,26,128,1.3894376721967046,-1.3894376721967046,1.1787441080220527,3.3339918082643267,0.6582323810366866,3.7174380186666656,4.259025800980396
1,0,response_tables/trial_00000_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,0.5,per_candidate,4,16,40,756,0,25,source_row:25,zero_static,0x stabilized,zero,zero_static,pyramid_local_field,global_centered_whitened_pca,global,centered,True,False,0.40020061763128495,0,26,128,1.3894376721967046,-1.3894376721967046,1.1787441080220527,3.3339918082643267,0.6582323810366866,3.7174380186666656,4.259025800980396
2,1,response_tables/trial_00001_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel1x.npz,hard_negative_structure,empirical,axis_edge_parallel,1.0,per_candidate,4,16,40,756,0,25,source_row:25,zero_static,0x stabilized,zero,zero_static,pyramid_local_field,global_centered_whitened_pca,global,centered,True,False,0.40020061763128495,0,26,128,1.3894376721967046,-1.3894376721967046,1.1787441080220527,3.3339918082643267,0.6582323810366866,3.7174380186666656,4.259025800980396
