observer_mode,observer_label,train_bank,test_input,latent,feature_space_mode,fold,n_train_samples,n_fit_sources,n_test_rows,feature_dim,raw_feature_dim,response_dim,feature_fit_scope,feature_preprocessing,feature_whitened,feature_weighted,feature_variance_fraction,ridge,noise_variance,response_map_fro_norm,posterior_gain_fro_norm,interpretation
known_eye,known eye,known,observed,pyramid_local_field,global_centered_whitened_pca,0,26,128,6,8,3072,320,global,centered,True,False,0.40020061763128495,0.01,4.557548247285721e-05,0.27720276443239444,107.98342497429987,Feature posterior from measured-motion response family.
hidden_eye_tau_marginal,hidden eye,prior_all,observed,pyramid_local_field,global_centered_whitened_pca,0,416,128,6,8,3072,320,global,centered,True,False,0.40020061763128495,0.01,5.625533660228048e-05,0.19656327757600892,73.29924443474755,Feature posterior after treating trajectory as nuisance variation.
hidden_eye_prior_mean,prior mean,prior_mean,observed,pyramid_local_field,global_centered_whitened_pca,0,26,128,6,8,3072,320,global,centered,True,False,0.40020061763128495,0.01,1.9672063938067593e-05,0.12969041920569216,145.55629279664578,A stricter hidden-eye baseline trained on trajectory-averaged responses.
zero_eye_on_motion,zero-eye model,zero,observed,pyramid_local_field,global_centered_whitened_pca,0,26,128,6,8,3072,320,global,centered,True,False,0.40020061763128495,0.01,1.116113142500213e-08,0.1117519991441287,1079.988211782113,Zero-eye response model applied to moving-response observations.
zero_static,0x stabilized,zero,zero_static,pyramid_local_field,global_centered_whitened_pca,0,26,128,6,8,3072,320,global,centered,True,False,0.40020061763128495,0.01,1.116113142500213e-08,0.1117519991441287,1079.988211782113,Stabilized 0x counterfactual response and zero-eye response model.
known_eye,known eye,known,observed,pyramid_local_field,global_centered_whitened_pca,1,30,128,2,8,3072,320,global,centered,True,False,0.40020061763128495,0.01,5.2243072443572104e-05,0.09705914896255226,112.68070227096831,Feature posterior from measured-motion response family.
hidden_eye_tau_marginal,hidden eye,prior_all,observed,pyramid_local_field,global_centered_whitened_pca,1,480,128,2,8,3072,320,global,centered,True,False,0.40020061763128495,0.01,6.0377686188195906e-05,0.07555943747412043,95.93055891846488,Feature posterior after treating trajectory as nuisance variation.
hidden_eye_prior_mean,prior mean,prior_mean,observed,pyramid_local_field,global_centered_whitened_pca,1,30,128,2,8,3072,320,global,centered,True,False,0.40020061763128495,0.01,2.212300145887774e-05,0.07541787172430482,170.0269765826435,A stricter hidden-eye baseline trained on trajectory-averaged responses.
zero_eye_on_motion,zero-eye model,zero,observed,pyramid_local_field,global_centered_whitened_pca,1,30,128,2,8,3072,320,global,centered,True,False,0.40020061763128495,0.01,1e-08,0.03269685256747091,583.8493903598236,Zero-eye response model applied to moving-response observations.
zero_static,0x stabilized,zero,zero_static,pyramid_local_field,global_centered_whitened_pca,1,30,128,2,8,3072,320,global,centered,True,False,0.40020061763128495,0.01,1e-08,0.03269685256747091,583.8493903598236,Stabilized 0x counterfactual response and zero-eye response model.
known_eye,known eye,known,observed,pyramid_local_field,fold_centered_whitened_pca,0,26,127,6,8,3072,320,fold,centered,True,False,0.40198403445984127,0.01,4.552948749601441e-05,0.24770822597305558,107.45170707135146,Feature posterior from measured-motion response family.
hidden_eye_tau_marginal,hidden eye,prior_all,observed,pyramid_local_field,fold_centered_whitened_pca,0,416,127,6,8,3072,320,fold,centered,True,False,0.40198403445984127,0.01,5.625523488801928e-05,0.14360152024484132,77.02863067663895,Feature posterior after treating trajectory as nuisance variation.
hidden_eye_prior_mean,prior mean,prior_mean,observed,pyramid_local_field,fold_centered_whitened_pca,0,26,127,6,8,3072,320,fold,centered,True,False,0.40198403445984127,0.01,1.966486398679484e-05,0.11957955279784552,147.54961939526802,A stricter hidden-eye baseline trained on trajectory-averaged responses.
zero_eye_on_motion,zero-eye model,zero,observed,pyramid_local_field,fold_centered_whitened_pca,0,26,127,6,8,3072,320,fold,centered,True,False,0.40198403445984127,0.01,1e-08,0.10235577309268344,1055.1285772392653,Zero-eye response model applied to moving-response observations.
zero_static,0x stabilized,zero,zero_static,pyramid_local_field,fold_centered_whitened_pca,0,26,127,6,8,3072,320,fold,centered,True,False,0.40198403445984127,0.01,1e-08,0.10235577309268344,1055.1285772392653,Stabilized 0x counterfactual response and zero-eye response model.
known_eye,known eye,known,observed,pyramid_local_field,fold_centered_whitened_pca,1,30,127,2,8,3072,320,fold,centered,True,False,0.3990230435804969,0.01,5.224307631828614e-05,0.09912310611021352,113.33289505899987,Feature posterior from measured-motion response family.
hidden_eye_tau_marginal,hidden eye,prior_all,observed,pyramid_local_field,fold_centered_whitened_pca,1,480,127,2,8,3072,320,fold,centered,True,False,0.3990230435804969,0.01,6.0377686191752665e-05,0.07611639556246243,96.33627052965423,Feature posterior after treating trajectory as nuisance variation.
hidden_eye_prior_mean,prior mean,prior_mean,observed,pyramid_local_field,fold_centered_whitened_pca,1,30,127,2,8,3072,320,fold,centered,True,False,0.3990230435804969,0.01,2.2123002356298467e-05,0.07596520258188394,170.2167715488156,A stricter hidden-eye baseline trained on trajectory-averaged responses.
zero_eye_on_motion,zero-eye model,zero,observed,pyramid_local_field,fold_centered_whitened_pca,1,30,127,2,8,3072,320,fold,centered,True,False,0.3990230435804969,0.01,1e-08,0.03405655715604694,574.9518808330353,Zero-eye response model applied to moving-response observations.
zero_static,0x stabilized,zero,zero_static,pyramid_local_field,fold_centered_whitened_pca,1,30,127,2,8,3072,320,fold,centered,True,False,0.3990230435804969,0.01,1e-08,0.03405655715604694,574.9518808330353,Stabilized 0x counterfactual response and zero-eye response model.
known_eye,known eye,known,observed,pyramid_local_field,fold_zscore_whitened_pca,0,26,127,6,8,3072,320,fold,zscore,True,False,0.26795841605859516,0.01,4.5506741099502676e-05,0.0988453899390842,85.7970041553056,Feature posterior from measured-motion response family.
hidden_eye_tau_marginal,hidden eye,prior_all,observed,pyramid_local_field,fold_zscore_whitened_pca,0,416,127,6,8,3072,320,fold,zscore,True,False,0.26795841605859516,0.01,5.62552105968255e-05,0.08908302010641704,100.76369663050644,Feature posterior after treating trajectory as nuisance variation.
hidden_eye_prior_mean,prior mean,prior_mean,observed,pyramid_local_field,fold_zscore_whitened_pca,0,26,127,6,8,3072,320,fold,zscore,True,False,0.26795841605859516,0.01,1.9661334177043314e-05,0.08878149058737367,156.0678689063455,A stricter hidden-eye baseline trained on trajectory-averaged responses.
zero_eye_on_motion,zero-eye model,zero,observed,pyramid_local_field,fold_zscore_whitened_pca,0,26,127,6,8,3072,320,fold,zscore,True,False,0.26795841605859516,0.01,1e-08,0.055491716061197065,706.2112409532286,Zero-eye response model applied to moving-response observations.
zero_static,0x stabilized,zero,zero_static,pyramid_local_field,fold_zscore_whitened_pca,0,26,127,6,8,3072,320,fold,zscore,True,False,0.26795841605859516,0.01,1e-08,0.055491716061197065,706.2112409532286,Stabilized 0x counterfactual response and zero-eye response model.
known_eye,known eye,known,observed,pyramid_local_field,fold_zscore_whitened_pca,1,30,127,2,8,3072,320,fold,zscore,True,False,0.2672467526335908,0.01,5.224306178786147e-05,0.09112470488964265,99.51284273021881,Feature posterior from measured-motion response family.
hidden_eye_tau_marginal,hidden eye,prior_all,observed,pyramid_local_field,fold_zscore_whitened_pca,1,480,127,2,8,3072,320,fold,zscore,True,False,0.2672467526335908,0.01,6.037768618936218e-05,0.08486904512227857,100.9353231644775,Feature posterior after treating trajectory as nuisance variation.
hidden_eye_prior_mean,prior mean,prior_mean,observed,pyramid_local_field,fold_zscore_whitened_pca,1,30,127,2,8,3072,320,fold,zscore,True,False,0.2672467526335908,0.01,2.212300177970828e-05,0.08473967667736432,157.5192790420123,A stricter hidden-eye baseline trained on trajectory-averaged responses.
zero_eye_on_motion,zero-eye model,zero,observed,pyramid_local_field,fold_zscore_whitened_pca,1,30,127,2,8,3072,320,fold,zscore,True,False,0.2672467526335908,0.01,1e-08,0.0414105686261688,438.04514506236126,Zero-eye response model applied to moving-response observations.
zero_static,0x stabilized,zero,zero_static,pyramid_local_field,fold_zscore_whitened_pca,1,30,127,2,8,3072,320,fold,zscore,True,False,0.2672467526335908,0.01,1e-08,0.0414105686261688,438.04514506236126,Stabilized 0x counterfactual response and zero-eye response model.
known_eye,known eye,known,observed,pyramid_local_field,fold_zscore_pca,0,26,127,6,8,3072,320,fold,zscore,False,False,0.26795841605859516,0.01,4.5506663542011546e-05,0.01051387745726683,128.30953458896798,Feature posterior from measured-motion response family.
hidden_eye_tau_marginal,hidden eye,prior_all,observed,pyramid_local_field,fold_zscore_pca,0,416,127,6,8,3072,320,fold,zscore,False,False,0.26795841605859516,0.01,5.625521045975999e-05,0.008994636902384025,91.81517396076944,Feature posterior after treating trajectory as nuisance variation.
hidden_eye_prior_mean,prior mean,prior_mean,observed,pyramid_local_field,fold_zscore_pca,0,26,127,6,8,3072,320,fold,zscore,False,False,0.26795841605859516,0.01,1.9661299997703657e-05,0.008994227565721631,175.5127163569399,A stricter hidden-eye baseline trained on trajectory-averaged responses.
zero_eye_on_motion,zero-eye model,zero,observed,pyramid_local_field,fold_zscore_pca,0,26,127,6,8,3072,320,fold,zscore,False,False,0.26795841605859516,0.01,1e-08,0.005845120943539164,5083.373406517692,Zero-eye response model applied to moving-response observations.
zero_static,0x stabilized,zero,zero_static,pyramid_local_field,fold_zscore_pca,0,26,127,6,8,3072,320,fold,zscore,False,False,0.26795841605859516,0.01,1e-08,0.005845120943539164,5083.373406517692,Stabilized 0x counterfactual response and zero-eye response model.
known_eye,known eye,known,observed,pyramid_local_field,fold_zscore_pca,1,30,127,2,8,3072,320,fold,zscore,False,False,0.2672467526335908,0.01,5.224304528393474e-05,0.009073429029990141,101.3844186060404,Feature posterior from measured-motion response family.
hidden_eye_tau_marginal,hidden eye,prior_all,observed,pyramid_local_field,fold_zscore_pca,1,480,127,2,8,3072,320,fold,zscore,False,False,0.2672467526335908,0.01,6.0377686141588684e-05,0.008423233354080212,78.08122492428953,Feature posterior after treating trajectory as nuisance variation.
hidden_eye_prior_mean,prior mean,prior_mean,observed,pyramid_local_field,fold_zscore_pca,1,30,127,2,8,3072,320,fold,zscore,False,False,0.2672467526335908,0.01,2.21229896023241e-05,0.008423106478833636,143.78176550287867,A stricter hidden-eye baseline trained on trajectory-averaged responses.
zero_eye_on_motion,zero-eye model,zero,observed,pyramid_local_field,fold_zscore_pca,1,30,127,2,8,3072,320,fold,zscore,False,False,0.2672467526335908,0.01,1e-08,0.004071150487375966,3968.9719014709594,Zero-eye response model applied to moving-response observations.
zero_static,0x stabilized,zero,zero_static,pyramid_local_field,fold_zscore_pca,1,30,127,2,8,3072,320,fold,zscore,False,False,0.2672467526335908,0.01,1e-08,0.004071150487375966,3968.9719014709594,Stabilized 0x counterfactual response and zero-eye response model.
