bin_center,mean_edge_alignment_index,ci95_low,ci95_high,n_windows
0.05,0.05859886298388625,0.021398786300889622,0.09579893966688288,1415
0.15000000000000002,0.08378128290895057,0.05456107254339419,0.11300149327450694,2336
0.25,0.03257228682049804,0.0037287831179366668,0.06141579052305942,2380
0.35000000000000003,0.054923459028892695,0.022520901046061782,0.0873260170117236,1862
0.45,0.12415019905964172,0.08345932374229015,0.1648410743769933,1263
0.55,0.1417580004192877,0.09491140182468291,0.1886045990138925,912
0.6500000000000001,0.2182040656608781,0.16232327649394454,0.27408485482781164,631
0.75,0.30403885444553524,0.24785460001670045,0.36022310887437003,579
0.8500000000000001,0.21213762878036282,0.1272280640667568,0.29704719349396885,270
0.95,0.27383745118748115,0.13184185903813228,0.41583304333683,101
