motion_summary,family,scale_id,latent,k,incremental_gain_neg_mse,ci95_low,ci95_high,n_images,n_sessions,information_variance_floor,incremental_gain_info_diag_bits,info_diag_ci95_low,info_diag_ci95_high,incremental_gain_info_diag_bits_per_dim,info_diag_per_dim_ci95_low,info_diag_per_dim_ci95_high,incremental_gain_info_full_bits,info_full_ci95_low,info_full_ci95_high,incremental_gain_info_full_bits_per_dim,info_full_per_dim_ci95_low,info_full_per_dim_ci95_high,information_ci_method,ridge_alpha_matched_all_folds,n_information_folds,n_information_bootstrap_success,scale,observer,plotted_metric,static_summary,trace_samples_per_image,sample_rows
delta_mean,empirical,rel_0p25x,pyramid_local_field,16,3.633692605892013,0.5597526538707913,5.692594441714773,384,30,1e-12,1.0904367605177858,0.2195011655854892,2.360965824894654,0.0681522975323616,0.013718822849093,0.1475603640559158,1.1169501248373015,0.443109491157524,2.344076832233272,0.0698093828023313,0.0276943431973452,0.1465048020145795,decode_pipeline_group_bootstrap_point_centered,True,5,50,0.25,motion_rendered_static_plus_motion,info_diag_bits,,,
delta_mean,pose_unaware,rel_0p25x,pyramid_local_field,16,-1.174325207607069,-3.3745638979150816,0.930032196902202,384,30,,-0.5309586702717853,-1.4119157771801922,0.3599015477674329,-0.0331849168919865,-0.088244736073762,0.0224938467354645,-1.2618496801487238,-2.175488955612649,-0.6755385998843496,-0.0788656050092952,-0.1359680597257906,-0.0422211624927718,decode_pipeline_group_bootstrap_point_centered,True,5,50,0.25,pose_unaware_train_mean_test_hidden_samples,info_diag_bits,mean,8.0,3072.0
delta_mean,brownian,rel_0p25x,pyramid_local_field,16,3.421436974053163,1.2886575650097205,6.7082345726641925,384,30,1e-12,0.9161634189392868,0.0439499841221331,1.7052612913412295,0.0572602136837054,0.0027468740076333,0.1065788307088268,0.8985760754382651,0.119951883115281,1.859180153788088,0.0561610047148915,0.007496992694705,0.1161987596117554,decode_pipeline_group_bootstrap_point_centered,True,5,50,0.25,motion_rendered_static_plus_motion,info_diag_bits,,,
delta_mean,rotated,rel_0p25x,pyramid_local_field,16,3.0389758150056747,0.0774358793837957,5.999390984354948,384,30,1e-12,1.0218650811106011,0.0282263677823551,1.9540892849277989,0.0638665675694125,0.0017641479863971,0.1221305803079874,1.0940314646023297,-0.3239324386295807,1.879872738021954,0.0683769665376455,-0.0202457774143487,0.1174920461263721,decode_pipeline_group_bootstrap_point_centered,True,5,50,0.25,motion_rendered_static_plus_motion,info_diag_bits,,,
delta_mean,empirical,rel_0p5x,pyramid_local_field,16,3.766073598880543,1.5486404748800455,6.262100048630501,384,30,1e-12,1.1538212460461017,0.2541580289621573,1.7373689550948002,0.0721138278778813,0.0158848768101348,0.108585559693425,1.108950605320688,0.0542716764420065,1.8608120056815247,0.069309412832543,0.0033919797776254,0.1163007503550953,decode_pipeline_group_bootstrap_point_centered,True,5,50,0.5,motion_rendered_static_plus_motion,info_diag_bits,,,
delta_mean,pose_unaware,rel_0p5x,pyramid_local_field,16,-1.1244273827431912,-3.1055788670832274,0.7825092357570648,384,30,,-0.400248518152723,-1.2198085122029398,0.5744270841304027,-0.0250155323845451,-0.0762380320126837,0.0359016927581501,-1.1326566047378046,-1.9361286339707329,-0.3257769584052306,-0.0707910377961127,-0.1210080396231707,-0.0203610599003269,decode_pipeline_group_bootstrap_point_centered,True,5,50,0.5,pose_unaware_train_mean_test_hidden_samples,info_diag_bits,mean,8.0,3072.0
delta_mean,brownian,rel_0p5x,pyramid_local_field,16,3.9920597414556056,2.00876154735589,6.265254958234257,384,30,1e-12,1.1576561816965871,0.4556761725975623,2.2519695011983125,0.0723535113560367,0.0284797607873476,0.1407480938248945,1.1155334350488466,-0.0608259065651937,1.857859675444144,0.0697208396905529,-0.0038016191603246,0.116116229715259,decode_pipeline_group_bootstrap_point_centered,True,5,50,0.5,motion_rendered_static_plus_motion,info_diag_bits,,,
delta_mean,rotated,rel_0p5x,pyramid_local_field,16,3.114611687597848,0.3993079780359143,5.7143842953057655,384,30,1e-12,0.9493751306672292,0.2358530511165303,1.728690822433514,0.0593359456667018,0.0147408156947831,0.1080431764020946,1.028428683733836,0.4121846629041569,1.6738830557460314,0.0642767927333647,0.0257615414315098,0.1046176909841269,decode_pipeline_group_bootstrap_point_centered,True,5,50,0.5,motion_rendered_static_plus_motion,info_diag_bits,,,
delta_mean,empirical,rel_1x,pyramid_local_field,16,3.64853879040676,2.150486499667607,5.758901532893054,384,30,1e-12,0.9789948636400588,0.3277845235797219,1.8434571531495687,0.0611871789775036,0.0204865327237326,0.115216072071848,0.9246232591963054,0.2595493060805137,1.7878449762900823,0.057788953699769,0.0162218316300321,0.1117403110181301,decode_pipeline_group_bootstrap_point_centered,True,5,50,1.0,motion_rendered_static_plus_motion,info_diag_bits,,,
delta_mean,pose_unaware,rel_1x,pyramid_local_field,16,-0.95045656745644,-2.886077600392801,0.6823605161730073,384,30,,-0.5988894264465263,-1.3757211565078258,0.3397972242308957,-0.0374305891529078,-0.0859825722817391,0.0212373265144309,-1.0917833593692257,-1.7333517677948267,-0.4562742509412337,-0.0682364599605766,-0.1083344854871766,-0.0285171406838271,decode_pipeline_group_bootstrap_point_centered,True,5,50,1.0,pose_unaware_train_mean_test_hidden_samples,info_diag_bits,mean,8.0,3072.0
