family,scale_id,n,median_effective_rms_deg,iqr_effective_rms_deg,median_effective_to_requested_rms,median_path_length_deg,median_path_to_target_ratio,median_speed_mean_deg_s,median_generated_lag1_autocorr,clipped_fraction,scale
brownian,rel_0p25x,1024,0.0083158192465314,0.0027305645059579,1.0,0.1223062450778997,0.4906048978930005,0.3763269079319991,0.8835805426287169,0.0,0.25
brownian,rel_0p5x,1024,0.0166316384930629,0.0054611290119159,1.0,0.2446124901557994,0.4906048978930005,0.7526538158639982,0.8835805426287169,0.0,0.5
brownian,rel_1x,1024,0.0332632769861259,0.0109222580238319,1.0,0.4892249803115988,0.4906048978930005,1.5053076317279963,0.8835805426287169,0.0,1.0
brownian,rel_1p5x,1024,0.0498949154791888,0.0163833870357479,1.0,0.7338374685061502,0.4906048994901929,2.257961441557386,0.8835805415588891,0.0,1.5
brownian,rel_2x,1024,0.0665265539722518,0.0218445160476639,1.0,0.9784499606231976,0.4906048978930005,3.0106152634559926,0.8835805426287169,0.0,2.0
empirical,rel_0p25x,1024,0.0082931265196666,0.0034219790627277,1.0,0.2482337417884488,0.9999999999952598,0.7637961285798426,0.4748995066360431,0.0,0.25
empirical,rel_0p5x,1024,0.0165862530393332,0.0068439581254555,1.0,0.4964674835768977,0.9999999999952598,1.5275922571596852,0.4748995066360431,0.0,0.5
empirical,rel_1x,1024,0.0331725060786665,0.013687916250911,1.0,0.9929349671537954,0.9999999999952598,3.0551845143193703,0.4748995066360431,0.0,1.0
empirical,rel_1p5x,1024,0.0497587591179998,0.0205318743763666,1.0,1.4894024401221737,0.999999999265035,4.582776738837456,0.4748995103274716,0.0,1.5
empirical,rel_2x,1024,0.0663450121573331,0.0273758325018221,1.0,1.9858699343075907,0.9999999999952598,6.110369028638741,0.4748995066360431,0.0,2.0
ou,rel_0p25x,1024,0.0082931265196666,0.003498904063212,1.0,0.2589636915859231,1.009937983720856,0.7968113587259174,0.5163327905199757,0.0,0.25
ou,rel_0p5x,1024,0.0165862530393333,0.0069978081264241,1.0,0.5179273831718463,1.009937983720856,1.5936227174518347,0.5163327905199757,0.0,0.5
ou,rel_1x,1024,0.0331725060786666,0.0139956162528483,1.0,1.0358547663436926,1.009937983720856,3.1872454349036694,0.5163327905199757,0.0,1.0
ou,rel_1p5x,1024,0.0497587591179998,0.0209934243792724,1.0,1.5537821529106963,1.0099379890667008,4.780868162802144,0.5163327887453677,0.0,1.5
ou,rel_2x,1024,0.0663450121573332,0.0279912325056966,1.0,2.071709532687385,1.009937983720856,6.374490869807339,0.5163327905199757,0.0,2.0
rotated,rel_0p25x,1024,0.0081997480132318,0.0028610491756015,1.0,0.2504025693079564,0.9999999998675324,0.7704694440244813,0.4980659863943913,0.0,0.25
rotated,rel_0p5x,1024,0.0163994960264637,0.005722098351203,1.0,0.5008051386159129,0.9999999998675324,1.5409388880489625,0.4980659863943913,0.0,0.5
rotated,rel_1x,1024,0.0327989920529275,0.0114441967024061,1.0,1.0016102772318258,0.9999999998675324,3.081877776097925,0.4980659863943913,0.0,1.0
rotated,rel_1p5x,1024,0.0491984880793913,0.0171662950536092,1.0,1.5024153941474172,1.0000000001368834,4.622816597376668,0.4980659866836034,0.0,1.5
rotated,rel_2x,1024,0.0655979841058551,0.0228883934048123,1.0,2.003220554463652,0.9999999998675324,6.16375555219585,0.4980659863943913,0.0,2.0
