input_mode,prior_scale,n,mean_feature_cosine,median_feature_cosine,mean_feature_mse,median_feature_rmse,median_trajectory_rmse
augmented_continuous_tau,0.5,16,0.47963406307662043,0.4789622186037793,0.42497182245821097,0.5471254770761469,0.042940272560779175
augmented_continuous_tau_interactions,0.5,16,0.27565882460609653,0.4007138579508228,0.40686017372136224,0.6594618761462351,0.042940272560779175
augmented_observed_compact,0.5,16,0.5001248951374506,0.4833452281275246,0.3745842885292934,0.6030762166416279,0.042940272560779175
augmented_true_tau_interactions,0.5,16,0.5323483888595596,0.5904354890153535,0.3666605531181444,0.531523006965397,0.042940272560779175
known_eye_model,0.5,16,0.4187590483560127,0.4606778575114885,0.4612824972112825,0.5579816050541913,0.042940272560779175
observed_compact,0.5,16,0.1985805228370124,0.28249319061621125,0.5413160637455423,0.6638161237123452,0.042940272560779175
observed_plus_continuous_tau,0.5,16,0.4665480702689647,0.5234007120160675,0.44015844724090714,0.5314365991883362,0.042940272560779175
observed_plus_continuous_tau_interactions,0.5,16,0.17915694656498943,0.1792958560769214,0.5741860216914114,0.6965608996101567,0.042940272560779175
zero_static,0.5,16,0.5069641200876878,0.5524854594986215,0.3553357080638194,0.48960980143519783,0.042940272560779175
augmented_continuous_tau,1.0,16,0.34502841130254835,0.2823131203813929,0.5486649829352738,0.6817507998527259,0.12260528740461403
augmented_continuous_tau_interactions,1.0,16,0.19337954838289323,0.24295616361307837,0.5244102365936298,0.7296997994351919,0.12260528740461403
augmented_observed_compact,1.0,16,0.5139425722895475,0.4403931254735029,0.36063623704912323,0.5842167585838087,0.12260528740461403
augmented_true_tau_interactions,1.0,16,0.5706169754443657,0.676180670492284,0.33136742884539555,0.5182491127693858,0.12260528740461403
known_eye_model,1.0,16,0.42788663925883624,0.4586823907871699,0.45795305336556397,0.55938468694972,0.12260528740461403
observed_compact,1.0,16,0.20251143309704758,0.2814456999720734,0.5446151065043418,0.6576845832441023,0.12260528740461403
observed_plus_continuous_tau,1.0,16,0.46268062472795585,0.5447166925590881,0.4469388149542419,0.52188475759995,0.12260528740461403
observed_plus_continuous_tau_interactions,1.0,16,0.245737088303153,0.2444759412939026,0.5412902723588351,0.650107278305131,0.12260528740461403
zero_static,1.0,16,0.5069641200876878,0.5524854594986215,0.3553357080638194,0.48960980143519783,0.12260528740461403
augmented_continuous_tau,2.0,16,0.36387759117315877,0.3814023033656509,0.5724800416904361,0.721366498415347,0.15690069441623017
augmented_continuous_tau_interactions,2.0,16,0.25576756400369316,0.2654127080898432,0.5097276381201391,0.7343692267572683,0.15690069441623017
augmented_observed_compact,2.0,16,0.5457747050063422,0.46962074091664346,0.3725945640957368,0.5890873109413903,0.15690069441623017
augmented_true_tau_interactions,2.0,16,0.5313061950883786,0.5631338555046472,0.3445342924083613,0.49826227229050235,0.15690069441623017
known_eye_model,2.0,16,0.4395401650458723,0.46287111559164545,0.4529091825516377,0.5585140133151484,0.15690069441623017
observed_compact,2.0,16,0.2009629071461447,0.25861317573156467,0.5394887472589441,0.6582223969893655,0.15690069441623017
observed_plus_continuous_tau,2.0,16,0.45206633973599847,0.5227302195380177,0.46048311849256773,0.5420823816916217,0.15690069441623017
observed_plus_continuous_tau_interactions,2.0,16,0.2390430715060739,0.1874950073369689,0.5506020917994832,0.6464092203005987,0.15690069441623017
zero_static,2.0,16,0.5069641200876878,0.5524854594986215,0.3553357080638194,0.48960980143519783,0.15690069441623017
augmented_continuous_tau,all,48,0.39618002185077583,0.4245729739424202,0.5153722823613069,0.6117105157448096,0.12660019032833147
augmented_continuous_tau_interactions,all,48,0.241601978997561,0.28243527527983614,0.48033268281171043,0.707724838522771,0.12660019032833147
augmented_observed_compact,all,48,0.5199473908111135,0.4833452281275246,0.36927169655805114,0.5890873109413903,0.12660019032833147
augmented_true_tau_interactions,all,48,0.5447571864641013,0.6360126902810149,0.34752075812396704,0.49826227229050235,0.12660019032833147
known_eye_model,all,48,0.4287286175535738,0.45974190349413646,0.4573815777094947,0.5585140133151484,0.12660019032833147
observed_compact,all,48,0.20068495436006825,0.2701117698461393,0.5418066391696094,0.6582223969893655,0.12660019032833147
observed_plus_continuous_tau,all,48,0.46043167824430636,0.5237143610534345,0.4491934602292389,0.5362198722343712,0.12660019032833147
observed_plus_continuous_tau_interactions,all,48,0.22131236879140545,0.19279968293148386,0.5553594619499099,0.6509556186522155,0.12660019032833147
zero_static,all,48,0.5069641200876878,0.5524854594986215,0.3553357080638195,0.48960980143519783,0.12660019032833147
