logmar,condition,normalization,mean_mimicry_unconstrained,mean_residual_unconstrained,mean_mimicry_constrained_1p0_arcmin,mean_projection_ls_gap,alpha_pooled,alpha_orientation_mean,signal_trace,mean_pairwise_separation,jacobian_path
-0.2,real,raw,0.40327980000524827,0.596720172341178,0.35363133723817736,3.024636624165012e-05,0.6281651701012968,0.559385774085084,4.699942344671678e-05,0.008838431185220303,test3_lm-0.20.npz
-0.2,real,zscore,0.34523814848218265,0.6547618515160148,0.3150857201370969,7.124349439664839e-07,0.5693075963434006,0.4554084195019401,0.767864642721986,1.1332571791815151,test3_lm-0.20.npz
-0.2,stabilized,raw,0.3088320295937032,0.6911679581784739,0.2603695759768574,1.542010324698213e-05,0.5141657991945519,0.46042330570850754,8.30346492230754e-05,0.011891546622632775,test3_lm-0.20.npz
-0.2,stabilized,zscore,0.2962184953927664,0.7037815046061257,0.26076234718777275,7.370722398342711e-07,0.5630095871667471,0.47082361771509773,1.0892135057542052,1.3446732345098251,test3_lm-0.20.npz
-0.4,real,raw,0.39817528381277395,0.6018247108058999,0.3535734466918186,8.678283974157917e-05,0.5374943658949255,0.4647037072138765,0.0002445026410757637,0.020419315392448133,test3_lm-0.40.npz
-0.4,real,zscore,0.4010472289814621,0.5989527710184391,0.3756446909139382,8.836175205123253e-06,0.6048431925790441,0.4712084746133039,16.11074191883254,5.204276683416405,test3_lm-0.40.npz
-0.4,stabilized,raw,0.48359381563206255,0.516406181181084,0.37445997755587385,6.998999608449387e-05,0.6808342343713295,0.575479057437634,0.0004305063684031151,0.02706767100095694,test3_lm-0.40.npz
-0.4,stabilized,zscore,0.4240048088635371,0.5759951911362754,0.4044917036206952,2.8193264223752104e-06,0.6425339006339205,0.5098698142276483,9.246965923679982,3.933238854032656,test3_lm-0.40.npz
