centering_mode,delta_2d_current,delta_2d_x_negy,delta_top1_current,delta_top1_x_negy,matched_2d_current,matched_2d_x_negy,matched_top1_current,matched_top1_x_negy,model_object,session
baseline,0.05465475804560996,0.09602748688404736,0.046802395996459564,0.08351559258023528,0.35368655924758496,0.4307619760496933,0.20400716641906924,0.3800777614215616,B_model,Allen_2022-02-16
current,0.05741417944054003,0.09709426271067773,0.05733542383231613,0.06871749724381057,0.35613624609453554,0.43141431670105507,0.21581579847999788,0.3812307198721771,B_model,Allen_2022-02-16
baseline,0.06256465467579259,0.052119209643855,0.20309339097201828,-0.3026199503084994,0.4099681659454149,0.40876715199340385,0.5964121168313239,0.16592044223035732,FEM_PCs,Allen_2022-02-16
current,0.06320300341681725,0.055033041725925824,0.19692628873685203,-0.31876598600656075,0.4084160442479319,0.4116910448204287,0.6052464444976278,0.16960444722152368,FEM_PCs,Allen_2022-02-16
baseline,-0.07082841784782529,-0.07082841784782529,-0.06867362307651055,-0.06867362307651055,0.11024285498477673,0.11024285498477673,0.12817325235080207,0.12817325235080207,J_local,Allen_2022-02-16
current,-0.07733640986652453,-0.07733640986652453,-0.0799431802836023,-0.0799431802836023,0.10360227744814107,0.10360227744814107,0.12415380355274219,0.12415380355274219,J_local,Allen_2022-02-16
