centering_mode,cov_eye_xx,cov_eye_xy,cov_eye_yy,delta_2d,delta_over_ceiling_2d,delta_top1,emp_ceiling_2d,emp_ceiling_top1,failure_reason,global_matched_2d,history_key,image_id,matched_2d,matched_over_ceiling_2d,matched_top1,mean_eye_x,mean_eye_y,mean_rate,mixture_mode,model_fem_trace,model_j_norm,model_object,n_samples,psth_amp,session,shuffled_2d,shuffled_top1,time_bin,transform_mode,valid,window_id,window_key,window_level
current,59.9825750127816,13.17462604748988,66.87913401059923,0.08885049719747151,0.20277691102244372,0.13242059057643582,0.4381687084070305,0.554423342652588,,0.433049647779434,,6,0.4066369804469333,0.92803747197117,0.23917566985726357,0.06686235485261248,0.09174363513449753,67.61979361781835,single_baseline,1.8572237340599225,0.2648754134567263,B_model,408,162.56554585701895,Allen_2022-02-16,0.3177864832494618,0.10675507928082775,,xy,True,image_6,image_6,image_id
current,59.9825750127816,13.17462604748988,66.87913401059923,0.013860240809730473,0.03163220135029634,-0.3440948159649084,0.4381687084070305,0.554423342652588,,0.4014691286257551,,6,0.3964906730446298,0.9048813058469606,0.2435107792395022,0.06686235485261248,0.09174363513449753,67.61979361781835,single_baseline,1.8572237340599225,0.2648754134567263,FEM_PCs,408,162.56554585701895,Allen_2022-02-16,0.38263043223489934,0.5876055952044106,,xy,True,image_6,image_6,image_id
current,59.9825750127816,13.17462604748988,66.87913401059923,0.12387756063789734,0.28271658441392644,0.12280877336296268,0.4381687084070305,0.554423342652588,,0.25284389468370916,,6,0.22620262119576595,0.5162454937006553,0.19831883985902943,0.06686235485261248,0.09174363513449753,67.61979361781835,single_baseline,1.8572237340599225,0.2648754134567263,J_local,408,162.56554585701895,Allen_2022-02-16,0.10232506055786861,0.07551006649606674,,xy,True,image_6,image_6,image_id
current,60.46462301791672,14.050611915799118,65.53582663384032,-0.07806375272246363,-0.2233834863234048,-0.017749742911803562,0.3494607144301005,0.4267162961910691,,0.26738473494340786,,7,0.21272817874674138,0.608732741514759,0.19245592710273215,0.06440767598788119,0.09128239637308663,69.2500053433646,single_baseline,0.4259467329650774,0.4549487965525472,B_model,395,158.90543368974056,Allen_2022-02-16,0.290791931469205,0.21020567001453572,,xy,True,image_7,image_7,image_id
current,60.46462301791672,14.050611915799118,65.53582663384032,0.0333407298299927,0.09540623152552258,0.28998686524900835,0.3494607144301005,0.4267162961910691,,0.30397415173576225,,7,0.3215355899117736,0.9200908045876712,0.5247459290929105,0.06440767598788119,0.09128239637308663,69.2500053433646,single_baseline,0.4259467329650774,0.4549487965525472,FEM_PCs,395,158.90543368974056,Allen_2022-02-16,0.2881948600817809,0.23475906384390216,,xy,True,image_7,image_7,image_id
current,60.46462301791672,14.050611915799118,65.53582663384032,-0.06540792520931821,-0.1871681780196245,-0.023065376447399588,0.3494607144301005,0.4267162961910691,,0.17089483032223413,,7,0.10110180793277965,0.28930807887134374,0.15067045184702993,0.06440767598788119,0.09128239637308663,69.2500053433646,single_baseline,0.4259467329650774,0.4549487965525472,J_local,395,158.90543368974056,Allen_2022-02-16,0.16650973314209785,0.17373582829442952,,xy,True,image_7,image_7,image_id
current,58.10209679511407,7.142495677920117,69.81519697903849,0.08529772678545111,0.20765510178585578,0.45672469961463313,0.4107663430943024,0.7094871886690437,,0.36142004591462046,,8,0.3712368727110886,0.9037665304186356,0.6447197776100374,0.06539763682793631,0.0808637580979982,82.4556883301497,single_baseline,0.4810301974788701,0.2954526004745355,B_model,380,175.132465974516,Allen_2022-02-16,0.28593914592563746,0.18799507799540427,,xy,True,image_8,image_8,image_id
current,58.10209679511407,7.142495677920117,69.81519697903849,0.09306527700364181,0.226565001169719,0.12329605433241331,0.4107663430943024,0.7094871886690437,,0.4003708021661035,,8,0.430206051435599,1.0473254653603246,0.6953356977935677,0.06539763682793631,0.0808637580979982,82.4556883301497,single_baseline,0.4810301974788701,0.2954526004745355,FEM_PCs,380,175.132465974516,Allen_2022-02-16,0.33714077443195717,0.5720396434611544,,xy,True,image_8,image_8,image_id
current,58.10209679511407,7.142495677920117,69.81519697903849,-0.17696088501188262,-0.4308066811872572,-0.15719791625982552,0.4107663430943024,0.7094871886690437,,0.20783973327692823,,8,0.02603571737716865,0.06338327814553067,0.00927196515265042,0.06539763682793631,0.0808637580979982,82.4556883301497,single_baseline,0.4810301974788701,0.2954526004745355,J_local,380,175.132465974516,Allen_2022-02-16,0.20299660238905126,0.16646988141247593,,xy,True,image_8,image_8,image_id
current,59.49428361993684,9.934604032891151,71.0115710812848,0.02953063209562895,0.0723304898366477,-0.25221325591198007,0.40827363622618057,0.6638213183495488,,0.36431780796701646,,9,0.34103561947798244,0.8353113922081691,0.05837551595029003,0.06104459506409271,0.0816660385643343,79.06564412861465,single_baseline,1.04826015409556,0.36293562695213255,B_model,360,178.75331298895134,Allen_2022-02-16,0.3115049873823535,0.3105887718622701,,xy,True,image_9,image_9,image_id
