metric,metric_label,mean_parallel_minus_orthogonal,median_parallel_minus_orthogonal,uncertainty_unit,ci_low,ci_high,sign_flip_p_two_sided,row_ci_low,row_ci_high,row_sign_flip_p_two_sided,n_pairs,n_trials,fraction_positive,fraction_positive_trials
known_axis_feature_cosine,known-axis feature cosine,-0.007589321254544534,-0.0009412355501756675,trial_cluster_mean,-0.014221790655051728,-0.0013214761138658788,0.015984015984015984,-0.009550567092312922,-0.005601120022482804,0.000999000999000999,1024,64,0.419921875,0.421875
known_axis_minus_zero_feature_cosine,known-axis feature gain vs zero,-0.015735168614871245,-0.004037987354200079,trial_cluster_mean,-0.024978473045256647,-0.006986320546052365,0.000999000999000999,-0.019022211977751686,-0.012696546389389763,0.000999000999000999,1024,64,0.333984375,0.28125
known_axis_feature_neg_mse,known-axis feature neg-MSE,-1.639312365242716,-0.38519933852463417,trial_cluster_mean,-2.8952964597103965,-0.4207629050194403,0.007992007992007992,-2.0023831036540103,-1.2479107289024152,0.000999000999000999,1024,64,0.388671875,0.421875
known_axis_minus_zero_feature_neg_mse,known-axis feature neg-MSE gain vs zero,-3.3259914419623584,-0.9544420187207034,trial_cluster_mean,-5.0916059229361075,-1.553114851346935,0.001998001998001998,-4.063208910212469,-2.6490768407336778,0.000999000999000999,1024,64,0.3427734375,0.28125
known_axis_image_correct,known-axis image accuracy,0.0,0.0,trial_cluster_mean,0.0,0.0,1.0,0.0,0.0,1.0,1024,64,0.0,0.0
known_axis_candidate_posterior_true_mass,known-axis true posterior mass,-0.008501845176223332,-0.00424599551859689,trial_cluster_mean,-0.019959128752219505,0.0019202492018672186,0.13486513486513488,-0.011728396475647522,-0.005133089868569946,0.000999000999000999,1024,64,0.369140625,0.34375
