row_index,table_index,manifest_table_index,trial_id,response_cache_path,candidate_set_mode,observation_family,prior_family,prior_scale,axis_catalog_mode,true_candidate_index,true_candidate_id,true_source_row,n_candidates,n_trajectories,n_timebins,n_units,projection_basis_dim,continuous_inference_basis_dim,trajectory_rmse,trajectory_corr_mean,continuous_joint_true_rank,continuous_joint_correct,input_mode,decoder_mode,fold,latent,feature_space_mode,feature_dim,feature_variance_fraction,input_dim,n_train_rows,train_source,feature_mse,feature_neg_mse,feature_rmse,feature_l2_error,feature_cosine,feature_true_norm,feature_pred_norm
23,23,23,11,response_tables/trial_00011_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel2x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,2.0,per_candidate,0,source_row:369,369,4,16,40,756,8,20,0.14646220608054794,0.4682520747408019,1,True,observed_compact,mlp,0,pyramid_local_field,fold_zscore_whitened_pca,8,0.27058152656202694,320,30,observed_true_rows,0.22649542272898793,-0.22649542272898793,0.4759153524829683,1.3460918920459715,0.5419629212306043,1.3032474367250582,1.488862643889264
24,24,24,12,response_tables/trial_00012_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_parallel,0.5,per_candidate,0,source_row:420,420,4,16,40,756,8,10,0.08086920942784406,0.02430127054957404,1,True,observed_compact,mlp,0,pyramid_local_field,fold_zscore_whitened_pca,8,0.27058152656202694,320,30,observed_true_rows,0.5069326918607456,-0.5069326918607456,0.711992058846688,2.0138176518458577,-0.14875661931225434,1.006123909707421,1.6012112168163433
25,25,25,12,response_tables/trial_00012_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,0.5,per_candidate,0,source_row:420,420,4,16,40,756,8,10,0.08428068281136235,-0.2787079493511984,1,True,observed_compact,mlp,0,pyramid_local_field,fold_zscore_whitened_pca,8,0.27058152656202694,320,30,observed_true_rows,0.5069326918607456,-0.5069326918607456,0.711992058846688,2.0138176518458577,-0.14875661931225434,1.006123909707421,1.6012112168163433
26,26,26,13,response_tables/trial_00013_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel1x.npz,hard_negative_structure,empirical,axis_edge_parallel,1.0,per_candidate,0,source_row:420,420,4,16,40,756,8,20,0.18783886181265902,-0.04621193420767042,1,True,observed_compact,mlp,0,pyramid_local_field,fold_zscore_whitened_pca,8,0.27058152656202694,320,30,observed_true_rows,0.5072863664534548,-0.5072863664534548,0.712240385300816,2.0145200251245057,-0.13656343187358297,1.006123909707421,1.6132813611303753
27,27,27,13,response_tables/trial_00013_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel1x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,1.0,per_candidate,0,source_row:420,420,4,16,40,756,8,20,0.1880871363171034,-0.4241430491116226,1,True,observed_compact,mlp,0,pyramid_local_field,fold_zscore_whitened_pca,8,0.27058152656202694,320,30,observed_true_rows,0.5072863664534548,-0.5072863664534548,0.712240385300816,2.0145200251245057,-0.13656343187358297,1.006123909707421,1.6132813611303753
28,28,28,14,response_tables/trial_00014_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,per_candidate,0,source_row:420,420,4,16,40,756,8,20,0.16203736329664056,0.1787580757191293,1,True,observed_compact,mlp,0,pyramid_local_field,fold_zscore_whitened_pca,8,0.27058152656202694,320,30,observed_true_rows,0.49037229636181573,-0.49037229636181573,0.700265875480032,1.9806509967418606,-0.1129612372920882,1.006123909707421,1.5962037332266492
29,29,29,14,response_tables/trial_00014_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel2x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,2.0,per_candidate,0,source_row:420,420,4,16,40,756,8,20,0.1668825335596601,-0.4591047985750839,1,True,observed_compact,mlp,0,pyramid_local_field,fold_zscore_whitened_pca,8,0.27058152656202694,320,30,observed_true_rows,0.49037229636181573,-0.49037229636181573,0.700265875480032,1.9806509967418606,-0.1129612372920882,1.006123909707421,1.5962037332266492
0,0,0,0,response_tables/trial_00000_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_parallel,0.5,per_candidate,0,source_row:25,25,4,16,40,756,8,10,0.04160556828637218,-0.002927453861007928,1,True,augmented_observed_compact,mlp,0,pyramid_local_field,fold_zscore_whitened_pca,8,0.27058152656202694,320,2784,augmented_prior_trajectory_responses,0.7013685892842223,-0.7013685892842223,0.837477515688763,2.3687441217391503,-0.026452628983039524,2.2740209449050988,0.6057259916023027
1,1,1,0,response_tables/trial_00000_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,0.5,per_candidate,0,source_row:25,25,4,16,40,756,8,10,0.035949913988888416,0.3886572906367649,1,True,augmented_observed_compact,mlp,0,pyramid_local_field,fold_zscore_whitened_pca,8,0.27058152656202694,320,2784,augmented_prior_trajectory_responses,0.7013685892842223,-0.7013685892842223,0.837477515688763,2.3687441217391503,-0.026452628983039524,2.2740209449050988,0.6057259916023027
2,2,2,1,response_tables/trial_00001_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel1x.npz,hard_negative_structure,empirical,axis_edge_parallel,1.0,per_candidate,0,source_row:25,25,4,16,40,756,8,20,0.12799343940103788,0.12587299523754966,3,False,augmented_observed_compact,mlp,0,pyramid_local_field,fold_zscore_whitened_pca,8,0.27058152656202694,320,2784,augmented_prior_trajectory_responses,0.6108161037056611,-0.6108161037056611,0.7815472498228505,2.2105494406697375,0.24663941104420317,2.2740209449050988,0.7338518734936237
3,3,3,1,response_tables/trial_00001_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel1x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,1.0,per_candidate,0,source_row:25,25,4,16,40,756,8,20,0.11254072629306021,0.3933590444713258,3,False,augmented_observed_compact,mlp,0,pyramid_local_field,fold_zscore_whitened_pca,8,0.27058152656202694,320,2784,augmented_prior_trajectory_responses,0.6108161037056611,-0.6108161037056611,0.7815472498228505,2.2105494406697375,0.24663941104420317,2.2740209449050988,0.7338518734936237
4,4,4,2,response_tables/trial_00002_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,per_candidate,0,source_row:25,25,4,16,40,756,8,20,0.15817259829241262,0.11456868941931331,3,False,augmented_observed_compact,mlp,0,pyramid_local_field,fold_zscore_whitened_pca,8,0.27058152656202694,320,2784,augmented_prior_trajectory_responses,0.37323618665058517,-0.37323618665058517,0.610930590697982,1.7279726540673845,0.7130510374771531,2.2740209449050988,0.955191436935511
5,5,5,2,response_tables/trial_00002_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel2x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,2.0,per_candidate,0,source_row:25,25,4,16,40,756,8,20,0.1496936672164485,0.3382530869742966,3,False,augmented_observed_compact,mlp,0,pyramid_local_field,fold_zscore_whitened_pca,8,0.27058152656202694,320,2784,augmented_prior_trajectory_responses,0.37323618665058517,-0.37323618665058517,0.610930590697982,1.7279726540673845,0.7130510374771531,2.2740209449050988,0.955191436935511
18,18,18,9,response_tables/trial_00009_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_parallel,0.5,per_candidate,0,source_row:369,369,4,16,40,756,8,10,0.04063447636354513,-0.161993955187515,1,True,augmented_observed_compact,mlp,0,pyramid_local_field,fold_zscore_whitened_pca,8,0.27058152656202694,320,2784,augmented_prior_trajectory_responses,0.27307882973881625,-0.27307882973881625,0.52256944967996,1.478049606038488,0.4747776927033043,1.3032474367250582,1.5509715609685855
19,19,19,9,response_tables/trial_00009_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,0.5,per_candidate,0,source_row:369,369,4,16,40,756,8,10,0.043906673442477055,-0.009917828830535852,1,True,augmented_observed_compact,mlp,0,pyramid_local_field,fold_zscore_whitened_pca,8,0.27058152656202694,320,2784,augmented_prior_trajectory_responses,0.27307882973881625,-0.27307882973881625,0.52256944967996,1.478049606038488,0.4747776927033043,1.3032474367250582,1.5509715609685855
20,20,20,10,response_tables/trial_00010_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel1x.npz,hard_negative_structure,empirical,axis_edge_parallel,1.0,per_candidate,0,source_row:369,369,4,16,40,756,8,20,0.10395399455496865,0.06421425951900003,1,True,augmented_observed_compact,mlp,0,pyramid_local_field,fold_zscore_whitened_pca,8,0.27058152656202694,320,2784,augmented_prior_trajectory_responses,0.2257811606751629,-0.2257811606751629,0.4751643512250923,1.3439677397174767,0.5202208695538496,1.3032474367250582,1.4312676660988854
21,21,21,10,response_tables/trial_00010_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel1x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,1.0,per_candidate,0,source_row:369,369,4,16,40,756,8,20,0.10016566494726782,0.5387425001308523,1,True,augmented_observed_compact,mlp,0,pyramid_local_field,fold_zscore_whitened_pca,8,0.27058152656202694,320,2784,augmented_prior_trajectory_responses,0.2257811606751629,-0.2257811606751629,0.4751643512250923,1.3439677397174767,0.5202208695538496,1.3032474367250582,1.4312676660988854
