input_mode,decoder_mode,fold,n_train_rows,n_test_rows,train_source,input_dim,latent,feature_space_mode,feature_dim,raw_feature_dim,feature_fit_scope,feature_preprocessing,feature_whitened,feature_variance_fraction,mlp_hidden_dim,mlp_layers,mlp_dropout,mlp_learning_rate,mlp_weight_decay,mlp_batch_size,mlp_epochs_requested,mlp_epochs_trained,mlp_best_epoch,mlp_best_val_loss,mlp_final_train_loss,mlp_final_val_loss,mlp_n_fit_rows,mlp_n_val_rows,mlp_device,target_standardized_for_training,response_standardized_for_training
zero_static,mlp,1,30,18,observed_true_rows,320,pyramid_local_field,fold_zscore_whitened_pca,8,3072,fold,zscore,True,0.2670162989951853,64,2,0.0,0.001,1e-05,64,5,5,1,23.37804412841797,0.7372391223907471,23.39101219177246,24,6,cuda,True,True
known_eye_model,mlp,1,30,18,observed_true_rows,320,pyramid_local_field,fold_zscore_whitened_pca,8,3072,fold,zscore,True,0.2670162989951853,64,2,0.0,0.001,1e-05,64,5,5,4,18.46339988708496,0.7735723257064819,18.46339988708496,24,6,cuda,True,True
observed_compact,mlp,2,36,12,observed_true_rows,320,pyramid_local_field,fold_zscore_whitened_pca,8,3072,fold,zscore,True,0.2673312219776971,64,2,0.0,0.001,1e-05,64,5,4,0,2.532679796218872,0.8180223703384399,2.580592155456543,30,6,cuda,True,True
augmented_observed_compact,mlp,2,2784,12,augmented_prior_trajectory_responses,320,pyramid_local_field,fold_zscore_whitened_pca,8,3072,fold,zscore,True,0.2673312219776971,64,2,0.0,0.001,1e-05,64,5,5,3,1.1696528196334839,0.2539721673185175,1.2469286918640137,2112,672,cuda,True,True
augmented_continuous_tau,mlp,2,2784,12,augmented_prior_trajectory_responses,560,pyramid_local_field,fold_zscore_whitened_pca,8,3072,fold,zscore,True,0.2673312219776971,64,2,0.0,0.001,1e-05,64,5,4,0,1.4078603982925415,0.2477975194201325,1.7152910232543945,2112,672,cuda,True,True
augmented_continuous_tau_interactions,mlp,2,2784,12,augmented_prior_trajectory_responses,1200,pyramid_local_field,fold_zscore_whitened_pca,8,3072,fold,zscore,True,0.2673312219776971,64,2,0.0,0.001,1e-05,64,5,5,3,1.1452350616455078,0.19155295704092298,1.1492209434509277,2208,576,cuda,True,True
augmented_true_tau_interactions,mlp,2,2784,12,augmented_prior_trajectory_responses,1200,pyramid_local_field,fold_zscore_whitened_pca,8,3072,fold,zscore,True,0.2673312219776971,64,2,0.0,0.001,1e-05,64,5,5,1,1.536898136138916,0.2322763460688293,1.7430379390716553,2016,768,cuda,True,True
augmented_zero_static,mlp,2,174,12,augmented_zero_static_responses,320,pyramid_local_field,fold_zscore_whitened_pca,8,3072,fold,zscore,True,0.2673312219776971,64,2,0.0,0.001,1e-05,64,5,5,4,1.7080556154251099,0.6025302410125732,1.7080556154251099,138,36,cuda,True,True
augmented_known_eye_model,mlp,2,174,12,augmented_known_eye_responses,320,pyramid_local_field,fold_zscore_whitened_pca,8,3072,fold,zscore,True,0.2673312219776971,64,2,0.0,0.001,1e-05,64,5,5,4,1.3708046674728394,0.58952929576238,1.3708046674728394,132,42,cuda,True,True
observed_plus_continuous_tau,mlp,2,36,12,observed_true_rows,560,pyramid_local_field,fold_zscore_whitened_pca,8,3072,fold,zscore,True,0.2673312219776971,64,2,0.0,0.001,1e-05,64,5,5,4,8.164267539978027,0.7835872769355774,8.164267539978027,30,6,cuda,True,True
observed_plus_continuous_tau_interactions,mlp,2,36,12,observed_true_rows,1200,pyramid_local_field,fold_zscore_whitened_pca,8,3072,fold,zscore,True,0.2673312219776971,64,2,0.0,0.001,1e-05,64,5,4,0,2.487405776977539,0.7599138617515564,2.77112078666687,30,6,cuda,True,True
zero_static,mlp,2,36,12,observed_true_rows,320,pyramid_local_field,fold_zscore_whitened_pca,8,3072,fold,zscore,True,0.2673312219776971,64,2,0.0,0.001,1e-05,64,5,5,4,8.31315803527832,0.7232052087783813,8.31315803527832,30,6,cuda,True,True
known_eye_model,mlp,2,36,12,observed_true_rows,320,pyramid_local_field,fold_zscore_whitened_pca,8,3072,fold,zscore,True,0.2673312219776971,64,2,0.0,0.001,1e-05,64,5,4,0,6.416221618652344,0.851099967956543,6.551995277404785,30,6,cuda,True,True
