candidate_set_mode,observation_scale,zero_accuracy,joint_min,joint_max,gap_min,gap_max
hard_negative_structure,0.5,0.578125,0.78125,0.84375,0.203125,0.265625
hard_negative_structure,1.0,0.3125,0.734375,0.875,0.421875,0.5625
matched_static_response,0.5,0.578125,0.75,0.828125,0.171875,0.25
matched_static_response,1.0,0.328125,0.671875,0.796875,0.34375,0.46875
