decoder_mode,latent,feature_space_mode,contrast,lhs,rhs,observation_scale,prior_family,mean_feature_cosine_delta,ci_low,ci_high,fraction_positive,n
mlp,pyramid_local_field,fold_zscore_whitened_pca,known_minus_hidden,known_eye,hidden_eye_tau_marginal,0.5,all,-0.008492628333172596,-0.0946151278036176,0.1044549119559356,0.5,4
mlp,pyramid_local_field,fold_zscore_whitened_pca,known_minus_hidden,known_eye,hidden_eye_tau_marginal,1.0,all,0.060858148929987047,0.060858148929987047,0.060858148929987047,1.0,2
mlp,pyramid_local_field,fold_zscore_whitened_pca,known_minus_hidden,known_eye,hidden_eye_tau_marginal,2.0,all,0.14460190097118983,0.14460190097118983,0.14460190097118983,1.0,2
mlp,pyramid_local_field,fold_zscore_whitened_pca,known_minus_hidden,known_eye,hidden_eye_tau_marginal,all,all,0.04711869830870792,-0.01230828610834478,0.10936063194987809,0.75,8
mlp,pyramid_local_field,fold_zscore_whitened_pca,hidden_minus_zero_eye_model,hidden_eye_tau_marginal,zero_eye_on_motion,0.5,all,-0.05376411759477076,-0.28772668972117194,0.1801984545316302,0.5,4
mlp,pyramid_local_field,fold_zscore_whitened_pca,hidden_minus_zero_eye_model,hidden_eye_tau_marginal,zero_eye_on_motion,1.0,all,-0.07337423738313831,-0.07337423738313831,-0.07337423738313831,0.0,2
mlp,pyramid_local_field,fold_zscore_whitened_pca,hidden_minus_zero_eye_model,hidden_eye_tau_marginal,zero_eye_on_motion,2.0,all,-0.11422248777094553,-0.11422248777094553,-0.11422248777094553,0.0,2
mlp,pyramid_local_field,fold_zscore_whitened_pca,hidden_minus_zero_eye_model,hidden_eye_tau_marginal,zero_eye_on_motion,all,all,-0.07378124008590634,-0.18202871670438417,0.08731669951767883,0.25,8
mlp,pyramid_local_field,fold_zscore_whitened_pca,known_minus_zero_eye_model,known_eye,zero_eye_on_motion,0.5,all,-0.06225674592794336,-0.25614536580460723,0.08558332672801269,0.5,4
mlp,pyramid_local_field,fold_zscore_whitened_pca,known_minus_zero_eye_model,known_eye,zero_eye_on_motion,1.0,all,-0.01251608845315126,-0.01251608845315126,-0.01251608845315126,0.0,2
mlp,pyramid_local_field,fold_zscore_whitened_pca,known_minus_zero_eye_model,known_eye,zero_eye_on_motion,2.0,all,0.0303794132002443,0.0303794132002443,0.0303794132002443,1.0,2
mlp,pyramid_local_field,fold_zscore_whitened_pca,known_minus_zero_eye_model,known_eye,zero_eye_on_motion,all,all,-0.02666254177719843,-0.1003144812198428,0.05262800385524377,0.5,8
mlp,pyramid_local_field,fold_zscore_whitened_pca,known_motion_minus_zero_static,known_eye,zero_static,0.5,all,-0.3519650969829353,-0.44646917530058466,-0.22802532214011662,0.0,4
mlp,pyramid_local_field,fold_zscore_whitened_pca,known_motion_minus_zero_static,known_eye,zero_static,1.0,all,-0.5037667437091725,-0.5037667437091725,-0.5037667437091725,0.0,2
mlp,pyramid_local_field,fold_zscore_whitened_pca,known_motion_minus_zero_static,known_eye,zero_static,2.0,all,-0.3347530839951426,-0.3347530839951426,-0.3347530839951426,0.0,2
