subset,n_windows,n_sessions,mean_edge_alignment_index_window,mean_edge_alignment_index_session,ci95_low_session_mean,ci95_high_session_mean,median_abs_delta_deg,fraction_within_15deg_parallel,fraction_within_30deg_parallel,fraction_within_15deg_orthogonal,fraction_within_30deg_orthogonal,resultant_R_abs_mean_exp2i,candidate,zone,count,fraction,ci95_low,ci95_high,uniform_expected_fraction,excess_fraction_points,observed_expected_ratio,metric,bin_low,bin_high,bin_center,mean_edge_alignment_index,theta_center_deg,bin_count
,913,30.0,,,,,,,,,,,4E_candidate_3b_fem_anisotropy_focus,,,,0.16095608721854968,0.2544138624804171,,,,anisotropy,0.5,0.6000000000000001,0.55,0.2076849748494834,,
,771,30.0,,,,,,,,,,,4E_candidate_3b_fem_anisotropy_focus,,,,0.10408581669582119,0.2083034061436273,,,,anisotropy,0.6000000000000001,0.7000000000000001,0.6500000000000001,0.15619461141972424,,
,728,30.0,,,,,,,,,,,4E_candidate_3b_fem_anisotropy_focus,,,,0.08863627713494554,0.19676347859597065,,,,anisotropy,0.7000000000000001,0.8,0.75,0.1426998778654581,,
,913,30.0,,,,,,,,,,,4E_candidate_3b_fem_anisotropy_focus,,,,0.10105626005350837,0.1982894679030685,,,,anisotropy,0.8,0.9,0.8500000000000001,0.14967286397828844,,
,1224,30.0,,,,,,,,,,,4E_candidate_3b_fem_anisotropy_focus,,,,0.15964809530094112,0.2396925232080416,,,,anisotropy,0.9,1.0,0.95,0.19967030925449136,,
All windows,11749,,,,,,,,,,,,4E_candidate_3c_polar_alignment_rose,,,,,,,,1.2700655374925527,,,,,,5.0,829.0
All windows,11749,,,,,,,,,,,,4E_candidate_3c_polar_alignment_rose,,,,,,,,1.1505660056174996,,,,,,15.0,751.0
All windows,11749,,,,,,,,,,,,4E_candidate_3c_polar_alignment_rose,,,,,,,,1.034130564303345,,,,,,25.0,675.0
All windows,11749,,,,,,,,,,,,4E_candidate_3c_polar_alignment_rose,,,,,,,,0.972848753085369,,,,,,35.0,635.0
All windows,11749,,,,,,,,,,,,4E_candidate_3c_polar_alignment_rose,,,,,,,,0.8165801344795303,,,,,,45.0,533.0
All windows,11749,,,,,,,,,,,,4E_candidate_3c_polar_alignment_rose,,,,,,,,0.7629585496638013,,,,,,55.0,498.0
All windows,11749,,,,,,,,,,,,4E_candidate_3c_polar_alignment_rose,,,,,,,,0.7997276363945869,,,,,,65.0,522.0
All windows,11749,,,,,,,,,,,,4E_candidate_3c_polar_alignment_rose,,,,,,,,0.8686696740148099,,,,,,75.0,567.0
All windows,11749,,,,,,,,,,,,4E_candidate_3c_polar_alignment_rose,,,,,,,,0.9146310324282918,,,,,,85.0,597.0
All windows,11749,,,,,,,,,,,,4E_candidate_3c_polar_alignment_rose,,,,,,,,0.9146310324282918,,,,,,95.0,597.0
All windows,11749,,,,,,,,,,,,4E_candidate_3c_polar_alignment_rose,,,,,,,,0.8916503532215508,,,,,,105.0,582.0
All windows,11749,,,,,,,,,,,,4E_candidate_3c_polar_alignment_rose,,,,,,,,0.9391437569154822,,,,,,115.0,613.0
All windows,11749,,,,,,,,,,,,4E_candidate_3c_polar_alignment_rose,,,,,,,,0.9284194399523364,,,,,,125.0,606.0
All windows,11749,,,,,,,,,,,,4E_candidate_3c_polar_alignment_rose,,,,,,,,0.957528300280875,,,,,,135.0,625.0
All windows,11749,,,,,,,,,,,,4E_candidate_3c_polar_alignment_rose,,,,,,,,0.9942973870116606,,,,,,145.0,649.0
All windows,11749,,,,,,,,,,,,4E_candidate_3c_polar_alignment_rose,,,,,,,,1.1459698697761513,,,,,,155.0,748.0
All windows,11749,,,,,,,,,,,,4E_candidate_3c_polar_alignment_rose,,,,,,,,1.2853859902970466,,,,,,165.0,839.0
All windows,11749,,,,,,,,,,,,4E_candidate_3c_polar_alignment_rose,,,,,,,,1.3527959826368203,,,,,,175.0,883.0
High confidence,1045,,,,,,,,,,,,4E_candidate_3c_polar_alignment_rose,,,,,,,,1.739712918660287,,,,,,5.0,101.0
High confidence,1045,,,,,,,,,,,,4E_candidate_3c_polar_alignment_rose,,,,,,,,1.2746411483253588,,,,,,15.0,74.0
High confidence,1045,,,,,,,,,,,,4E_candidate_3c_polar_alignment_rose,,,,,,,,1.016267942583732,,,,,,25.0,59.0
High confidence,1045,,,,,,,,,,,,4E_candidate_3c_polar_alignment_rose,,,,,,,,0.723444976076555,,,,,,35.0,42.0
High confidence,1045,,,,,,,,,,,,4E_candidate_3c_polar_alignment_rose,,,,,,,,0.5684210526315789,,,,,,45.0,33.0
High confidence,1045,,,,,,,,,,,,4E_candidate_3c_polar_alignment_rose,,,,,,,,0.43062200956937796,,,,,,55.0,25.0
High confidence,1045,,,,,,,,,,,,4E_candidate_3c_polar_alignment_rose,,,,,,,,0.4650717703349282,,,,,,65.0,27.0
High confidence,1045,,,,,,,,,,,,4E_candidate_3c_polar_alignment_rose,,,,,,,,0.8956937799043062,,,,,,75.0,52.0
High confidence,1045,,,,,,,,,,,,4E_candidate_3c_polar_alignment_rose,,,,,,,,0.8612440191387559,,,,,,85.0,50.0
High confidence,1045,,,,,,,,,,,,4E_candidate_3c_polar_alignment_rose,,,,,,,,0.8440191387559809,,,,,,95.0,49.0
High confidence,1045,,,,,,,,,,,,4E_candidate_3c_polar_alignment_rose,,,,,,,,0.6200956937799043,,,,,,105.0,36.0
High confidence,1045,,,,,,,,,,,,4E_candidate_3c_polar_alignment_rose,,,,,,,,0.6028708133971292,,,,,,115.0,35.0
High confidence,1045,,,,,,,,,,,,4E_candidate_3c_polar_alignment_rose,,,,,,,,0.4478468899521531,,,,,,125.0,26.0
High confidence,1045,,,,,,,,,,,,4E_candidate_3c_polar_alignment_rose,,,,,,,,0.7578947368421053,,,,,,135.0,44.0
High confidence,1045,,,,,,,,,,,,4E_candidate_3c_polar_alignment_rose,,,,,,,,0.7751196172248803,,,,,,145.0,45.0
High confidence,1045,,,,,,,,,,,,4E_candidate_3c_polar_alignment_rose,,,,,,,,1.3263157894736841,,,,,,155.0,77.0
High confidence,1045,,,,,,,,,,,,4E_candidate_3c_polar_alignment_rose,,,,,,,,2.325358851674641,,,,,,165.0,135.0
High confidence,1045,,,,,,,,,,,,4E_candidate_3c_polar_alignment_rose,,,,,,,,2.325358851674641,,,,,,175.0,135.0
All windows,11749,30.0,0.0972989185150584,0.1052417704363759,0.0670878300255625,0.1450657451030796,39.015405920536345,0.2172950889437399,0.4021618861179675,0.1510766873776491,0.2960251936335007,0.1026867604450968,4E_candidate_5_confidence_dependence_full,,,,,,,,,,,,,,,
Reliable axes,6242,30.0,0.1354640531218104,0.1395772185448149,0.0892601579239951,0.1876218418664598,36.396120442728886,0.2379045177827619,0.4328740788208907,0.1417814802947773,0.2856456264017943,0.1471645455339184,4E_candidate_5_confidence_dependence_full,,,,,,,,,,,,,,,
High confidence,1045,30.0,0.2890927802898887,0.2690317226851458,0.1375361630487042,0.3960505650426162,25.56094581468029,0.354066985645933,0.5559808612440191,0.138755980861244,0.2382775119617224,0.2953240609176775,4E_candidate_5_confidence_dependence_full,,,,,,,,,,,,,,,
All windows,11749,,,,,,,,,,,,4E_candidate_6_endpoint_null_diagnostic,parallel <=15 deg,2553.0,0.2172950889437399,0.2099308762461419,0.2248441146803077,0.1666666666666666,0.0506284222770732,1.3037705336624394,,,,,,,
All windows,11749,,,,,,,,,,,,4E_candidate_6_endpoint_null_diagnostic,orthogonal >=75 deg,1775.0,0.1510766873776491,0.1447150647609518,0.1576664120727016,0.1666666666666666,-0.0155899792890175,0.906460124265895,,,,,,,
All windows,11749,,,,,,,,,,,,4E_candidate_6_endpoint_null_diagnostic,mid 30-60 deg,3546.0,0.3018129202485318,0.293578186499886,0.3101772150874203,0.3333333333333333,-0.0315204130848015,0.9054387607455954,,,,,,,
Reliable axes,6242,,,,,,,,,,,,4E_candidate_6_endpoint_null_diagnostic,parallel <=15 deg,1485.0,0.2379045177827619,0.2275044273645432,0.2486270198370637,0.1666666666666666,0.0712378511160952,1.4274271066965718,,,,,,,
Reliable axes,6242,,,,,,,,,,,,4E_candidate_6_endpoint_null_diagnostic,orthogonal >=75 deg,885.0,0.1417814802947773,0.1333479436462822,0.1506556724556695,0.1666666666666666,-0.0248851863718893,0.8506888817686639,,,,,,,
Reliable axes,6242,,,,,,,,,,,,4E_candidate_6_endpoint_null_diagnostic,mid 30-60 deg,1757.0,0.2814802947773149,0.2704605748728017,0.2927688224273155,0.3333333333333333,-0.0518530385560183,0.8444408843319449,,,,,,,
High confidence,1045,,,,,,,,,,,,4E_candidate_6_endpoint_null_diagnostic,parallel <=15 deg,370.0,0.354066985645933,0.3256539580567038,0.3835490331290005,0.1666666666666666,0.1874003189792663,2.1244019138755985,,,,,,,
High confidence,1045,,,,,,,,,,,,4E_candidate_6_endpoint_null_diagnostic,orthogonal >=75 deg,145.0,0.138755980861244,0.1191159460814816,0.1610422780011634,0.1666666666666666,-0.0279106858054226,0.8325358851674641,,,,,,,
High confidence,1045,,,,,,,,,,,,4E_candidate_6_endpoint_null_diagnostic,mid 30-60 deg,215.0,0.2057416267942583,0.1823307993548941,0.2313080189375916,0.3333333333333333,-0.1275917065390749,0.6172248803827751,,,,,,,
