table_index,trial_id,response_cache_path,candidate_set_mode,observation_family,prior_family,observation_scale,axis_catalog_mode,n_candidates,n_prior_trajectories,n_timebins,n_units,true_candidate_index,true_source_row,true_candidate_id,decoder_mode,observer_mode,observer_label,train_bank,test_input,latent,feature_space_mode,feature_fit_scope,feature_preprocessing,feature_whitened,feature_weighted,feature_variance_fraction,fold,n_train_samples,n_fit_sources,feature_mse,feature_neg_mse,feature_rmse,feature_l2_error,feature_cosine,feature_true_norm,feature_pred_norm
70,35,response_tables/trial_00035_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,per_candidate,4,16,40,756,0,1446,source_row:1446,mlp,known_eye,known eye,known,observed,pyramid_local_field,fold_zscore_whitened_pca,fold,zscore,True,False,0.6515567488573997,0,2478,102,0.1854919843945475,-0.1854919843945475,0.43068780386092603,2.4363381334752203,-0.16619187485772197,2.170942846597251,0.8023588159616414
71,35,response_tables/trial_00035_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel2x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,2.0,per_candidate,4,16,40,756,0,1446,source_row:1446,mlp,known_eye,known eye,known,observed,pyramid_local_field,fold_zscore_whitened_pca,fold,zscore,True,False,0.6515567488573997,0,2478,102,0.1854919843945475,-0.1854919843945475,0.43068780386092603,2.4363381334752203,-0.16619187485772197,2.170942846597251,0.8023588159616414
84,42,response_tables/trial_00042_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_parallel,0.5,per_candidate,4,16,40,756,0,1918,source_row:1918,mlp,known_eye,known eye,known,observed,pyramid_local_field,fold_zscore_whitened_pca,fold,zscore,True,False,0.6515567488573997,0,2478,102,0.33863916117919907,-0.33863916117919907,0.581927109850709,3.291876844253802,0.3819539422579878,3.5544644711160847,1.5707766840362358
85,42,response_tables/trial_00042_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,0.5,per_candidate,4,16,40,756,0,1918,source_row:1918,mlp,known_eye,known eye,known,observed,pyramid_local_field,fold_zscore_whitened_pca,fold,zscore,True,False,0.6515567488573997,0,2478,102,0.33863916117919907,-0.33863916117919907,0.581927109850709,3.291876844253802,0.3819539422579878,3.5544644711160847,1.5707766840362358
86,43,response_tables/trial_00043_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel1x.npz,hard_negative_structure,empirical,axis_edge_parallel,1.0,per_candidate,4,16,40,756,0,1918,source_row:1918,mlp,known_eye,known eye,known,observed,pyramid_local_field,fold_zscore_whitened_pca,fold,zscore,True,False,0.6515567488573997,0,2478,102,0.3439483135754468,-0.3439483135754468,0.5864710679781627,3.3175813530966045,0.3758059050025432,3.5544644711160847,1.7313388718188158
87,43,response_tables/trial_00043_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel1x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,1.0,per_candidate,4,16,40,756,0,1918,source_row:1918,mlp,known_eye,known eye,known,observed,pyramid_local_field,fold_zscore_whitened_pca,fold,zscore,True,False,0.6515567488573997,0,2478,102,0.3439483135754468,-0.3439483135754468,0.5864710679781627,3.3175813530966045,0.3758059050025432,3.5544644711160847,1.7313388718188158
88,44,response_tables/trial_00044_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,per_candidate,4,16,40,756,0,1918,source_row:1918,mlp,known_eye,known eye,known,observed,pyramid_local_field,fold_zscore_whitened_pca,fold,zscore,True,False,0.6515567488573997,0,2478,102,0.36845521205476484,-0.36845521205476484,0.6070051169922416,3.4337394755211808,0.36243085283343307,3.5544644711160847,2.1915365586346267
89,44,response_tables/trial_00044_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel2x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,2.0,per_candidate,4,16,40,756,0,1918,source_row:1918,mlp,known_eye,known eye,known,observed,pyramid_local_field,fold_zscore_whitened_pca,fold,zscore,True,False,0.6515567488573997,0,2478,102,0.36845521205476484,-0.36845521205476484,0.6070051169922416,3.4337394755211808,0.36243085283343307,3.5544644711160847,2.1915365586346267
90,45,response_tables/trial_00045_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_parallel,0.5,per_candidate,4,16,40,756,0,1945,source_row:1945,mlp,known_eye,known eye,known,observed,pyramid_local_field,fold_zscore_whitened_pca,fold,zscore,True,False,0.6515567488573997,0,2478,102,0.20171423405261324,-0.20171423405261324,0.4491260781257455,2.54064076360347,0.2941120833835433,2.583891354515397,1.3565192883271937
91,45,response_tables/trial_00045_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,0.5,per_candidate,4,16,40,756,0,1945,source_row:1945,mlp,known_eye,known eye,known,observed,pyramid_local_field,fold_zscore_whitened_pca,fold,zscore,True,False,0.6515567488573997,0,2478,102,0.20171423405261324,-0.20171423405261324,0.4491260781257455,2.54064076360347,0.2941120833835433,2.583891354515397,1.3565192883271937
