decoder_mode,latent,feature_space_mode,observer_mode,observer_label,observation_scale,prior_family,n,mean_feature_cosine,median_feature_cosine,mean_feature_mse,median_feature_mse,mean_feature_rmse,median_feature_pred_norm,median_feature_true_norm
mlp,pyramid_local_field,fold_zscore_whitened_pca,hidden_eye_tau_marginal,hidden eye,0.5,axis_edge_orthogonal,128,0.34806424157638,0.27905924737031795,0.5417037547202289,0.4021533377079417,0.6638536438293908,3.5482338947410956,2.924220905075088
mlp,pyramid_local_field,fold_zscore_whitened_pca,known_eye,known eye,0.5,axis_edge_orthogonal,128,0.22412045024154487,0.20522842417674309,0.362190295578901,0.31842465047577734,0.5763205682986587,1.6294553409508006,2.924220905075088
mlp,pyramid_local_field,fold_zscore_whitened_pca,zero_eye_on_motion,zero-eye model,0.5,axis_edge_orthogonal,128,0.20902224445440923,0.2313821916403025,0.42115280889184065,0.3426210806443812,0.6214685301360416,1.7966627477243482,2.924220905075088
mlp,pyramid_local_field,fold_zscore_whitened_pca,zero_static,0x stabilized,0.5,axis_edge_orthogonal,128,0.2819398515578991,0.2549839098961219,0.42132981340425196,0.3178359142005147,0.6118754027190549,1.9606127689278399,2.924220905075088
mlp,pyramid_local_field,fold_zscore_whitened_pca,hidden_eye_tau_marginal,hidden eye,0.5,axis_edge_parallel,128,0.34806424157638,0.27905924737031795,0.5417037547202289,0.4021533377079417,0.6638536438293908,3.5482338947410956,2.924220905075088
mlp,pyramid_local_field,fold_zscore_whitened_pca,known_eye,known eye,0.5,axis_edge_parallel,128,0.22412045024154487,0.20522842417674309,0.362190295578901,0.31842465047577734,0.5763205682986587,1.6294553409508006,2.924220905075088
mlp,pyramid_local_field,fold_zscore_whitened_pca,zero_eye_on_motion,zero-eye model,0.5,axis_edge_parallel,128,0.20902224445440923,0.2313821916403025,0.42115280889184065,0.3426210806443812,0.6214685301360416,1.7966627477243482,2.924220905075088
mlp,pyramid_local_field,fold_zscore_whitened_pca,zero_static,0x stabilized,0.5,axis_edge_parallel,128,0.2819398515578991,0.2549839098961219,0.42132981340425196,0.3178359142005147,0.6118754027190549,1.9606127689278399,2.924220905075088
mlp,pyramid_local_field,fold_zscore_whitened_pca,hidden_eye_tau_marginal,hidden eye,1.0,axis_edge_orthogonal,128,0.3441168065369929,0.29687066350015956,0.5509668916368476,0.4028180640702348,0.6736840628010553,3.7119172862242786,2.924220905075088
mlp,pyramid_local_field,fold_zscore_whitened_pca,known_eye,known eye,1.0,axis_edge_orthogonal,128,0.23470999052788036,0.20522842417674309,0.36306521706138606,0.3159967432444388,0.5760705938174189,1.6621791821920655,2.924220905075088
mlp,pyramid_local_field,fold_zscore_whitened_pca,zero_eye_on_motion,zero-eye model,1.0,axis_edge_orthogonal,128,0.18516571700900242,0.2183735341799285,0.45675767141662765,0.3747027424717148,0.6493112370434205,1.9894156229997138,2.924220905075088
mlp,pyramid_local_field,fold_zscore_whitened_pca,zero_static,0x stabilized,1.0,axis_edge_orthogonal,128,0.2819398515578991,0.2549839098961219,0.42132981340425196,0.3178359142005147,0.6118754027190549,1.9606127689278399,2.924220905075088
