centering_mode,delta_2d_history_hash,delta_2d_history_minus_image,delta_2d_image_id,delta_2d_prev_next,delta_2d_prev_next_minus_image,delta_over_ceiling_2d_history_hash,delta_over_ceiling_2d_image_id,delta_over_ceiling_2d_prev_next,matched_2d_history_hash,matched_2d_image_id,matched_2d_prev_next,median_samples_history_hash,median_samples_image_id,median_samples_prev_next,model_object,n_windows_history_hash,n_windows_image_id,n_windows_prev_next,predictor_mode,session,transform_mode
baseline,nan,nan,0.023824053014028762,0.02048967249598843,-0.0033343805180403308,nan,0.31731887330110264,0.0885783463857807,nan,0.19144207286222947,0.2586903247237777,nan,213.0,65.0,B_model,0,16,20,emp_xy,Allen_2022-02-16,x_negy
current,nan,nan,0.05659109494309328,0.0384257805588895,-0.018165314384203782,nan,0.3301907249578772,0.1895295045186613,nan,0.19378443882826432,0.26367165966339123,nan,213.0,65.0,B_model,0,16,20,emp_xy,Allen_2022-02-16,x_negy
baseline,nan,nan,0.04634176491518797,0.03048975840921178,-0.015852006505976186,nan,0.23842465621206788,0.15897799986390196,nan,0.2138880528562478,0.2521272067823405,nan,213.0,65.0,B_model,0,16,20,emp_xy,Allen_2022-02-16,xy
current,nan,nan,0.06343055362044381,0.03308651289401707,-0.03034404072642674,nan,0.20719989856937795,0.17431193200111395,nan,0.2350579654550654,0.26097622594676984,nan,213.0,65.0,B_model,0,16,20,emp_xy,Allen_2022-02-16,xy
baseline,nan,nan,0.042309624007570976,0.012978049464514252,-0.029331574543056724,nan,0.11344264416977201,0.05599155035211729,nan,0.2471538134496892,0.30884499846504215,nan,213.0,65.0,FEM_PCs,0,16,20,emp_xy,Allen_2022-02-16,x_negy
current,nan,nan,0.01407171554516859,0.023048203494095032,0.008976487948926443,nan,0.0527815966380985,0.1015687760758607,nan,0.2561450696996904,0.2979869739077437,nan,213.0,65.0,FEM_PCs,0,16,20,emp_xy,Allen_2022-02-16,x_negy
baseline,nan,nan,0.03641400054721636,0.02362417466828383,-0.012789825878932529,nan,0.1796803416670272,0.10934891464639376,nan,0.2719705701609666,0.31455931307781243,nan,213.0,65.0,FEM_PCs,0,16,20,emp_xy,Allen_2022-02-16,xy
current,nan,nan,0.03199917894107668,0.020608077767770294,-0.011391101173306384,nan,0.12235591604088741,0.09700730195072156,nan,0.26632254499805946,0.300817507002069,nan,213.0,65.0,FEM_PCs,0,16,20,emp_xy,Allen_2022-02-16,xy
baseline,nan,nan,0.0066362403969610975,0.008625357222401882,0.0019891168254407843,nan,-0.09084020927951308,0.04044893321343347,nan,0.10442209748111667,0.1321247598758027,nan,213.0,65.0,J_local,0,16,20,emp_xy,Allen_2022-02-16,x_negy
current,nan,nan,0.01075987313859796,0.011020357900896553,0.0002604847622985941,nan,0.0325308817453394,0.06575654600480287,nan,0.10533954544967708,0.13573421560496354,nan,213.0,65.0,J_local,0,16,20,emp_xy,Allen_2022-02-16,x_negy
baseline,nan,nan,0.0066362403969610975,0.008625357222401882,0.0019891168254407843,nan,-0.09084020927951308,0.04044893321343347,nan,0.10442209748111667,0.1321247598758027,nan,213.0,65.0,J_local,0,16,20,emp_xy,Allen_2022-02-16,xy
current,nan,nan,0.01075987313859796,0.011020357900896553,0.0002604847622985941,nan,0.0325308817453394,0.06575654600480287,nan,0.10533954544967708,0.13573421560496354,nan,213.0,65.0,J_local,0,16,20,emp_xy,Allen_2022-02-16,xy
