b_model_2d_canonical,b_model_2d_current,b_model_top1_canonical,b_model_top1_current,centering_mode,emp_model_x_corr_canonical,emp_model_x_corr_current,emp_model_y_corr_canonical,emp_model_y_corr_current,n_samples,predictor_mode,session,window_id,window_level
0.426994845799518,0.3840311118020605,0.250486789660393,0.2497469215231341,current,-0.22349278998460803,-0.16135013093695788,-0.6828961768668202,0.6910618115603896,408,emp_xy,Allen_2022-02-16,image_6,image_id
0.22135165680244787,0.1554764592006565,0.212747236791821,0.16955609545278255,current,-0.40348965122247454,-0.38123490268634624,-0.49664412162650245,0.4877307884657103,395,emp_xy,Allen_2022-02-16,image_7,image_id
0.41787806240676684,0.3780636058929487,0.6630176127055616,0.6386883189346062,current,-0.12550547640203147,0.2053928716826276,-0.7797727788507754,0.8144618952751795,380,emp_xy,Allen_2022-02-16,image_8,image_id
0.44203646851322254,0.396531906662398,0.4629188331046358,0.20590814468684973,current,-0.7869541317473946,-0.7348408181081308,-0.018996588132643884,0.17183015596566942,360,emp_xy,Allen_2022-02-16,image_9,image_id
0.17443694668581863,0.2604563237580611,0.0034574803172968426,0.38269207034934594,current,-0.28479885728746945,-0.14865839576250398,-0.2005245107404318,0.5858179972261122,347,emp_xy,Allen_2022-02-16,image_10,image_id
0.6047185957709476,0.5936739059496623,0.7540961649969076,0.7039841765804808,current,-0.8221636091947103,-0.8421285181253891,-0.35608723137184084,0.46978104640026686,311,emp_xy,Allen_2022-02-16,image_11,image_id
0.34769292713757893,0.3091459174385308,0.5134272646903421,0.5381574419772137,current,-0.6734864179027689,-0.649962628366185,0.07439066538497191,-0.05221172867654269,260,emp_xy,Allen_2022-02-16,image_12,image_id
0.03862392467997692,0.12979061026227273,0.01679789949714957,0.10640332358416915,current,0.11067745837531384,-0.29113637114066304,0.08437654755736756,0.12982091275264387,224,emp_xy,Allen_2022-02-16,image_13,image_id
0.3269898384660117,0.3120029729453445,0.6024456876814963,0.5687027104894701,current,-0.697361766944635,-0.6530815365092862,-0.6498846916324816,0.6929075335559701,202,emp_xy,Allen_2022-02-16,image_14,image_id
0.1448309446828804,0.19798523254220474,0.08999546678545753,0.09495904668318586,current,-0.3968810988354797,-0.45094681848614016,-0.47234326186276515,0.565754487490038,195,emp_xy,Allen_2022-02-16,image_15,image_id
0.19782287353827152,0.22050352463947975,0.09520008631052648,0.09032696975972156,current,-0.10853374161066116,-0.17342842559411872,-0.6235862346593368,0.6128144533837878,166,emp_xy,Allen_2022-02-16,image_16,image_id
0.18974600411825712,0.2496124062706511,0.1943344599835703,0.19702284918487215,current,-0.4190223413454271,-0.4484203603937388,-0.29271236859469546,0.40734095749538557,151,emp_xy,Allen_2022-02-16,image_17,image_id
0.07434276730675503,0.07333678841558855,0.05602354884433154,0.012442068045937057,current,0.12079806923291148,-0.10622030046209174,0.10151079996923686,0.23071535863551745,113,emp_xy,Allen_2022-02-16,image_18,image_id
0.048520777700188776,0.12080468377564069,0.0059898478169528166,0.010476242877579242,current,-0.12536939256749005,0.08409476418523038,-0.067828332215398,0.26791142670301216,79,emp_xy,Allen_2022-02-16,image_19,image_id
0.11371251612744859,0.11501632928696656,0.05776336706027102,0.05682595937993841,current,-0.1845152202910333,0.07224302919576531,-0.0745755469493337,0.050938196720619784,66,emp_xy,Allen_2022-02-16,image_20,image_id
0.10023406660765458,0.12639153144546733,0.05246367834736515,0.0401190765290215,current,0.0027940597895054205,-0.10831959647426694,-0.13954110443951115,0.349195960929786,62,emp_xy,Allen_2022-02-16,image_21,image_id
0.4374332602809753,0.40203245690689393,0.2092148729684135,0.21088505937400256,baseline,-0.20114197151690574,-0.1156553182356223,-0.6821316923143923,0.6839045883748673,408,emp_xy,Allen_2022-02-16,image_6,image_id
0.20923264603662153,0.21263505772975938,0.2602543981028746,0.18266617070828192,baseline,-0.49965306034911766,-0.40181790883415563,-0.4103559171691136,0.5152505346179486,395,emp_xy,Allen_2022-02-16,image_7,image_id
0.4076438586808931,0.3745166633480329,0.6939042655224713,0.6659194369727452,baseline,-0.20065137659248827,0.18957214648305004,-0.780705377233567,0.8158908576275582,380,emp_xy,Allen_2022-02-16,image_8,image_id
0.4627845261468295,0.34465867842704456,0.5277375608557866,0.06087503166429212,baseline,-0.7515956395176092,-0.6396111683633627,0.04892699277179661,0.2019132042803348,360,emp_xy,Allen_2022-02-16,image_9,image_id
0.15400255854162026,0.29964645386285227,0.029910666582632583,0.506544850295764,baseline,-0.18487724386483675,-0.07555814133333291,-0.055543594505239165,0.6553395530795242,347,emp_xy,Allen_2022-02-16,image_10,image_id
0.591888491960855,0.5865915792236859,0.677919225618485,0.7335187729208956,baseline,-0.7789753442681694,-0.8344583655521801,-0.22895551848507517,0.5098505051375538,311,emp_xy,Allen_2022-02-16,image_11,image_id
0.32490599440964657,0.28802015281893834,0.4599881593748311,0.4755960256924813,baseline,-0.5519887144272775,-0.593447487254051,0.11635073866745696,-0.05083153845667568,260,emp_xy,Allen_2022-02-16,image_12,image_id
0.038540532394318774,0.11622796847046728,0.014869463587674244,0.10569322411371328,baseline,0.14371586742686623,-0.2825416712105793,0.06677860029732427,0.15873061372247577,224,emp_xy,Allen_2022-02-16,image_13,image_id
0.34368532840725374,0.3423088857454393,0.5956862884449473,0.5943006644215232,baseline,-0.7018836153852877,-0.6495499802651938,-0.6032991931270927,0.7204149019499054,202,emp_xy,Allen_2022-02-16,image_14,image_id
0.14237222332416702,0.20894455046134583,0.11371760895939977,0.09202254853190953,baseline,-0.44131690944394664,-0.41492429367854516,-0.41090714054388794,0.4668681347984536,195,emp_xy,Allen_2022-02-16,image_15,image_id
0.1797488180444663,0.18943215435785277,0.07451391733329463,0.07189475222587752,baseline,-0.12687798533207428,-0.11954006409438349,-0.6153500888825911,0.6099193167898889,166,emp_xy,Allen_2022-02-16,image_16,image_id
0.20313532767999265,0.2151410479827362,0.19510138397984944,0.2023601366366382,baseline,-0.4771299752176911,-0.5182648950806724,-0.37073032466081485,0.3062482623709569,151,emp_xy,Allen_2022-02-16,image_17,image_id
0.08037953970680412,0.07346780869625469,0.02963508556194893,0.022017520222187045,baseline,0.0019809318686161907,-0.10386382395359671,0.04676957201558442,0.16987138768557627,113,emp_xy,Allen_2022-02-16,image_18,image_id
0.07557760340921996,0.15248561167971753,0.022723083497781203,0.038734731295452185,baseline,-0.12730451971179357,0.1108280423344728,-0.17611837848205966,0.13943531145259982,79,emp_xy,Allen_2022-02-16,image_19,image_id
0.07419439616982318,0.0931981032576225,0.0075185634001796245,0.042195088234686984,baseline,-0.10217142694986707,-0.19058900404229825,-0.3126576285279229,0.12062159121535584,66,emp_xy,Allen_2022-02-16,image_20,image_id
0.11530812941937654,0.13385972407345387,0.08767910364582329,0.056825461117769094,baseline,0.03593089540585964,0.018372104572328768,-0.06688441473692028,0.20579655911339267,62,emp_xy,Allen_2022-02-16,image_21,image_id
0.3804165126478194,0.3559121439643127,0.24078589391862457,0.22376003961269425,current,-0.12931039363761132,-0.09925688391822221,-0.6215790763811192,0.6366179121799159,272,emp_xy,Allen_2022-02-16,image_6|prev_6_next_6,prev_next
0.2596020370902128,0.21950515807303184,0.1369016373800892,0.14613792622129362,current,-0.33742661686983366,-0.17164254824911282,-0.5325942819646996,0.5042524502934641,67,emp_xy,Allen_2022-02-16,image_6|prev_6_next_7,prev_next
0.1538472354048637,0.12912080211064242,0.04293525853640209,0.0486931209673798,current,-0.15330683464522377,-0.11865667963540896,-0.3452813774783325,0.30349872225411717,66,emp_xy,Allen_2022-02-16,image_7|prev_6_next_7,prev_next
0.2190777233868665,0.16198949838528767,0.1966893251692247,0.16335039393515088,current,-0.3825560864062141,-0.37575733753704754,-0.44810538256197907,0.4899139405299334,262,emp_xy,Allen_2022-02-16,image_7|prev_7_next_7,prev_next
0.10233905369821795,0.14643477885662448,0.015483803818743418,0.22533600240701712,current,-0.22970267551213874,-0.03099503737014799,-0.4117822034718416,0.5658306399451288,64,emp_xy,Allen_2022-02-16,image_7|prev_7_next_8,prev_next
0.2051691509203375,0.22291796638652606,0.018266578898743124,0.2857925717387604,current,-0.07994888177805967,0.161703830150127,-0.40468418964209835,0.5209127570817856,64,emp_xy,Allen_2022-02-16,image_8|prev_7_next_8,prev_next
0.3970940939192836,0.3635695594376412,0.6565817755008319,0.605186901856033,current,-0.1599681968168509,0.16481997597706602,-0.7686213052211813,0.7877068468932442,254,emp_xy,Allen_2022-02-16,image_8|prev_8_next_8,prev_next
0.13892152958344728,0.08064272008011744,0.08119595656814466,0.03063204539150414,current,-0.3119901603428527,-0.18174867406252204,0.03606486870878923,0.05903558643670075,61,emp_xy,Allen_2022-02-16,image_8|prev_8_next_9,prev_next
