b_emp_model_x_corr,b_emp_model_y_corr,centering_mode,cov_eye_xx,cov_eye_xy,cov_eye_yy,delta_2d,delta_over_ceiling_2d,delta_top1,emp_ceiling_2d,emp_ceiling_top1,failure_reason,global_matched_2d,history_key,image_id,matched_2d,matched_over_ceiling_2d,matched_top1,mean_eye_x,mean_eye_y,mean_rate,mixture_mode,model_fem_trace,model_j_norm,model_object,n_samples,predictor_mode,psth_amp,session,shuffled_2d,shuffled_top1,time_bin,transform_mode,valid,window_id,window_key,window_level
-0.16135013093695788,0.6910618115603896,current,59.9825750127816,13.174626047489879,66.87913401059922,0.07929043960959492,0.2014327234614107,-0.19855542956763933,0.3936323664153055,0.5367777399934799,,0.44568775189699783,,6,0.3840311118020605,0.9756085743134366,0.2497469215231341,0.06686235485261248,0.09174363513449753,67.61979361781835,single_baseline,1.8434167409744924,0.2648754134567263,B_model,408,emp_xy,162.56554585701895,Allen_2022-02-16,0.3047406721924656,0.44830235109077343,,xy,True,image_6,image_6,image_id
nan,nan,current,59.9825750127816,13.174626047489879,66.87913401059922,0.011568052238580206,0.029387959999140987,0.17919315036166714,0.3936323664153055,0.5367777399934799,,0.39378048289696377,,6,0.3843655848661801,0.9764582835666811,0.34091381426611106,0.06686235485261248,0.09174363513449753,67.61979361781835,single_baseline,1.8434167409744924,0.2648754134567263,FEM_PCs,408,emp_xy,162.56554585701895,Allen_2022-02-16,0.3727975326275999,0.16172066390444392,,xy,True,image_6,image_6,image_id
nan,nan,current,59.9825750127816,13.174626047489879,66.87913401059922,0.1190931316966411,0.30254913431328656,0.06529657987525322,0.3936323664153055,0.5367777399934799,,0.3732923299504243,,6,0.22501614642181994,0.5716403568918277,0.19141665392878215,0.06686235485261248,0.09174363513449753,67.61979361781835,single_baseline,1.8434167409744924,0.2648754134567263,J_local,408,emp_xy,162.56554585701895,Allen_2022-02-16,0.10592301472517884,0.12612007405352893,,xy,True,image_6,image_6,image_id
-0.38123490268634624,0.4877307884657103,current,60.46462301791672,14.050611915799118,65.53582663384032,-0.10169665212533735,-0.299003898311104,-0.0688868089030466,0.3401181479564699,0.43908555217900813,,0.31819740231060917,,7,0.1554764592006565,0.45712485539158937,0.16955609545278255,0.06440767598788119,0.09128239637308663,69.2500053433646,single_baseline,0.42226413475850066,0.4549487965525472,B_model,395,emp_xy,158.90543368974056,Allen_2022-02-16,0.25717311132599385,0.23844290435582915,,xy,True,image_7,image_7,image_id
nan,nan,current,60.46462301791672,14.050611915799118,65.53582663384032,-0.0027885065984883384,-0.008198641017077473,0.159067762242261,0.3401181479564699,0.43908555217900813,,0.3217862495668331,,7,0.3211604452926589,0.9442614198103969,0.5323738184903336,0.06440767598788119,0.09128239637308663,69.2500053433646,single_baseline,0.42226413475850066,0.4549487965525472,FEM_PCs,395,emp_xy,158.90543368974056,Allen_2022-02-16,0.32394895189114725,0.3733060562480726,,xy,True,image_7,image_7,image_id
nan,nan,current,60.46462301791672,14.050611915799118,65.53582663384032,-0.07226252017564996,-0.21246299443244793,-0.03955095031580236,0.3401181479564699,0.43908555217900813,,0.3538257760516492,,7,0.10607487094870766,0.31187653933210197,0.14282382632506138,0.06440767598788119,0.09128239637308663,69.2500053433646,single_baseline,0.42226413475850066,0.4549487965525472,J_local,395,emp_xy,158.90543368974056,Allen_2022-02-16,0.17833739112435762,0.18237477664086374,,xy,True,image_7,image_7,image_id
0.2053928716826276,0.8144618952751795,current,58.10209679511407,7.142495677920117,69.81519697903849,0.09244422315861972,0.21446079814901223,0.3720027795706324,0.43105417846289734,0.7067014324302477,,0.4007168441064517,,8,0.3780636058929487,0.8770674889200505,0.6386883189346062,0.06539763682793631,0.0808637580979982,82.4556883301497,single_baseline,0.45733758124406254,0.2954526004745355,B_model,380,emp_xy,175.132465974516,Allen_2022-02-16,0.28561938273432896,0.2666855393639738,,xy,True,image_8,image_8,image_id
nan,nan,current,58.10209679511407,7.142495677920117,69.81519697903849,0.03254874571096633,0.07550963970940358,0.17282945712497289,0.43105417846289734,0.7067014324302477,,0.4467020896913767,,8,0.4295509732532877,0.9965127232614472,0.696465614275064,0.06539763682793631,0.0808637580979982,82.4556883301497,single_baseline,0.45733758124406254,0.2954526004745355,FEM_PCs,380,emp_xy,175.132465974516,Allen_2022-02-16,0.3970022275423214,0.5236361571500912,,xy,True,image_8,image_8,image_id
nan,nan,current,58.10209679511407,7.142495677920117,69.81519697903849,-0.13249937730919759,-0.30738450971912423,-0.18834105155857597,0.43105417846289734,0.7067014324302477,,0.38497029844319386,,8,0.030247169356536055,0.07017022654645153,0.008890314088500169,0.06539763682793631,0.0808637580979982,82.4556883301497,single_baseline,0.45733758124406254,0.2954526004745355,J_local,380,emp_xy,175.132465974516,Allen_2022-02-16,0.16274654666573363,0.19723136564707613,,xy,True,image_8,image_8,image_id
-0.7348408181081308,0.17183015596566942,current,59.49428361993684,9.934604032891151,71.0115710812848,0.09033781042820332,0.20719989856937795,-0.13844773216097192,0.43599350700432404,0.7333140689628945,,0.4362953664442337,,9,0.396531906662398,0.9094903944486158,0.20590814468684973,0.06104459506409271,0.0816660385643343,79.06564412861465,single_baseline,1.0322129379914435,0.36293562695213255,B_model,360,emp_xy,178.75331298895134,Allen_2022-02-16,0.3061940962341947,0.34435587684782165,,xy,True,image_9,image_9,image_id
