b_emp_model_y_corr_current,b_emp_model_y_corr_x_negy,centering_mode,delta_2d_current,delta_2d_x_negy,delta_top1_current,delta_top1_x_negy,matched_2d_current,matched_2d_x_negy,matched_top1_current,matched_top1_x_negy,model_object,predictor_mode,session,window_level
0.3865581985847053,-0.27080657350649906,baseline,0.04634176491518797,0.023824053014028762,0.009332022759558162,0.0342168700276076,0.2138880528562478,0.19144207286222947,0.1441796974109976,0.1544094964696246,B_model,emp_xy,Allen_2022-02-16,image_id
0.4385610019478262,-0.24661843966756364,current,0.06343055362044381,0.05659109494309328,0.006949477621416539,0.0193894531985676,0.2350579654550654,0.19378443882826432,0.18328947231882736,0.1447672731470484,B_model,emp_xy,Allen_2022-02-16,image_id
nan,nan,baseline,0.03641400054721636,0.042309624007570976,0.022999828564800956,0.012910480533876317,0.2719705701609666,0.2471538134496892,0.07323782732963238,0.07857796153630435,FEM_PCs,emp_xy,Allen_2022-02-16,image_id
nan,nan,current,0.03199917894107668,0.01407171554516859,0.020952529569595722,-4.485892454504821e-05,0.26632254499805946,0.2561450696996904,0.07900605580640856,0.07973547017967672,FEM_PCs,emp_xy,Allen_2022-02-16,image_id
nan,nan,baseline,0.0066362403969610975,0.0066362403969610975,0.005603933462465247,0.005603933462465247,0.10442209748111667,0.10442209748111667,0.09408934114380607,0.09408934114380607,J_local,emp_xy,Allen_2022-02-16,image_id
nan,nan,current,0.01075987313859796,0.01075987313859796,0.010728576608883357,0.010728576608883357,0.10533954544967708,0.10533954544967708,0.10284342198277671,0.10284342198277671,J_local,emp_xy,Allen_2022-02-16,image_id
0.3667542196803709,-0.18945666215226853,baseline,0.03048975840921178,0.02048967249598843,0.06033715260969158,-0.013307620107216693,0.2521272067823405,0.2586903247237777,0.2519077894021702,0.19685303063402884,B_model,emp_xy,Allen_2022-02-16,prev_next
0.3123190826728675,-0.2290181998294653,current,0.03308651289401707,0.0384257805588895,0.021009139727553403,-0.014650851321115321,0.26097622594676984,0.26367165966339123,0.2245480210098557,0.19145097271075373,B_model,emp_xy,Allen_2022-02-16,prev_next
nan,nan,baseline,0.02362417466828383,0.012978049464514252,0.03232143378962738,-0.010823433070935959,0.31455931307781243,0.30884499846504215,0.1952221165478371,0.12514326217245775,FEM_PCs,emp_xy,Allen_2022-02-16,prev_next
nan,nan,current,0.020608077767770294,0.023048203494095032,0.042437813874427396,0.05337549099142261,0.300817507002069,0.2979869739077437,0.2530695496217027,0.17751874043936894,FEM_PCs,emp_xy,Allen_2022-02-16,prev_next
nan,nan,baseline,0.008625357222401882,0.008625357222401882,0.008798111713718276,0.008798111713718276,0.1321247598758027,0.1321247598758027,0.13439870438979915,0.13439870438979915,J_local,emp_xy,Allen_2022-02-16,prev_next
nan,nan,current,0.011020357900896553,0.011020357900896553,-0.013652126113668665,-0.013652126113668665,0.13573421560496354,0.13573421560496354,0.14008277878103442,0.14008277878103442,J_local,emp_xy,Allen_2022-02-16,prev_next
