axis_estimator,latent,requested_k,mean_joint_minus_zero_feature_gain_parallel_minus_orthogonal,mean_joint_minus_zero_feature_gain_parallel_minus_orthogonal_ci_low,mean_joint_minus_zero_feature_gain_parallel_minus_orthogonal_ci_high,mean_motion_delta_parallel_minus_orthogonal,mean_motion_delta_parallel_minus_orthogonal_ci_low,mean_motion_delta_parallel_minus_orthogonal_ci_high,record_type,source_row,session,trial_idx,image_edge_axis_deg,wta_edge_axis_deg,wta_peak_fraction,wta_average_axis_delta_deg
average,gabor_local_field,4.0,1.1893229426472334,-1.7598095753901408,3.9687101276687113,3.8668405377063366,-1.2438829666779057,10.640991933972826,contrast,,,,,,,
average,gabor_local_field,8.0,3.4313851598611045,-0.942668601517497,7.695619403987658,3.612863566341812,-0.7626295043810768,8.661927357357815,contrast,,,,,,,
average,pyramid_local_field,4.0,1.8800257000272045,-0.0154298961637698,3.87132642355129,3.108644641893969,-0.3878893163838156,7.351658667538764,contrast,,,,,,,
average,pyramid_local_field,8.0,2.368084943889128,0.3922849217470509,4.588706956906068,2.432106486321305,-0.1233972216357972,5.438178037589089,contrast,,,,,,,
wta,gabor_local_field,4.0,0.4155096760058285,-2.763876338522416,3.479097821415917,2.655516153947719,-1.6594171511708635,7.712858970106865,contrast,,,,,,,
wta,gabor_local_field,8.0,2.494414812754409,-2.580952110435303,7.301353405827784,2.403753308586116,-1.5321805708428426,6.565877079741432,contrast,,,,,,,
wta,pyramid_local_field,4.0,1.449908564474656,-0.9474559171061196,3.885172218618882,3.0376167141322226,-0.1652940717965734,6.817049805098116,contrast,,,,,,,
wta,pyramid_local_field,8.0,2.070781794951623,-0.1096823023601633,4.497600197633858,2.3634097440033823,-0.0154934570979811,5.095070172886945,contrast,,,,,,,
,,,,,,,,,thumbnail,6076.0,Logan_2019-12-26,372.0,-9.32289185370614,-37.343156007421335,0.0587625243312813,28.020264153715196
,,,,,,,,,thumbnail,10867.0,Logan_2020-03-04,169.0,-151.24737006302493,2.782866390973515,0.0663574068463892,25.969763546001573
,,,,,,,,,thumbnail,7187.0,Logan_2020-01-06,46.0,-169.4841853036747,32.56987817621694,0.0566125697507969,22.054063479891663
,,,,,,,,,thumbnail,5512.0,Logan_2019-12-24,370.0,-173.9761718847888,-12.73348636608903,0.0554091231152625,18.757314481300234
,,,,,,,,,thumbnail,8947.0,Logan_2020-01-10,369.0,-156.85411699673782,7.2150358304719004,0.0611867450072586,15.930847172790298
,,,,,,,,,thumbnail,10440.0,Logan_2020-03-02,332.0,-16.657082779362213,-2.618856185644347,0.0732453162992082,14.038226593717868
,,,,,,,,,thumbnail,7601.0,Logan_2020-01-06,497.0,-114.47205043055736,77.65663743069419,0.0948984770943944,12.128687861251537
,,,,,,,,,thumbnail,4959.0,Logan_2019-12-20,284.0,-161.21798971784798,7.056734155144725,0.0745840185804592,11.725276127007271
