decoder_mode,latent,feature_space_mode,contrast,lhs,rhs,observation_scale,prior_family,mean_feature_cosine_delta,ci_low,ci_high,fraction_positive,n
linear_gaussian,pyramid_local_field,fold_zscore_whitened_pca,hidden_minus_zero_eye_model,hidden_eye_tau_marginal,zero_eye_on_motion,2.0,all,0.10012345589179812,0.07507416479487322,0.12488372357337962,0.6796875,256
linear_gaussian,pyramid_local_field,global_centered_whitened_pca,hidden_minus_zero_eye_model,hidden_eye_tau_marginal,zero_eye_on_motion,2.0,all,0.08297462044150358,0.055767072300671544,0.10816725822003433,0.65625,256
linear_gaussian,pyramid_local_field,fold_centered_whitened_pca,hidden_minus_zero_eye_model,hidden_eye_tau_marginal,zero_eye_on_motion,all,all,0.04265656574214205,0.02494220950682296,0.05994835203994179,0.5651041666666666,768
linear_gaussian,pyramid_local_field,fold_zscore_pca,hidden_minus_zero_eye_model,hidden_eye_tau_marginal,zero_eye_on_motion,all,all,-0.0022183211308156024,-0.020777416565548316,0.016514365157110716,0.515625,768
linear_gaussian,pyramid_local_field,fold_zscore_whitened_pca,hidden_minus_zero_eye_model,hidden_eye_tau_marginal,zero_eye_on_motion,all,all,0.06533254712826514,0.04905958512038595,0.08139569999041933,0.6015625,768
linear_gaussian,pyramid_local_field,global_centered_whitened_pca,hidden_minus_zero_eye_model,hidden_eye_tau_marginal,zero_eye_on_motion,all,all,0.05649491857881669,0.03950183426424648,0.07402733814246214,0.5963541666666666,768
linear_gaussian,pyramid_local_field,fold_centered_whitened_pca,known_minus_zero_eye_model,known_eye,zero_eye_on_motion,0.5,all,0.0008303735830621009,-0.032441072601306624,0.03350963761100286,0.484375,256
linear_gaussian,pyramid_local_field,fold_zscore_pca,known_minus_zero_eye_model,known_eye,zero_eye_on_motion,0.5,all,-0.09336619108156949,-0.12904307052031713,-0.05889175033226435,0.3359375,256
linear_gaussian,pyramid_local_field,fold_zscore_whitened_pca,known_minus_zero_eye_model,known_eye,zero_eye_on_motion,0.5,all,0.01777815301110442,-0.013147787611738387,0.0493592515784173,0.546875,256
linear_gaussian,pyramid_local_field,global_centered_whitened_pca,known_minus_zero_eye_model,known_eye,zero_eye_on_motion,0.5,all,0.025899551239055817,-0.004868094448725543,0.057589167119367464,0.5703125,256
linear_gaussian,pyramid_local_field,fold_centered_whitened_pca,known_minus_zero_eye_model,known_eye,zero_eye_on_motion,1.0,all,0.08595547670574663,0.052601949922296276,0.11938833558138369,0.625,256
linear_gaussian,pyramid_local_field,fold_zscore_pca,known_minus_zero_eye_model,known_eye,zero_eye_on_motion,1.0,all,0.023062073233036332,-0.00905682979468412,0.05606153196440178,0.5,256
linear_gaussian,pyramid_local_field,fold_zscore_whitened_pca,known_minus_zero_eye_model,known_eye,zero_eye_on_motion,1.0,all,0.11912753432368396,0.08762625182906156,0.15100653556583693,0.6640625,256
linear_gaussian,pyramid_local_field,global_centered_whitened_pca,known_minus_zero_eye_model,known_eye,zero_eye_on_motion,1.0,all,0.1073840634849242,0.07482799336070402,0.1412872788945996,0.6484375,256
linear_gaussian,pyramid_local_field,fold_centered_whitened_pca,known_minus_zero_eye_model,known_eye,zero_eye_on_motion,2.0,all,0.10403452165049895,0.07379727957442003,0.13426940192074324,0.6796875,256
linear_gaussian,pyramid_local_field,fold_zscore_pca,known_minus_zero_eye_model,known_eye,zero_eye_on_motion,2.0,all,0.07149169417348922,0.039738211714545904,0.10239125259955563,0.5625,256
linear_gaussian,pyramid_local_field,fold_zscore_whitened_pca,known_minus_zero_eye_model,known_eye,zero_eye_on_motion,2.0,all,0.12921250295360753,0.10027427709192778,0.15781260327571042,0.6875,256
linear_gaussian,pyramid_local_field,global_centered_whitened_pca,known_minus_zero_eye_model,known_eye,zero_eye_on_motion,2.0,all,0.10366229640603274,0.07356176606872333,0.13311017739259698,0.671875,256
linear_gaussian,pyramid_local_field,fold_centered_whitened_pca,known_minus_zero_eye_model,known_eye,zero_eye_on_motion,all,all,0.0636067906464359,0.04525194901892271,0.08179004141544413,0.5963541666666666,768
linear_gaussian,pyramid_local_field,fold_zscore_pca,known_minus_zero_eye_model,known_eye,zero_eye_on_motion,all,all,0.00039585877498535954,-0.019178652389819213,0.01906728696413968,0.4661458333333333,768
linear_gaussian,pyramid_local_field,fold_zscore_whitened_pca,known_minus_zero_eye_model,known_eye,zero_eye_on_motion,all,all,0.08870606342946531,0.06973055999004697,0.10671828868861481,0.6328125,768
linear_gaussian,pyramid_local_field,global_centered_whitened_pca,known_minus_zero_eye_model,known_eye,zero_eye_on_motion,all,all,0.07898197037667093,0.06029824052257221,0.09786234833621943,0.6302083333333334,768
linear_gaussian,pyramid_local_field,fold_centered_whitened_pca,known_motion_minus_zero_static,known_eye,zero_static,0.5,all,-0.09628169725142452,-0.12409496398550285,-0.07036977145792822,0.3203125,256
linear_gaussian,pyramid_local_field,fold_zscore_pca,known_motion_minus_zero_static,known_eye,zero_static,0.5,all,-0.21175202799302525,-0.23703690607122033,-0.18721038072285356,0.1328125,256
linear_gaussian,pyramid_local_field,fold_zscore_whitened_pca,known_motion_minus_zero_static,known_eye,zero_static,0.5,all,-0.1086456013684902,-0.13479120755169222,-0.0852139243238835,0.3125,256
linear_gaussian,pyramid_local_field,global_centered_whitened_pca,known_motion_minus_zero_static,known_eye,zero_static,0.5,all,-0.07506665604039471,-0.10228848063876692,-0.04631979183438926,0.3671875,256
linear_gaussian,pyramid_local_field,fold_centered_whitened_pca,known_motion_minus_zero_static,known_eye,zero_static,1.0,all,-0.05465993293997167,-0.08100870368295542,-0.027885688877325364,0.40625,256
