decoder_mode,latent,feature_space_mode,observer_mode,observer_label,observation_scale,prior_family,n,mean_feature_cosine,median_feature_cosine,mean_feature_mse,median_feature_mse,mean_feature_rmse,median_feature_pred_norm,median_feature_true_norm
linear_gaussian,pyramid_local_field,fold_centered_whitened_pca,hidden_eye_prior_mean,prior mean,0.5,axis_edge_orthogonal,128,0.06608781825651072,0.06073066648508667,3.1726856152030467,2.974009785109895,1.733972686447619,8.65520460523682,4.223746461179369
linear_gaussian,pyramid_local_field,fold_zscore_pca,hidden_eye_prior_mean,prior mean,0.5,axis_edge_orthogonal,128,0.11897517652854857,0.105582295014434,32.522229945332434,27.734283600113393,5.519980343248073,16.224832723416526,26.197863966873914
linear_gaussian,pyramid_local_field,fold_zscore_whitened_pca,hidden_eye_prior_mean,prior mean,0.5,axis_edge_orthogonal,128,0.08565111918688953,0.10619649198928804,3.127094740943503,2.905194292394044,1.7101651096771742,9.24774739519368,2.924220905075088
linear_gaussian,pyramid_local_field,global_centered_whitened_pca,hidden_eye_prior_mean,prior mean,0.5,axis_edge_orthogonal,128,0.07306160038461486,0.07535268502409888,3.4763901500063263,3.2165801388239856,1.8133006019106865,8.614803994487376,5.59506746576681
linear_gaussian,pyramid_local_field,fold_centered_whitened_pca,hidden_eye_tau_marginal,hidden eye,0.5,axis_edge_orthogonal,128,0.08358666636510792,0.06402401890346995,1.810552919436614,1.6386909105949425,1.3188036250605808,6.315971297232421,4.223746461179369
linear_gaussian,pyramid_local_field,fold_zscore_pca,hidden_eye_tau_marginal,hidden eye,0.5,axis_edge_orthogonal,128,0.09945014756119594,0.09359507508999965,28.110003555618512,24.183133602147354,5.131038253356205,10.64849652805161,26.197863966873914
linear_gaussian,pyramid_local_field,fold_zscore_whitened_pca,hidden_eye_tau_marginal,hidden eye,0.5,axis_edge_orthogonal,128,0.1113628541340615,0.12857620533475603,1.4807554829939082,1.3930491677162644,1.187064284081841,6.29257364441219,2.924220905075088
linear_gaussian,pyramid_local_field,global_centered_whitened_pca,hidden_eye_tau_marginal,hidden eye,0.5,axis_edge_orthogonal,128,0.09290159111503721,0.10705216544832825,2.0995898094321266,1.9625688933098722,1.4186437462696169,6.243667621855078,5.59506746576681
linear_gaussian,pyramid_local_field,fold_centered_whitened_pca,known_eye,known eye,0.5,axis_edge_orthogonal,128,0.09335342637600239,0.10355952906890487,1.9675935720022322,1.7839282698746037,1.368918023552155,6.454771241891049,4.223746461179369
linear_gaussian,pyramid_local_field,fold_zscore_pca,known_eye,known eye,0.5,axis_edge_orthogonal,128,0.11003384675134649,0.12057917902064727,28.296941362754186,23.654049245109128,5.154845232949708,11.119479938247414,26.197863966873914
linear_gaussian,pyramid_local_field,fold_zscore_whitened_pca,known_eye,known eye,0.5,axis_edge_orthogonal,128,0.1243461470374398,0.11970355282897119,1.6704309697661577,1.383484082692465,1.2522925154134603,6.422320603280317,2.924220905075088
linear_gaussian,pyramid_local_field,global_centered_whitened_pca,known_eye,known eye,0.5,axis_edge_orthogonal,128,0.1109682316360264,0.1218222559801489,2.2394972288820236,2.021524195651879,1.4601826824148099,6.3083616379503376,5.59506746576681
linear_gaussian,pyramid_local_field,fold_centered_whitened_pca,zero_eye_on_motion,zero-eye model,0.5,axis_edge_orthogonal,128,0.09252305279294029,0.08177199555829044,10.479496274901058,4.392088062477894,2.7460567637648534,11.529958311980447,4.223746461179369
linear_gaussian,pyramid_local_field,fold_zscore_pca,zero_eye_on_motion,zero-eye model,0.5,axis_edge_orthogonal,128,0.20340003783291596,0.20788376017591642,56.67685081034048,41.022965134128555,7.012426688154025,27.965086918099843,26.197863966873914
linear_gaussian,pyramid_local_field,fold_zscore_whitened_pca,zero_eye_on_motion,zero-eye model,0.5,axis_edge_orthogonal,128,0.10656799402633538,0.1261792910033448,13.157409558526652,5.721864832229345,3.011745319157827,13.11809912417845,2.924220905075088
linear_gaussian,pyramid_local_field,global_centered_whitened_pca,zero_eye_on_motion,zero-eye model,0.5,axis_edge_orthogonal,128,0.08506868039697058,0.07408189814423397,10.978292424605709,5.316842129196306,2.834507001366913,11.806550289112952,5.59506746576681
linear_gaussian,pyramid_local_field,fold_centered_whitened_pca,zero_static,0x stabilized,0.5,axis_edge_orthogonal,128,0.1896351236274269,0.1782146829654147,1.3110010466146318,1.119531503018055,1.1084308698209242,4.665760601759933,4.223746461179369
linear_gaussian,pyramid_local_field,fold_zscore_pca,zero_static,0x stabilized,0.5,axis_edge_orthogonal,128,0.32178587474437176,0.3443167211358944,24.821696295974597,22.100951834464986,4.833063504514162,15.383241199725228,26.197863966873914
linear_gaussian,pyramid_local_field,fold_zscore_whitened_pca,zero_static,0x stabilized,0.5,axis_edge_orthogonal,128,0.23299174840593,0.2282109832607339,1.168387260766012,0.924164460939428,1.0319185079031021,5.069701156336961,2.924220905075088
linear_gaussian,pyramid_local_field,global_centered_whitened_pca,zero_static,0x stabilized,0.5,axis_edge_orthogonal,128,0.1860348876764211,0.15756853856224967,1.6374329720116023,1.3793158474572973,1.23177261372618,4.675882796070466,5.59506746576681
linear_gaussian,pyramid_local_field,fold_centered_whitened_pca,hidden_eye_prior_mean,prior mean,0.5,axis_edge_parallel,128,0.06608781825651072,0.06073066648508667,3.1726856152030467,2.974009785109895,1.733972686447619,8.65520460523682,4.223746461179369
linear_gaussian,pyramid_local_field,fold_zscore_pca,hidden_eye_prior_mean,prior mean,0.5,axis_edge_parallel,128,0.11897517652854857,0.105582295014434,32.522229945332434,27.734283600113393,5.519980343248073,16.224832723416526,26.197863966873914
linear_gaussian,pyramid_local_field,fold_zscore_whitened_pca,hidden_eye_prior_mean,prior mean,0.5,axis_edge_parallel,128,0.08565111918688953,0.10619649198928804,3.127094740943503,2.905194292394044,1.7101651096771742,9.24774739519368,2.924220905075088
linear_gaussian,pyramid_local_field,global_centered_whitened_pca,hidden_eye_prior_mean,prior mean,0.5,axis_edge_parallel,128,0.07306160038461486,0.07535268502409888,3.4763901500063263,3.2165801388239856,1.8133006019106865,8.614803994487376,5.59506746576681
linear_gaussian,pyramid_local_field,fold_centered_whitened_pca,hidden_eye_tau_marginal,hidden eye,0.5,axis_edge_parallel,128,0.08358666636510792,0.06402401890346995,1.810552919436614,1.6386909105949425,1.3188036250605808,6.315971297232421,4.223746461179369
