table_index,trial_id,response_cache_path,candidate_set_mode,observation_family,prior_family,observation_scale,axis_catalog_mode,n_candidates,n_prior_trajectories,n_timebins,n_units,true_candidate_index,true_source_row,true_candidate_id,decoder_mode,observer_mode,observer_label,train_bank,test_input,latent,feature_space_mode,feature_fit_scope,feature_preprocessing,feature_whitened,feature_weighted,feature_variance_fraction,fold,n_train_samples,n_fit_sources,feature_mse,feature_neg_mse,feature_rmse,feature_l2_error,feature_cosine,feature_true_norm,feature_pred_norm
18,9,response_tables/trial_00009_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_parallel,0.5,per_candidate,4,16,40,756,0,369,source_row:369,linear_gaussian,known_eye,known eye,known,observed,pyramid_local_field,global_centered_whitened_pca,global,centered,True,False,0.7692590676533251,0,2478,128,1.698501508555379,-1.698501508555379,1.3032657091151363,7.372384164825659,-0.06794133375126933,5.021976583708456,5.066962263034641
19,9,response_tables/trial_00009_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,0.5,per_candidate,4,16,40,756,0,369,source_row:369,linear_gaussian,known_eye,known eye,known,observed,pyramid_local_field,global_centered_whitened_pca,global,centered,True,False,0.7692590676533251,0,2478,128,1.698501508555379,-1.698501508555379,1.3032657091151363,7.372384164825659,-0.06794133375126933,5.021976583708456,5.066962263034641
20,10,response_tables/trial_00010_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel1x.npz,hard_negative_structure,empirical,axis_edge_parallel,1.0,per_candidate,4,16,40,756,0,369,source_row:369,linear_gaussian,known_eye,known eye,known,observed,pyramid_local_field,global_centered_whitened_pca,global,centered,True,False,0.7692590676533251,0,2478,128,1.541070045964648,-1.541070045964648,1.2413984235388122,7.022409947508671,-0.08234730186857527,5.021976583708456,4.512406796843177
21,10,response_tables/trial_00010_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel1x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,1.0,per_candidate,4,16,40,756,0,369,source_row:369,linear_gaussian,known_eye,known eye,known,observed,pyramid_local_field,global_centered_whitened_pca,global,centered,True,False,0.7692590676533251,0,2478,128,1.541070045964648,-1.541070045964648,1.2413984235388122,7.022409947508671,-0.08234730186857527,5.021976583708456,4.512406796843177
22,11,response_tables/trial_00011_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,per_candidate,4,16,40,756,0,369,source_row:369,linear_gaussian,known_eye,known eye,known,observed,pyramid_local_field,global_centered_whitened_pca,global,centered,True,False,0.7692590676533251,0,2478,128,3.875186738192912,-3.875186738192912,1.96854939947996,11.135797035783886,-0.1907354815580425,5.021976583708456,9.02728185675497
23,11,response_tables/trial_00011_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel2x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,2.0,per_candidate,4,16,40,756,0,369,source_row:369,linear_gaussian,known_eye,known eye,known,observed,pyramid_local_field,global_centered_whitened_pca,global,centered,True,False,0.7692590676533251,0,2478,128,3.875186738192912,-3.875186738192912,1.96854939947996,11.135797035783886,-0.1907354815580425,5.021976583708456,9.02728185675497
66,33,response_tables/trial_00033_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_parallel,0.5,per_candidate,4,16,40,756,0,1446,source_row:1446,linear_gaussian,known_eye,known eye,known,observed,pyramid_local_field,global_centered_whitened_pca,global,centered,True,False,0.7692590676533251,0,2478,128,1.2416606521593416,-1.2416606521593416,1.1142982779127597,6.303422948612836,0.06584550462107429,3.278860135405462,5.6037390585004365
67,33,response_tables/trial_00033_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,0.5,per_candidate,4,16,40,756,0,1446,source_row:1446,linear_gaussian,known_eye,known eye,known,observed,pyramid_local_field,global_centered_whitened_pca,global,centered,True,False,0.7692590676533251,0,2478,128,1.2416606521593416,-1.2416606521593416,1.1142982779127597,6.303422948612836,0.06584550462107429,3.278860135405462,5.6037390585004365
68,34,response_tables/trial_00034_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel1x.npz,hard_negative_structure,empirical,axis_edge_parallel,1.0,per_candidate,4,16,40,756,0,1446,source_row:1446,linear_gaussian,known_eye,known eye,known,observed,pyramid_local_field,global_centered_whitened_pca,global,centered,True,False,0.7692590676533251,0,2478,128,0.8914834234074198,-0.8914834234074198,0.9441839987033352,5.34111126536767,0.049973913234294405,3.278860135405462,4.383264424625433
69,34,response_tables/trial_00034_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel1x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,1.0,per_candidate,4,16,40,756,0,1446,source_row:1446,linear_gaussian,known_eye,known eye,known,observed,pyramid_local_field,global_centered_whitened_pca,global,centered,True,False,0.7692590676533251,0,2478,128,0.8914834234074198,-0.8914834234074198,0.9441839987033352,5.34111126536767,0.049973913234294405,3.278860135405462,4.383264424625433
70,35,response_tables/trial_00035_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,per_candidate,4,16,40,756,0,1446,source_row:1446,linear_gaussian,known_eye,known eye,known,observed,pyramid_local_field,global_centered_whitened_pca,global,centered,True,False,0.7692590676533251,0,2478,128,1.9420866968723491,-1.9420866968723491,1.3935877069177773,7.883322541918171,0.0004034556045075419,3.278860135405462,7.1704129326826065
71,35,response_tables/trial_00035_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel2x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,2.0,per_candidate,4,16,40,756,0,1446,source_row:1446,linear_gaussian,known_eye,known eye,known,observed,pyramid_local_field,global_centered_whitened_pca,global,centered,True,False,0.7692590676533251,0,2478,128,1.9420866968723491,-1.9420866968723491,1.3935877069177773,7.883322541918171,0.0004034556045075419,3.278860135405462,7.1704129326826065
84,42,response_tables/trial_00042_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_parallel,0.5,per_candidate,4,16,40,756,0,1918,source_row:1918,linear_gaussian,known_eye,known eye,known,observed,pyramid_local_field,global_centered_whitened_pca,global,centered,True,False,0.7692590676533251,0,2478,128,1.6234452268177955,-1.6234452268177955,1.274144900244001,7.207651993414323,0.24217311913392586,5.676425390795253,6.024213174220206
85,42,response_tables/trial_00042_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,0.5,per_candidate,4,16,40,756,0,1918,source_row:1918,linear_gaussian,known_eye,known eye,known,observed,pyramid_local_field,global_centered_whitened_pca,global,centered,True,False,0.7692590676533251,0,2478,128,1.6234452268177955,-1.6234452268177955,1.274144900244001,7.207651993414323,0.24217311913392586,5.676425390795253,6.024213174220206
86,43,response_tables/trial_00043_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel1x.npz,hard_negative_structure,empirical,axis_edge_parallel,1.0,per_candidate,4,16,40,756,0,1918,source_row:1918,linear_gaussian,known_eye,known eye,known,observed,pyramid_local_field,global_centered_whitened_pca,global,centered,True,False,0.7692590676533251,0,2478,128,1.4102106989556566,-1.4102106989556566,1.1875229256547668,6.717644108359791,0.37207896269204765,5.676425390795253,6.2793092804900965
87,43,response_tables/trial_00043_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel1x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,1.0,per_candidate,4,16,40,756,0,1918,source_row:1918,linear_gaussian,known_eye,known eye,known,observed,pyramid_local_field,global_centered_whitened_pca,global,centered,True,False,0.7692590676533251,0,2478,128,1.4102106989556566,-1.4102106989556566,1.1875229256547668,6.717644108359791,0.37207896269204765,5.676425390795253,6.2793092804900965
88,44,response_tables/trial_00044_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,per_candidate,4,16,40,756,0,1918,source_row:1918,linear_gaussian,known_eye,known eye,known,observed,pyramid_local_field,global_centered_whitened_pca,global,centered,True,False,0.7692590676533251,0,2478,128,2.469781883727939,-2.469781883727939,1.5715539709879325,8.89005175908971,0.3224712809063591,5.676425390795253,8.91298989188412
89,44,response_tables/trial_00044_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel2x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,2.0,per_candidate,4,16,40,756,0,1918,source_row:1918,linear_gaussian,known_eye,known eye,known,observed,pyramid_local_field,global_centered_whitened_pca,global,centered,True,False,0.7692590676533251,0,2478,128,2.469781883727939,-2.469781883727939,1.5715539709879325,8.89005175908971,0.3224712809063591,5.676425390795253,8.91298989188412
90,45,response_tables/trial_00045_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_parallel,0.5,per_candidate,4,16,40,756,0,1945,source_row:1945,linear_gaussian,known_eye,known eye,known,observed,pyramid_local_field,global_centered_whitened_pca,global,centered,True,False,0.7692590676533251,0,2478,128,2.1246834165924118,-2.1246834165924118,1.4576293824537196,8.245596966318278,-0.1864929386328934,4.203007779122904,6.35332407202688
91,45,response_tables/trial_00045_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,0.5,per_candidate,4,16,40,756,0,1945,source_row:1945,linear_gaussian,known_eye,known eye,known,observed,pyramid_local_field,global_centered_whitened_pca,global,centered,True,False,0.7692590676533251,0,2478,128,2.1246834165924118,-2.1246834165924118,1.4576293824537196,8.245596966318278,-0.1864929386328934,4.203007779122904,6.35332407202688
92,46,response_tables/trial_00046_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel1x.npz,hard_negative_structure,empirical,axis_edge_parallel,1.0,per_candidate,4,16,40,756,0,1945,source_row:1945,linear_gaussian,known_eye,known eye,known,observed,pyramid_local_field,global_centered_whitened_pca,global,centered,True,False,0.7692590676533251,0,2478,128,1.9170467047865665,-1.9170467047865665,1.384574557323139,7.83233646833243,-0.13775869981705727,4.203007779122904,6.0554140977048965
93,46,response_tables/trial_00046_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel1x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,1.0,per_candidate,4,16,40,756,0,1945,source_row:1945,linear_gaussian,known_eye,known eye,known,observed,pyramid_local_field,global_centered_whitened_pca,global,centered,True,False,0.7692590676533251,0,2478,128,1.9170467047865665,-1.9170467047865665,1.384574557323139,7.83233646833243,-0.13775869981705727,4.203007779122904,6.0554140977048965
94,47,response_tables/trial_00047_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,per_candidate,4,16,40,756,0,1945,source_row:1945,linear_gaussian,known_eye,known eye,known,observed,pyramid_local_field,global_centered_whitened_pca,global,centered,True,False,0.7692590676533251,0,2478,128,2.3809908726328874,-2.3809908726328874,1.5430459723005299,8.728786165570353,0.09130170910365447,4.203007779122904,8.043617203631092
95,47,response_tables/trial_00047_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel2x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,2.0,per_candidate,4,16,40,756,0,1945,source_row:1945,linear_gaussian,known_eye,known eye,known,observed,pyramid_local_field,global_centered_whitened_pca,global,centered,True,False,0.7692590676533251,0,2478,128,2.3809908726328874,-2.3809908726328874,1.5430459723005299,8.728786165570353,0.09130170910365447,4.203007779122904,8.043617203631092
96,48,response_tables/trial_00048_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_parallel,0.5,per_candidate,4,16,40,756,0,2122,source_row:2122,linear_gaussian,known_eye,known eye,known,observed,pyramid_local_field,global_centered_whitened_pca,global,centered,True,False,0.7692590676533251,0,2478,128,2.140531127633339,-2.140531127633339,1.4630554082581217,8.276291203447766,0.007753707580057357,6.427941620266556,5.263384920009828
97,48,response_tables/trial_00048_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,0.5,per_candidate,4,16,40,756,0,2122,source_row:2122,linear_gaussian,known_eye,known eye,known,observed,pyramid_local_field,global_centered_whitened_pca,global,centered,True,False,0.7692590676533251,0,2478,128,2.140531127633339,-2.140531127633339,1.4630554082581217,8.276291203447766,0.007753707580057357,6.427941620266556,5.263384920009828
