decoder_mode,observer_mode,observer_label,train_bank,test_input,latent,feature_space_mode,fold,n_fit_sources,n_test_rows,feature_dim,raw_feature_dim,response_dim,feature_fit_scope,feature_preprocessing,feature_whitened,feature_weighted,feature_variance_fraction,interpretation,n_train_samples,ridge,noise_variance,response_map_fro_norm,posterior_gain_fro_norm
linear_gaussian,known_eye,known eye,known,observed,pyramid_local_field,global_centered_whitened_pca,0,128,156,32,3072,800,global,centered,True,False,0.7692590676533251,Feature posterior from measured-motion response family.,2478,0.01,2.542398256014557e-05,0.07306531455970783,427.0201351085832
linear_gaussian,hidden_eye_tau_marginal,hidden eye,prior_all,observed,pyramid_local_field,global_centered_whitened_pca,0,128,156,32,3072,800,global,centered,True,False,0.7692590676533251,Feature posterior after treating trajectory as nuisance variation.,39648,0.01,2.5053504584936617e-05,0.06274478026558845,328.7436999005139
linear_gaussian,hidden_eye_prior_mean,prior mean,prior_mean,observed,pyramid_local_field,global_centered_whitened_pca,0,128,156,32,3072,800,global,centered,True,False,0.7692590676533251,A stricter hidden-eye baseline trained on trajectory-averaged responses.,2478,0.01,9.531744526268056e-06,0.06274429090822188,595.0079625183897
linear_gaussian,zero_eye_on_motion,zero-eye model,zero,observed,pyramid_local_field,global_centered_whitened_pca,0,128,156,32,3072,800,global,centered,True,False,0.7692590676533251,Zero-eye response model applied to moving-response observations.,2478,0.01,1.835156241899256e-06,0.050809998980657745,1192.856520221996
linear_gaussian,zero_static,0x stabilized,zero,zero_static,pyramid_local_field,global_centered_whitened_pca,0,128,156,32,3072,800,global,centered,True,False,0.7692590676533251,Stabilized 0x counterfactual response and zero-eye response model.,2478,0.01,1.835156241899256e-06,0.050809998980657745,1192.856520221996
linear_gaussian,known_eye,known eye,known,observed,pyramid_local_field,global_centered_whitened_pca,1,128,156,32,3072,800,global,centered,True,False,0.7692590676533251,Feature posterior from measured-motion response family.,2436,0.01,2.5991298517174388e-05,0.06268896255874574,419.98563731703183
linear_gaussian,hidden_eye_tau_marginal,hidden eye,prior_all,observed,pyramid_local_field,global_centered_whitened_pca,1,128,156,32,3072,800,global,centered,True,False,0.7692590676533251,Feature posterior after treating trajectory as nuisance variation.,38976,0.01,2.5280313699563483e-05,0.0547532112790693,332.99764983524085
linear_gaussian,hidden_eye_prior_mean,prior mean,prior_mean,observed,pyramid_local_field,global_centered_whitened_pca,1,128,156,32,3072,800,global,centered,True,False,0.7692590676533251,A stricter hidden-eye baseline trained on trajectory-averaged responses.,2436,0.01,9.528023477441615e-06,0.054752950320134795,604.2710226469745
linear_gaussian,zero_eye_on_motion,zero-eye model,zero,observed,pyramid_local_field,global_centered_whitened_pca,1,128,156,32,3072,800,global,centered,True,False,0.7692590676533251,Zero-eye response model applied to moving-response observations.,2436,0.01,2.0016279474802794e-06,0.04275526101792687,1183.0148409772735
linear_gaussian,zero_static,0x stabilized,zero,zero_static,pyramid_local_field,global_centered_whitened_pca,1,128,156,32,3072,800,global,centered,True,False,0.7692590676533251,Stabilized 0x counterfactual response and zero-eye response model.,2436,0.01,2.0016279474802794e-06,0.04275526101792687,1183.0148409772735
