subset,zone,n_windows,count,fraction,ci95_low,ci95_high,uniform_expected_fraction,excess_fraction_points,observed_expected_ratio
All windows,parallel <=15 deg,11749,2553,0.2172950889437399,0.2099308762461419,0.2248441146803077,0.1666666666666666,0.0506284222770732,1.3037705336624394
All windows,orthogonal >=75 deg,11749,1775,0.1510766873776491,0.1447150647609518,0.1576664120727016,0.1666666666666666,-0.0155899792890175,0.906460124265895
All windows,mid 30-60 deg,11749,3546,0.3018129202485318,0.293578186499886,0.3101772150874203,0.3333333333333333,-0.0315204130848015,0.9054387607455954
Reliable axes,parallel <=15 deg,6242,1485,0.2379045177827619,0.2275044273645432,0.2486270198370637,0.1666666666666666,0.0712378511160952,1.4274271066965718
Reliable axes,orthogonal >=75 deg,6242,885,0.1417814802947773,0.1333479436462822,0.1506556724556695,0.1666666666666666,-0.0248851863718893,0.8506888817686639
Reliable axes,mid 30-60 deg,6242,1757,0.2814802947773149,0.2704605748728017,0.2927688224273155,0.3333333333333333,-0.0518530385560183,0.8444408843319449
High confidence,parallel <=15 deg,1045,370,0.354066985645933,0.3256539580567038,0.3835490331290005,0.1666666666666666,0.1874003189792663,2.1244019138755985
High confidence,orthogonal >=75 deg,1045,145,0.138755980861244,0.1191159460814816,0.1610422780011634,0.1666666666666666,-0.0279106858054226,0.8325358851674641
High confidence,mid 30-60 deg,1045,215,0.2057416267942583,0.1823307993548941,0.2313080189375916,0.3333333333333333,-0.1275917065390749,0.6172248803827751
