subset,n_windows,n_sessions,mean_edge_alignment_index_window,mean_edge_alignment_index_session,ci95_low_session_mean,ci95_high_session_mean,median_abs_delta_deg,fraction_within_15deg_parallel,fraction_within_30deg_parallel,fraction_within_15deg_orthogonal,fraction_within_30deg_orthogonal,resultant_R_abs_mean_exp2i
All windows,11749,30,0.0972989185150584,0.1052417704363759,0.0670878300255625,0.1450657451030796,39.015405920536345,0.2172950889437399,0.4021618861179675,0.1510766873776491,0.2960251936335007,0.1026867604450968
Reliable axes,6242,30,0.1354640531218104,0.1395772185448149,0.0892601579239951,0.1876218418664598,36.396120442728886,0.2379045177827619,0.4328740788208907,0.1417814802947773,0.2856456264017943,0.1471645455339184
High confidence,1045,30,0.2890927802898887,0.2690317226851458,0.1375361630487042,0.3960505650426162,25.56094581468029,0.354066985645933,0.5559808612440191,0.138755980861244,0.2382775119617224,0.2953240609176775
