condition,condition_order,scale,zero_eye_accuracy,known_eye_accuracy,parallel_joint_accuracy,orthogonal_joint_accuracy,parallel_minus_orthogonal
matched static 0.5x,0,0.5,0.640625,1.0,0.859375,0.828125,0.03125
hard negatives 0.5x,1,0.5,0.609375,1.0,0.8125,0.78125,0.03125
hard negatives 1.0x,2,1.0,0.390625,1.0,0.796875,0.8046875,-0.0078125
hard negatives 2.0x,3,2.0,0.3359375,1.0,0.6796875,0.7421875,-0.0625
