candidate_set_mode,observation_condition,observation_family,observation_scale,prior_condition,prior_family,prior_scale,axis_catalog_mode,axis_shared_source_catalog,trajectory_prior_mode,zero_reference_mode,bin_seconds,likelihood_scale,latent,requested_k,k_eff,k_dim,basis_mode,metric,lhs_response_variant,rhs_response_variant,contrast,mean_lhs_minus_rhs,median_lhs_minus_rhs,n_trials,n_paired_trials,mean_lhs_minus_rhs_n,mean_lhs_minus_rhs_ci_low,mean_lhs_minus_rhs_ci_high,mean_lhs_minus_rhs_permutation_p_two_sided,mean_lhs_minus_rhs_bootstrap_n,mean_lhs_minus_rhs_permutation_n,mean_lhs_minus_rhs_fraction_positive,mean_lhs_minus_rhs_fraction_negative,mean_lhs_minus_rhs_fraction_zero,axis_label
hard_negative_structure,empirical,empirical,0.5,axis_edge_orthogonal,axis_edge_orthogonal,0.5,per_candidate,True,leave_one_out,patch_center_static_tau_zero,0.0083333333333333,1.0,pyramid_local_field,8,8,10,image_disjoint,feature_cosine,compact_only,zero_static,compact_only_minus_zero_static,0.0830589976663696,0.0035187848014233,128,128,128,0.0526402878193635,0.1159414410702787,9.999000099990002e-05,10000,10000,0.625,0.375,0.0,axis prior B
hard_negative_structure,empirical,empirical,0.5,axis_edge_orthogonal,axis_edge_orthogonal,0.5,per_candidate,True,leave_one_out,patch_center_static_tau_zero,0.0083333333333333,1.0,pyramid_local_field,8,8,10,image_disjoint,feature_cosine,compact_removed,zero_static,compact_removed_minus_zero_static,-0.0055690342604402,5.581633201745539e-07,128,128,128,-0.0227644142717368,0.0081507478315699,0.5327467253274673,10000,10000,0.5234375,0.4765625,0.0,axis prior B
hard_negative_structure,empirical,empirical,0.5,axis_edge_orthogonal,axis_edge_orthogonal,0.5,per_candidate,True,leave_one_out,patch_center_static_tau_zero,0.0083333333333333,1.0,pyramid_local_field,8,8,10,image_disjoint,feature_cosine,compact_only,compact_removed,compact_only_minus_compact_removed,0.0886280319268099,0.0015210865362925,128,128,128,0.0541418449244298,0.1274343538781102,9.999000099990002e-05,10000,10000,0.609375,0.390625,0.0,axis prior B
hard_negative_structure,empirical,empirical,0.5,axis_edge_orthogonal,axis_edge_orthogonal,0.5,per_candidate,True,leave_one_out,patch_center_static_tau_zero,0.0083333333333333,1.0,pyramid_local_field,8,8,10,image_disjoint,feature_cosine,full_exact,compact_removed,full_exact_minus_compact_removed,0.1070150729294101,0.0034581773089178,128,128,128,0.0683413087067908,0.149166974953386,9.999000099990002e-05,10000,10000,0.59375,0.40625,0.0,axis prior B
hard_negative_structure,empirical,empirical,0.5,axis_edge_parallel,axis_edge_parallel,0.5,per_candidate,True,leave_one_out,patch_center_static_tau_zero,0.0083333333333333,1.0,pyramid_local_field,8,8,10,image_disjoint,feature_cosine,compact_only,zero_static,compact_only_minus_zero_static,0.0865402086096529,0.0050708798160661,128,128,128,0.0520680666449329,0.1241164864414948,9.999000099990002e-05,10000,10000,0.6171875,0.3828125,0.0,axis prior A
hard_negative_structure,empirical,empirical,0.5,axis_edge_parallel,axis_edge_parallel,0.5,per_candidate,True,leave_one_out,patch_center_static_tau_zero,0.0083333333333333,1.0,pyramid_local_field,8,8,10,image_disjoint,feature_cosine,compact_removed,zero_static,compact_removed_minus_zero_static,-0.0064297994353271,4.732402376694811e-05,128,128,128,-0.0179461197109483,0.0040950181453353,0.2596740325967403,10000,10000,0.53125,0.46875,0.0,axis prior A
hard_negative_structure,empirical,empirical,0.5,axis_edge_parallel,axis_edge_parallel,0.5,per_candidate,True,leave_one_out,patch_center_static_tau_zero,0.0083333333333333,1.0,pyramid_local_field,8,8,10,image_disjoint,feature_cosine,compact_only,compact_removed,compact_only_minus_compact_removed,0.09297000804498,0.0023973669398149,128,128,128,0.0565044777284059,0.1338551943918678,9.999000099990002e-05,10000,10000,0.5625,0.4375,0.0,axis prior A
hard_negative_structure,empirical,empirical,0.5,axis_edge_parallel,axis_edge_parallel,0.5,per_candidate,True,leave_one_out,patch_center_static_tau_zero,0.0083333333333333,1.0,pyramid_local_field,8,8,10,image_disjoint,feature_cosine,full_exact,compact_removed,full_exact_minus_compact_removed,0.1183310839842644,0.0021808826066049,128,128,128,0.0743833142365461,0.1659595386997669,9.999000099990002e-05,10000,10000,0.5625,0.4375,0.0,axis prior A
hard_negative_structure,empirical,empirical,1.0,axis_edge_orthogonal,axis_edge_orthogonal,1.0,per_candidate,True,leave_one_out,patch_center_static_tau_zero,0.0083333333333333,1.0,pyramid_local_field,8,8,10,image_disjoint,feature_cosine,compact_only,zero_static,compact_only_minus_zero_static,0.1665550757494792,0.0330252710670883,128,128,128,0.1167911445676429,0.2187872997239226,9.999000099990002e-05,10000,10000,0.6328125,0.3671875,0.0,axis prior B
hard_negative_structure,empirical,empirical,1.0,axis_edge_orthogonal,axis_edge_orthogonal,1.0,per_candidate,True,leave_one_out,patch_center_static_tau_zero,0.0083333333333333,1.0,pyramid_local_field,8,8,10,image_disjoint,feature_cosine,compact_removed,zero_static,compact_removed_minus_zero_static,-0.0338576988518005,-0.000238366072674,128,128,128,-0.0728260473131296,0.0006650800644132,0.0725927407259274,10000,10000,0.4609375,0.5390625,0.0,axis prior B
