observation_scale,scale_label,response_variant,condition_label,mean_feature_cosine,min_feature_cosine,max_feature_cosine,mean_feature_neg_mse,mean_candidate_true_mass,median_candidate_N_eff_fraction,median_clipped_rate_fraction,n_trial_rows
0.5,0.5x,compact_addback,compact addback,0.8720269234456437,0.86679930050566,0.8772545463856274,-18.419044707456706,0.4622593070994488,0.7812794468404585,0.0,256
0.5,0.5x,compact_only,compact only,0.8501528649747014,0.8484122595030599,0.8518934704463431,-21.641955615730655,0.4445903204960835,0.7920165771428981,0.0010692239858906,256
0.5,0.5x,compact_removed,compact removed,0.7593538449888064,0.758923462401363,0.7597842275762499,-41.152803512475536,0.3989662006815556,0.6414252392572719,0.0147614225088183,256
0.5,0.5x,full_exact,latent-eye full joint,0.8720269234456437,0.86679930050566,0.8772545463856274,-18.419044707456703,0.4622593070994488,0.7812794468404585,0.0,256
0.5,0.5x,known_eye,known-eye ceiling,0.9273524336780122,0.9273524336780122,0.9273524336780122,-11.428614280641735,0.543264575183102,0.6672643718483452,0.0,256
0.5,0.5x,zero_static,static reference,0.7653532618366901,0.7653532618366901,0.7653532618366901,-38.760875219670034,0.3966852366862985,0.6721519742822251,0.0,256
1.0,1x,compact_addback,compact addback,0.8720975415363592,0.8668579624580571,0.8773371206146614,-19.289564344213204,0.4661198082981936,0.762970509896616,0.0,256
1.0,1x,compact_only,compact only,0.8384044614161871,0.8343852965331935,0.8424236262991807,-24.059044895669434,0.43699168161220403,0.8006586173620798,0.0018271650867136499,256
1.0,1x,compact_removed,compact removed,0.6353366434943003,0.6339725219319137,0.6367007650566869,-62.38806895381177,0.34301078323511114,0.4505288093902675,0.02502089763374485,256
1.0,1x,full_exact,latent-eye full joint,0.8720975415363592,0.866857962458057,0.8773371206146615,-19.289564344213204,0.4661198082981935,0.762970509896616,0.0,256
1.0,1x,known_eye,known-eye ceiling,0.9358022795936284,0.9358022795936284,0.9358022795936284,-10.01284263750659,0.5692372776557224,0.6135551383662913,0.0,256
1.0,1x,zero_static,static reference,0.6678302207837141,0.6678302207837141,0.6678302207837141,-57.440836939001,0.339619176134087,0.5060949767191283,0.0,256
2.0,2x,compact_addback,compact addback,0.8714039717743298,0.8710556743194965,0.871752269229163,-19.722884989123877,0.4709589651917643,0.737797465699086,0.0,256
2.0,2x,compact_only,compact only,0.8264574820475687,0.8245757357762298,0.8283392283189077,-25.676599667861325,0.4274138839891479,0.7748010938919949,0.00208654835390945,256
2.0,2x,compact_removed,compact removed,0.5369070707911479,0.5157583412030265,0.5580558003792693,-89.01796404350969,0.3030453226912193,0.2688989806764033,0.0357207157554379,256
2.0,2x,full_exact,latent-eye full joint,0.8714039717743298,0.8710556743194965,0.871752269229163,-19.722884989123887,0.4709589651917644,0.7377974656990842,0.0,256
2.0,2x,known_eye,known-eye ceiling,0.9487607040649944,0.9487607040649944,0.9487607040649944,-7.745278252092201,0.6095136430748158,0.5675954744195006,0.0,256
2.0,2x,zero_static,static reference,0.57616182752228,0.57616182752228,0.57616182752228,-80.8908981882172,0.3077236903407622,0.3730639843575754,0.0,256
