candidate_set_mode,observation_condition,observation_family,observation_scale,prior_condition,prior_family,prior_scale,axis_catalog_mode,axis_shared_source_catalog,trajectory_prior_mode,likelihood_scale,latent,requested_k,k_eff,response_variant,score_source_mode,k_dim,basis_mode,basis_type,n_trial_rows,n_trials,mean_feature_cosine,median_feature_cosine,mean_feature_neg_mse,median_feature_neg_mse,mean_feature_rmse,median_feature_rmse,mean_candidate_true_mass,median_candidate_true_mass,mean_candidate_N_eff_fraction,median_candidate_N_eff_fraction,median_score_true_rank,mean_score_true_margin,median_negative_rate_fraction_before_clamp,median_clipped_rate_fraction,median_negative_rate_min,median_negative_rate_mass,variant_label,axis_label,scale_label
hard_negative_structure,empirical,empirical,0.5,axis_edge_orthogonal,axis_edge_orthogonal,0.5,per_candidate,True,leave_one_out,1.0,pyramid_local_field,8,8,compact_addback,joint,10,image_disjoint,compact,128,128,0.86679930050566,0.9539809276013044,-19.29099165755397,-10.48972897258317,3.629297256119362,3.2387640315359,0.4627782634181706,0.4183511210849014,0.7290719773906104,0.7744232297159852,1.0,0.6191887035324732,0.0,0.0,8.145989340846427e-06,0.0,addback,axis prior B,0.5x
hard_negative_structure,empirical,empirical,0.5,axis_edge_orthogonal,axis_edge_orthogonal,0.5,per_candidate,True,leave_one_out,1.0,pyramid_local_field,8,8,compact_only,joint,10,image_disjoint,compact,128,128,0.8484122595030599,0.9511175309536468,-22.24458526995483,-10.56741625335545,3.808892743181894,3.2507509189044344,0.4460522875097065,0.3893665714957407,0.7269377257456265,0.7927886648138112,1.0,0.4834062752125991,0.001276822457378,0.0012772817460317,-0.0011317072872582,0.4324111350443745,compact only,axis prior B,0.5x
hard_negative_structure,empirical,empirical,0.5,axis_edge_orthogonal,axis_edge_orthogonal,0.5,per_candidate,True,leave_one_out,1.0,pyramid_local_field,8,8,compact_removed,joint,10,image_disjoint,compact,128,128,0.7597842275762499,0.9380884375844222,-41.6392849307623,-11.02276389217712,4.717161644449407,3.3199423760434543,0.3967467666553642,0.3399624272543572,0.6204723078471166,0.6470584327952253,1.0,-0.3051510798683619,0.016399360670194,0.0164011978248089,-0.0041712924482056,6.146361186981444,compact removed,axis prior B,0.5x
hard_negative_structure,empirical,empirical,0.5,axis_edge_orthogonal,axis_edge_orthogonal,0.5,per_candidate,True,leave_one_out,1.0,pyramid_local_field,8,8,full_exact,joint,10,image_disjoint,none,128,128,0.86679930050566,0.9539809276013044,-19.29099165755396,-10.48972897258317,3.629297256119361,3.2387640315359,0.4627782634181706,0.4183511210849014,0.7290719773906102,0.7744232297159852,1.0,0.6191887035324732,0.0,0.0,8.145989340846427e-06,0.0,full joint,axis prior B,0.5x
hard_negative_structure,empirical,empirical,0.5,axis_edge_orthogonal,axis_edge_orthogonal,0.5,per_candidate,True,leave_one_out,1.0,pyramid_local_field,8,8,known_eye,known,10,image_disjoint,none,128,128,0.9273524336780122,0.9723475697445114,-11.428614280641735,-6.912193282756084,2.804012117337625,2.629098452177173,0.543264575183102,0.4895560588437906,0.6614244472937993,0.6672643718483452,1.0,1.0392547163478814,0.0,0.0,8.145989340846427e-06,0.0,known eye,axis prior B,0.5x
hard_negative_structure,empirical,empirical,0.5,axis_edge_orthogonal,axis_edge_orthogonal,0.5,per_candidate,True,leave_one_out,1.0,pyramid_local_field,8,8,zero_static,joint,10,image_disjoint,none,128,128,0.7653532618366901,0.9455596341698624,-38.760875219670034,-10.679888606963509,4.652605264858365,3.2679953797360186,0.3966852366862985,0.325509450611646,0.6415307221730204,0.6721519742822251,1.0,-0.1925913500543745,0.0,0.0,9.812794814934024e-06,0.0,zero eye,axis prior B,0.5x
hard_negative_structure,empirical,empirical,0.5,axis_edge_parallel,axis_edge_parallel,0.5,per_candidate,True,leave_one_out,1.0,pyramid_local_field,8,8,compact_addback,joint,10,image_disjoint,compact,128,128,0.8772545463856274,0.9467731900022966,-17.547097757359445,-11.148453317431215,3.573024010059447,3.338738172473822,0.461740350780727,0.3948331448526541,0.7332034083898324,0.7881356639649317,1.0,0.6214315457175279,0.0,0.0,8.074082870734856e-06,0.0,addback,axis prior A,0.5x
hard_negative_structure,empirical,empirical,0.5,axis_edge_parallel,axis_edge_parallel,0.5,per_candidate,True,leave_one_out,1.0,pyramid_local_field,8,8,compact_only,joint,10,image_disjoint,compact,128,128,0.8518934704463431,0.9408540204613788,-21.03932596150648,-11.182592193526524,3.8014740733266015,3.3440267151269625,0.4431283534824605,0.3639775071730832,0.7325890829784822,0.791244489471985,1.0,0.4972453924539808,0.0008611662257495,0.0008611662257495,-0.0009247350056993,0.2137937687304501,compact only,axis prior A,0.5x
hard_negative_structure,empirical,empirical,0.5,axis_edge_parallel,axis_edge_parallel,0.5,per_candidate,True,leave_one_out,1.0,pyramid_local_field,8,8,compact_removed,joint,10,image_disjoint,compact,128,128,0.758923462401363,0.9374449818487788,-40.66632209418877,-10.634308646556375,4.689282067584584,3.260929708780582,0.401185634707747,0.3338171671406622,0.6202232552303875,0.6357920457193185,1.0,-0.2101175780773971,0.0131207286155202,0.0131216471928277,-0.0035557413064532,4.486091513970571,compact removed,axis prior A,0.5x
hard_negative_structure,empirical,empirical,0.5,axis_edge_parallel,axis_edge_parallel,0.5,per_candidate,True,leave_one_out,1.0,pyramid_local_field,8,8,full_exact,joint,10,image_disjoint,none,128,128,0.8772545463856274,0.9467731900022966,-17.547097757359445,-11.148453317431215,3.573024010059447,3.338738172473822,0.461740350780727,0.3948331448526541,0.7332034083898324,0.7881356639649317,1.0,0.6214315457175279,0.0,0.0,8.074082870734856e-06,0.0,full joint,axis prior A,0.5x
