observation_scale,contrast,contrast_label,mean_feature_cosine_delta,ci_low,ci_high,n_paired_rows,fraction_positive
0.5,known_eye_minus_zero_static,oracle 1x gain,0.16199917184132218,0.12654835842404982,0.20099694662489032,256,0.7109375
0.5,full_exact_minus_zero_static,hidden-eye 1x gain,0.10667366160895361,0.07989382833700334,0.13599333519053006,256,0.59765625
0.5,known_eye_minus_full_exact,latent-eye penalty,0.05532551023236858,0.0410065393491226,0.07126509936121803,256,0.84765625
1.0,known_eye_minus_zero_static,oracle 1x gain,0.26797205880991426,0.2212721875593392,0.3176651098582748,256,0.6875
1.0,full_exact_minus_zero_static,hidden-eye 1x gain,0.20426732075264514,0.16370546897881721,0.2475988653111605,256,0.625
1.0,known_eye_minus_full_exact,latent-eye penalty,0.06370473805726914,0.04761441962538533,0.08072931525040986,256,0.8828125
2.0,known_eye_minus_zero_static,oracle 1x gain,0.37259887654271445,0.31505657892320593,0.4312412496252709,256,0.7109375
2.0,full_exact_minus_zero_static,hidden-eye 1x gain,0.2952421442520498,0.23976290382189902,0.3505325133098923,256,0.671875
2.0,known_eye_minus_full_exact,latent-eye penalty,0.07735673229066467,0.05991137090806552,0.09560478610058244,256,0.9140625
