observation_scale,response_variant,variant_label,mean_feature_cosine,median_feature_cosine,mean_feature_neg_mse,mean_candidate_true_mass,median_candidate_N_eff_fraction,n_rows
0.5,full_exact,"motion, eye hidden",0.8720269234456437,0.9501684302765849,-18.419044707456703,0.46225930709944885,0.7845269945517425,256
0.5,known_eye,"motion, eye known",0.9273524336780122,0.9723475697445114,-11.428614280641735,0.543264575183102,0.6672643718483452,256
0.5,zero_static,0x stabilized,0.7653532618366901,0.9455596341698623,-38.760875219670034,0.39668523668629846,0.6721519742822251,256
1.0,full_exact,"motion, eye hidden",0.8720975415363593,0.9492342389272086,-19.289564344213197,0.4661198082981935,0.7602082474064104,256
1.0,known_eye,"motion, eye known",0.9358022795936285,0.978308614201086,-10.012842637506589,0.5692372776557224,0.6135551383662913,256
1.0,zero_static,0x stabilized,0.6678302207837141,0.9075379075100442,-57.44083693900101,0.33961917613408704,0.5060949767191283,256
2.0,full_exact,"motion, eye hidden",0.8714039717743297,0.960510392365867,-19.722884989123887,0.4709589651917644,0.7398758910294083,256
2.0,known_eye,"motion, eye known",0.9487607040649944,0.9853899262965802,-7.7452782520922,0.6095136430748158,0.5675954744195006,256
2.0,zero_static,0x stabilized,0.57616182752228,0.8333017957736226,-80.8908981882172,0.30772369034076225,0.3730639843575754,256
