window_row,source_window_id,session,trial_idx,display_axis_deg,stability_edge_axis_gaze_deg,image_orientation_coherence,source_rms_contrast,source_gradient_energy,source_edge_density,twin_parallel_cost_x1e4,twin_orthogonal_cost_x1e4,twin_stability_advantage_x1e4,pixel_stability_advantage,visual_score
17,252,Allen_2022-03-02,477,-4.813505179367278,-4.813505179367278,0.6800731251333298,0.5190566599709755,23302.434811941304,0.1583740934390285,18.132082186639,19.612195901572,1.480113714933,1541.051025390625,0.611764885697836
34,465,Allen_2022-03-30,534,-0.46685870648996,-0.46685870648996,0.7449332760603793,0.3583380222943505,21764.63147242368,0.1634339686287738,7.431107223965,21.588082890957,14.156975666992,2708.01611328125,0.68491142986257
26,333,Allen_2022-03-04,444,-177.66056707622087,-177.66056707622087,0.8027556437545191,0.1773031403735269,3922.432113341204,0.1391465677179963,3.186734684277,9.202088112941999,6.015353428665,964.444366455078,0.4492850191027712
29,380,Allen_2022-03-30,309,-11.977687364407544,-11.977687364407544,0.7020369974098267,0.1515344241958714,2320.544442570417,0.1477483555405633,6.829211488366,17.180113354697,10.350901866331,289.5293884277344,0.3804910010376828
60,688,Allen_2022-04-08,355,-2.199389124715495,-2.199389124715495,0.7711907840648061,0.1700547303161279,949.2771124978916,0.0898971158711418,1.920853246701,2.958876139018,1.038022892316,80.82486724853516,0.2939023768358012
219,2605,Logan_2020-03-02,328,-2.4190953008242646,-2.4190953008242646,0.7282122406230872,0.7385440032614313,34903.479844830494,0.1514589306797099,10.47404599376,21.557055879384002,11.083009885624,1647.5512084960938,0.8488683037962405
216,2573,Logan_2020-03-02,184,-11.679601515328988,-11.679601515328988,0.7080358291048776,0.7161717807501681,37824.2907741609,0.1571934558947545,11.258348822593,20.279302261769,9.020953439176001,1059.1065673828125,0.8186978439821052
215,2571,Logan_2020-03-02,184,-11.48623442860219,-11.48623442860219,0.6915021510450919,0.7060408050701069,40605.53820205768,0.1595547309833024,10.130306473001001,19.949744455516,9.819437982514,1166.007568359375,0.8092910760773296
40,533,Allen_2022-04-01,444,-6.399680739546751,-6.399680739546751,0.7138294161243999,0.8747617001834164,29477.26429414741,0.1197503794906392,17.708716914057,20.188239868729998,2.479522954672,1035.0414428710938,0.7559497049127828
41,536,Allen_2022-04-01,444,-7.0052592569115335,-7.0052592569115335,0.7062743757610704,0.8782854525102479,27972.293472761005,0.1150278293135436,21.815299987792002,27.133622206747,5.318322218954,974.6237182617188,0.7488487384071341
137,1590,Logan_2019-12-30,448,-178.8299747043985,-178.8299747043985,0.8024188120447867,0.3698413018720779,23789.281160398044,0.1507842806544105,7.0726126432409995,14.92359675467,7.850984111428,2690.8966064453125,0.7021112270067195
146,1735,Logan_2020-01-06,425,-91.6227470785006,-91.6227470785006,0.7467450334680732,0.3797772647486515,25288.779895429245,0.1428571428571428,13.94250895828,17.883107066154,3.940598107874,1237.189208984375,0.6328083268529344
18,253,Allen_2022-03-02,477,-4.778217929827496,-4.778217929827496,0.6815110437171821,0.5185796433677279,23333.540900657783,0.1580367684263788,19.470385741441998,23.599285632371,4.128899890929,1518.6791381835938,0.6296795922230314
12,182,Allen_2022-02-24,492,-94.02958528622769,-94.02958528622769,0.5968598840068983,0.3260635603765207,32590.98869961208,0.1433631303761174,7.915665046311,27.893437072633997,19.977772026322,507.1265258789063,0.6205102956190831
112,1260,Logan_2019-12-23,463,-178.42254463755887,-178.42254463755887,0.6246118550234341,0.4493024925703344,27604.178782256706,0.1647832686793725,9.385847952216,15.867468900977999,6.481620948761,1069.1301879882812,0.6086445670085615
37,489,Allen_2022-04-01,309,-171.60620854650807,-171.60620854650807,0.4541636466979629,0.6557597782793296,33660.28402766065,0.1526395682239838,12.444168096408001,21.252455189824,8.808287093415,996.166015625,0.5727462349360539
151,1761,Logan_2020-01-06,459,-8.139190788913263,-8.139190788913263,0.5970478346730683,0.8646393491474044,11912.178107606678,0.1281835048068814,13.429176760837,23.137908428907,9.708731668069,1116.4972534179688,0.5714643294041597
104,1140,Logan_2019-12-20,235,-1.6729953978230756,-1.6729953978230756,0.6294407997277143,0.7590185894013245,17553.23865744645,0.1305447798954292,11.55536621809,13.607426080852001,2.052059862762,1026.2544860839844,0.5662141442912086
