variant,display_axis_deg,raw_window_row,session,trial_idx,stored_image_edge_axis_deg,hough_rail_fit_axis_deg
stored aggregate,-31.417875501106,17,Allen_2022-02-16,184,-31.417875501106,-37.58283985263988
Hough rail fit,-37.58283985263988,17,Allen_2022-02-16,184,-31.417875501106,-37.58283985263988
rail -40 deg,-40.0,17,Allen_2022-02-16,184,-31.417875501106,-37.58283985263988
rail -42 deg,-42.0,17,Allen_2022-02-16,184,-31.417875501106,-37.58283985263988
rail -45 deg,-45.0,17,Allen_2022-02-16,184,-31.417875501106,-37.58283985263988
