length,array_axis_deg,display_axis_deg,x1,y1,x2,y2
134.27211177307072,34.99202019855866,-34.99202019855866,69.0,77.0,179.0,154.0
119.54078801814885,34.08887161571661,-34.08887161571661,90.0,103.0,189.0,170.0
93.34880824091971,44.131948550254464,-44.131948550254464,1.0,11.0,68.0,76.0
253.144227664784,45.0,-45.0,0.0,6.0,179.0,185.0
68.41052550594829,37.874983651098205,-37.874983651098205,134.0,138.0,188.0,180.0
207.51144546747295,34.99202019855866,-34.99202019855866,1.0,35.0,171.0,154.0
73.24616030891995,38.904138455404194,-38.904138455404194,132.0,137.0,189.0,183.0
131.52186130069785,45.0,-45.0,2.0,13.0,95.0,106.0
97.0,0.0,-0.0,6.0,66.0,103.0,66.0
123.43419299367578,26.980230718222856,-26.980230718222856,55.0,133.0,165.0,189.0
138.4088147481944,-49.98241959037582,49.98241959037582,15.0,189.0,104.0,83.0
95.77055915050303,61.29404745659892,-61.29404745659892,3.0,2.0,49.0,86.0
120.0,-90.0,90.0,3.0,127.0,3.0,7.0
58.82176467941097,35.31121343963321,-35.31121343963321,5.0,34.0,53.0,68.0
147.82760229402356,-68.99031596584004,68.99031596584004,46.0,186.0,99.0,48.0
133.80956617521784,-16.94532337737914,16.94532337737914,3.0,161.0,131.0,122.0
252.79438284898657,41.95351900983698,-41.95351900983698,1.0,8.0,189.0,177.0
118.33004690272035,-20.27268561330986,20.27268561330986,0.0,173.0,111.0,132.0
48.010415536631214,-88.80651057601797,88.80651057601797,158.0,189.0,159.0,141.0
113.01769772916099,30.876813079060412,-30.876813079060412,29.0,31.0,126.0,89.0
86.40023148117139,73.87242417404019,-73.87242417404019,152.0,49.0,176.0,132.0
165.59287424282482,57.07766916236423,-57.07766916236423,73.0,50.0,163.0,189.0
111.66467659918243,-38.82007575081689,38.82007575081689,1.0,181.0,88.0,111.0
80.049984384758,-12.9946167919165,12.9946167919165,96.0,27.0,174.0,9.0
76.0,0.0,-0.0,0.0,79.0,76.0,79.0
121.74152947946727,-24.249204410401376,24.249204410401376,0.0,189.0,111.0,139.0
97.0,0.0,-0.0,87.0,169.0,184.0,169.0
50.24937810560445,5.710593137499643,-5.710593137499643,2.0,2.0,52.0,7.0
68.0,0.0,-0.0,118.0,173.0,186.0,173.0
98.41239759298622,5.247138901616438,-5.247138901616438,78.0,13.0,176.0,22.0
108.85311203635843,-23.267704810056955,23.267704810056955,2.0,182.0,102.0,139.0
51.088159097779204,3.3664606634298053,-3.3664606634298053,1.0,6.0,52.0,9.0
50.35871324805669,83.15722658736905,-83.15722658736905,181.0,135.0,187.0,185.0
63.071388124885914,-25.346175941946683,25.346175941946683,131.0,132.0,188.0,105.0
55.54277630799526,-23.33404127670977,23.33404127670977,3.0,183.0,54.0,161.0
55.758407437802596,-57.44999650780661,57.44999650780661,80.0,103.0,110.0,56.0
50.635955604688654,-80.90972307917768,80.90972307917768,25.0,52.0,33.0,2.0
104.20172743289815,-26.81095430034869,26.81095430034869,19.0,188.0,112.0,141.0
97.75479527879949,59.2372804657611,-59.2372804657611,10.0,2.0,60.0,86.0
49.16299421312742,-4.666858371438991,4.666858371438991,27.0,147.0,76.0,143.0
87.92041856133307,33.87081071038881,-33.87081071038881,43.0,70.0,116.0,119.0
95.13148795220224,-39.88268515002736,39.88268515002736,9.0,124.0,82.0,63.0
47.265209192385896,83.92754359279229,-83.92754359279229,9.0,2.0,14.0,49.0
106.06601717798213,-81.86989764584403,81.86989764584403,150.0,111.0,165.0,6.0
61.09828148156051,-21.104838584929638,21.104838584929638,68.0,150.0,125.0,128.0
127.62444906835053,-32.19573393471325,32.19573393471325,2.0,163.0,110.0,95.0
78.79086241436883,-23.96248897457818,23.96248897457818,2.0,187.0,74.0,155.0
59.93329625508679,-25.70995378081126,25.70995378081126,134.0,54.0,188.0,28.0
56.938563381947034,-59.381394591090604,59.381394591090604,39.0,187.0,68.0,138.0
85.90692637965812,-12.094757077012105,12.094757077012105,96.0,30.0,180.0,12.0
83.54639429682169,11.04094018032373,-11.04094018032373,0.0,42.0,82.0,58.0
