b_model_2d_canonical,b_model_2d_current,b_model_top1_canonical,b_model_top1_current,centering_mode,emp_model_x_corr_canonical,emp_model_x_corr_current,emp_model_y_corr_canonical,emp_model_y_corr_current,n_samples,predictor_mode,session,window_id
0.43776412315106406,0.3990544953928778,0.24614232432009603,0.24460128381008625,current,-0.21516553841279787,-0.15382845281281146,-0.6910667542886363,0.6955169561672692,408,emp_xy,Allen_2022-02-16,image_6
0.4402075265693801,0.3982570436201114,0.24341786184894112,0.24200180078063066,current,-0.22568837915596754,-0.1639914281550765,-0.6884493523774398,0.6935649767207908,408,emp_x_negy,Allen_2022-02-16,image_6
0.22546645386008676,0.15513056423826424,0.20292977193342332,0.16219810450820524,current,-0.42247756346165144,-0.3979163187862248,-0.48811011554020367,0.4863432521428275,395,emp_xy,Allen_2022-02-16,image_7
0.2279018522031741,0.1575981048924836,0.20283460675990636,0.16224340757480502,current,-0.4178581228820727,-0.39175031926800674,-0.49988275535795657,0.49389714588983363,395,emp_x_negy,Allen_2022-02-16,image_7
0.41797595006431965,0.3777131500510394,0.6771422868256244,0.6538711491271375,current,-0.14479331487253838,0.19626859087287668,-0.7837431770507615,0.8217824271885952,380,emp_xy,Allen_2022-02-16,image_8
0.41778704396117045,0.3742568288726364,0.6717785114802299,0.6475109884036916,current,-0.1439379188372944,0.20341955597837755,-0.7874123644695395,0.8230615873112203,380,emp_x_negy,Allen_2022-02-16,image_8
0.4496974882192647,0.3880344700354713,0.46352084417613615,0.20400467924775323,current,-0.7879170810778822,-0.7303576267237075,-0.014035008801514473,0.16807527271948453,360,emp_xy,Allen_2022-02-16,image_9
0.45612153172331227,0.39132704728822865,0.4676600498314722,0.20550535209780668,current,-0.7865120139434537,-0.7274305320105454,-0.0002273712717227605,0.15382797416688196,360,emp_x_negy,Allen_2022-02-16,image_9
0.43603421311357293,0.3963926801335046,0.23039447774629843,0.2318604933251186,baseline,-0.2300600450026799,-0.14417243817937175,-0.6895365368959988,0.6889994142959445,408,emp_xy,Allen_2022-02-16,image_6
0.44244684411614693,0.40356611409079635,0.23721377633352753,0.24067606220264692,baseline,-0.2300706341540705,-0.14463419430957775,-0.6949639266560141,0.6963775580120711,408,emp_x_negy,Allen_2022-02-16,image_6
0.208562225394471,0.21066027714138288,0.2604037182607746,0.18212125615925345,baseline,-0.5021403611401267,-0.40491492975614063,-0.4132334304697053,0.5310052296275075,395,emp_xy,Allen_2022-02-16,image_7
0.2088882722606566,0.21366946730300287,0.26730004948685426,0.18553302910592023,baseline,-0.49846380195741663,-0.40182855537258927,-0.41103453073718255,0.5325760279676471,395,emp_x_negy,Allen_2022-02-16,image_7
0.41715995072015977,0.37570621988974084,0.6813003170657805,0.6617236557482402,baseline,-0.1890981183960581,0.1982797245019097,-0.7872020808741258,0.8241706682533833,380,emp_xy,Allen_2022-02-16,image_8
0.41896864789892835,0.37498725373995523,0.6730198532291245,0.6558310400010953,baseline,-0.18236693941904228,0.20163902503694786,-0.7875121116791187,0.8229964823441158,380,emp_x_negy,Allen_2022-02-16,image_8
0.4520953671927611,0.3406307595080354,0.5113133662462146,0.06237353227695874,baseline,-0.7595288089377,-0.6393819831768809,0.03887145137824637,0.22537906206003708,360,emp_xy,Allen_2022-02-16,image_9
0.4472043581433675,0.34006041577040796,0.499420485731668,0.06551307838053662,baseline,-0.7601246416214964,-0.6408334267276015,0.054588069779142774,0.21554768203812774,360,emp_x_negy,Allen_2022-02-16,image_9
