session,stimulus,regime,trial_idx,global_start,global_stop,local_start,local_stop,epoch_start_local,epoch_stop_local,epoch_duration_s,phase,samples_since_event,event_threshold_deg_s,events_in_trial,valid_fraction_trial,n_samples,duration_s,mean_x_deg,mean_y_deg,abs_mean_radius_deg,rms_radius_deg,median_radius_deg,p05_radius_deg,p95_radius_deg,max_radius_deg,cov_xx_deg2,cov_xy_deg2,cov_yy_deg2,cloud_area_deg2,anisotropy,step_mean_deg,step_median_deg,step_p95_deg,speed_mean_deg_s,speed_median_deg_s,speed_p95_deg_s,path_length_deg,path_length_deg_s,direction_persistence,curvature_rad,return_to_center_strength,position_autocorr_lag1,position_autocorr_lag4,velocity_autocorr_lag1,velocity_autocorr_lag4,fraction_within_0p05deg,fraction_within_0p10deg,fraction_within_0p25deg,msd_lag1_deg2,msd_lag2_deg2,msd_lag4_deg2,msd_lag8_deg2,msd_lag16_deg2,diffusion_constant_deg2_s,position_psd_slope_1_30hz,position_high_freq_power_fraction_15_60hz,image_feature_ok,image_feature_error,image_patch_center_x_px,image_patch_center_y_px,image_patch_radius_px,image_patch_fraction_inside_image,image_patch_fraction_background,image_patch_distance_to_image_border_px,image_patch_mean,image_patch_std,image_patch_rms_contrast,image_gradient_energy,image_edge_density,image_orientation_coherence,image_gradient_axis_deg,image_edge_axis_deg,image_gradient_orientation_deg,image_edge_orientation_deg,image_dominant_orientation_deg,image_gradient_axis_array_deg,image_edge_axis_array_deg,image_spectrum_anisotropy,image_spectrum_orientation_deg,image_spectrum_orientation_array_deg,image_high_freq_power_fraction,image_power_0_2_cpd_fraction,image_power_2_4_cpd_fraction,image_power_4_8_cpd_fraction,image_power_8plus_cpd_fraction,drift_orientation_deg,drift_gradient_delta_deg,drift_edge_delta_deg,drift_gradient_cos2,drift_edge_cos2,source_row,salient_contour_axis_deg,salient_contour_score,salient_contour_length_px,salient_contour_coherence,salient_contour_contrast,salient_contour_proximity,salient_contour_ok,salient_contour_error
Allen_2022-02-16,backimage,free_viewing_natural_image,167,302,430,302,430,286,497,1.7583333333333333,mid_fixation,17.0,30.16649723469894,32,1.0,128.0,1.0666666666666669,-2.4475019012511066,-0.9392737873361434,2.621545499167345,0.0330791322303841,0.025963344913361,0.0047654858223249,0.0585551968975147,0.0727101580461792,0.0005156703444561,-8.624520754600486e-05,0.0005871746209512,0.0017073343704429,0.1693110810177118,0.049973783400272,0.0466065900902756,0.0933975706390372,5.996854008032647,5.592790810833075,11.20770847668447,6.346670491834551,5.996854008032647,-0.7130138737712168,2.538250561673302,1.439874197329578,-0.4225016129619985,0.0236000448348448,-0.7130138737712168,-0.0558924848228997,0.9140625,1.0,1.0,0.0030888069899529,0.0012937629084098,0.0020958778193667,0.0020947618566463,0.0018557787393445,0.0,-0.3726007416392643,0.928858439867362,True,,548.2070134914543,395.22724376422514,38.0,1.0,0.0059031877213695,324.77275623577486,92.85073368190253,50.28340142278946,0.5415509268187856,19196.46618316748,0.1344240175409006,0.4317603598408712,58.367899727050926,-31.63210027294907,58.367899727050926,-31.63210027294907,-31.63210027294907,-58.367899727050926,31.63210027294907,0.2985966530756904,63.45246182548441,-63.45246182548441,0.000961183604776,0.6716690325875931,0.1936549503967016,0.0894723983831831,0.0452036186325222,-56.25799544361063,65.37410482933845,-24.625895170661558,-0.6527360802452118,0.6527360802452119,0,,,,,,,False,
Allen_2022-02-16,backimage,free_viewing_natural_image,167,318,446,318,446,286,497,1.7583333333333333,mid_fixation,33.0,30.16649723469894,32,1.0,128.0,1.0666666666666669,-2.4441225360428698,-0.9447765854965806,2.620369776900811,0.0343269249769644,0.0271417078713721,0.006457914511749,0.0587167383352458,0.0735020353558825,0.0004861879321362,-5.114959890716112e-05,0.0007014280964613,0.0018275581580894,0.2006656754912715,0.0482816944194994,0.0442126580133963,0.085971963890622,5.793803330339934,5.305518961607566,10.316635666874642,6.1317751912764304,5.793803330339935,-0.6871918334989269,2.494340068050374,1.3645529603310529,-0.2230570793200842,0.2090330316320027,-0.6871918334989269,-0.0217930649856338,0.8671875,1.0,1.0,0.0028756989104501,0.0013228778036515,0.0018025669540801,0.0018721126809601,0.0017597684420659,0.0,-0.6112664418593307,0.8464164752555663,True,,548.3337557933944,395.4336249225164,38.0,1.0,0.0059031877213695,324.5663750774836,92.85073368190253,50.28340142278946,0.5415509268187856,19196.46618316748,0.1344240175409006,0.4317603598408712,58.367899727050926,-31.63210027294907,58.367899727050926,-31.63210027294907,-31.63210027294907,-58.367899727050926,31.63210027294907,0.2985966530756904,63.45246182548441,-63.45246182548441,0.000961183604776,0.6716690325875931,0.1936549503967016,0.0894723983831831,0.0452036186325222,-77.28961291869551,44.34248735425357,-45.65751264574644,0.0229495060989528,-0.0229495060989531,1,,,,,,,False,
Allen_2022-02-16,backimage,free_viewing_natural_image,167,334,462,334,462,286,497,1.7583333333333333,late_fixation,49.0,30.16649723469894,32,1.0,128.0,1.0666666666666669,-2.440608442941256,-0.9502184000707624,2.619061774679853,0.0346914329120276,0.028798076341854,0.0104487595642317,0.0584589086416714,0.0643187580373476,0.0004992528679292,-7.893150735632948e-05,0.0007137189922178,0.0018588463417468,0.2195446040303041,0.0456178029608654,0.0426590048536906,0.0841610203730002,5.474136355303847,5.119080582442878,10.099322444760032,5.793460976029905,5.474136355303847,-0.6618532661766101,2.4500244051139064,1.206085155725733,-0.0604654009236686,0.3039113663863335,-0.6618532661766101,-0.0132583381644155,0.8515625,1.0,1.0,0.002557185913647,0.0013156545403486,0.001690346509412,0.001725998668938,0.0015958295016296,0.0,-0.721167226453339,0.7605405741421527,True,,548.4655510334721,395.6377189056649,38.0,1.0,0.0059031877213695,324.3622810943351,93.4582560296846,49.882844561460345,0.5337446486468964,18960.443919716647,0.1344240175409006,0.4251830848256115,58.58636788458472,-31.41363211541529,58.58636788458472,-31.41363211541529,-31.41363211541529,-58.58636788458472,31.41363211541529,0.2928525613675164,64.04755312839238,-64.04755312839238,0.0010141066025181,0.6716003714121029,0.1939251350663675,0.0887153294969572,0.0457591640245725,-71.82208418120528,49.591547934209984,-40.40845206579,-0.1595899432075558,0.1595899432075563,2,,,,,,,False,
Allen_2022-02-16,backimage,free_viewing_natural_image,167,350,478,350,478,286,497,1.7583333333333333,late_fixation,65.0,30.16649723469894,32,1.0,128.0,1.0666666666666669,-2.438579431619289,-0.9550983507650403,2.6189468310660216,0.0352986109241703,0.0297518641200157,0.0123259117117097,0.058204945007265,0.0695029348552155,0.0005472376968287,-0.0001027296271081,0.0007085651964509,0.0019294602487366,0.2080167198575586,0.0454396296372298,0.0419601086773952,0.0844411952505047,5.452755556467578,5.035213041287433,10.132943430060566,5.770832963928186,5.452755556467577,-0.6316575589723022,2.4075491214001503,0.8526883355691398,-0.0222586082200292,0.3105540466660769,-0.6316575589723022,-0.0167106342110298,0.8359375,1.0,1.0,0.0025414371922077,0.0014122779379651,0.0017063173297646,0.0016773119712982,0.0016382847616116,0.0,-0.6608043879430502,0.7228264296443294,True,,548.54164862866,395.8207403153779,38.0,1.0,0.0057345252150446,324.1792596846221,93.00927643784787,49.98085734047019,0.5373749664260018,19103.195142519817,0.1334120425029516,0.4333176976428966,57.9719408179121,-32.0280591820879,57.9719408179121,-32.0280591820879,-32.0280591820879,-57.9719408179121,32.0280591820879,0.3009812560111541,63.36256700721115,-63.36256700721115,0.001032310473857,0.6721020959037027,0.1954991901508795,0.0869626758380987,0.045436038107319,-64.0695785739549,57.95848060813301,-32.041519391867,-0.4370680644764436,0.4370680644764435,3,,,,,,,False,
Allen_2022-02-16,backimage,free_viewing_natural_image,167,366,494,366,494,286,497,1.7583333333333333,late_fixation,81.0,30.16649723469894,32,1.0,128.0,1.0666666666666669,-2.437769259046889,-0.9606517112178088,2.620223400899191,0.0356625132006869,0.0313021542004004,0.0118561356912626,0.0598224447140575,0.067884474361293,0.0005324367332727,-6.333014557684792e-05,0.0007493924046565,0.0019744437122075,0.195987273523905,0.0473905753068652,0.0442126580133963,0.0866951062043067,5.686869036823831,5.305518961607566,10.403412744516809,6.018603063971887,5.68686903682383,-0.6546656163240528,2.4453569821744616,1.0873691522959403,-0.0854962259088193,0.3418962383804115,-0.6546656163240528,0.0419139203321682,0.890625,1.0,1.0,0.0027455000540257,0.0013824857177756,0.0016708673396647,0.0019208268278242,0.0017039675819304,0.0,-0.4953103987099821,0.7376169438511662,True,,548.5720339615457,396.02901780062007,38.0,1.0,0.0057345252150446,323.97098219937993,93.00927643784787,49.98085734047019,0.5373749664260018,19103.195142519817,0.1334120425029516,0.4333176976428966,57.9719408179121,-32.0280591820879,57.9719408179121,-32.0280591820879,-32.0280591820879,-57.9719408179121,32.0280591820879,0.3009812560111541,63.36256700721115,-63.36256700721115,0.001032310473857,0.6721020959037027,0.1954991901508795,0.0869626758380987,0.045436038107319,-74.86165400129707,47.166405180790825,-42.83359481920917,-0.075549751409708,0.0755497514097083,4,,,,,,,False,
Allen_2022-02-16,backimage,free_viewing_natural_image,167,1210,1338,1210,1338,1194,1447,2.1083333333333334,mid_fixation,17.0,30.16649723469894,32,1.0,128.0,1.0666666666666669,-1.1582436503694855,-4.761883143011966,4.900720296173079,0.0340386783424973,0.0263951134847361,0.0079119348379236,0.0646582048698738,0.0864305047409849,0.0004854121493199,-0.00012661369646,0.0006823425576321,0.0017637359445015,0.2747059621865255,0.0488162954525672,0.0417439411580065,0.1045497651533728,5.857955454308075,5.009272938960788,12.545971818404746,6.199669522476046,5.857955454308074,-0.6340212910136834,2.4264140006465444,1.412582164311609,-0.4421754088530593,0.1282748982224411,-0.6340212910136834,-0.0220216441954024,0.8828125,1.0,1.0,0.0033316390188284,0.0013030488795649,0.0019929801163727,0.002198849553137,0.0023619747034545,0.0,-0.5368742250508105,0.8365023245685531,True,,596.560342724299,538.5933138104323,38.0,1.0,0.0003373250126496,181.4066861895677,47.51627593186035,27.833100997018526,0.5857592975336001,10747.34828807556,0.1442064429077416,0.3252995679283552,-69.64823435216248,-159.64823435216246,-69.64823435216248,-159.64823435216246,-159.64823435216246,69.64823435216248,159.64823435216246,0.3399132558087481,-72.54832650077202,72.54832650077202,0.0014789805592994,0.5244747810720426,0.239997722785396,0.1388505777701663,0.0966769183723951,-63.93578374485064,5.712450607311837,-84.28754939268819,0.9801851785479788,-0.980185178547979,5,,,,,,,False,
Allen_2022-02-16,backimage,free_viewing_natural_image,167,1226,1354,1226,1354,1194,1447,2.1083333333333334,mid_fixation,33.0,30.16649723469894,32,1.0,128.0,1.0666666666666669,-1.1616531878151,-4.760467901254126,4.900152320860224,0.0338560361655715,0.0262902872538408,0.0069770445069406,0.0615730254886732,0.0888173520941359,0.0004575363741967,-0.0001023704917561,0.000697720253048,0.0017456422261591,0.2731912739277943,0.0493341848103037,0.0417439411580065,0.1027795700089673,5.920102177236448,5.009272938960788,12.333548401076078,6.265441470908572,5.920102177236446,-0.6338738152673498,2.424816037560441,1.3790290051069485,-0.5005205095613421,0.1281979139831396,-0.6338738152673498,0.0096917914291688,0.875,1.0,1.0,0.0034237266904839,0.0013039409658846,0.0019834085148421,0.0020606967393918,0.0023038003092023,0.0,-0.4627228598764981,0.826224741977702,True,,596.4324688196511,538.5402354992295,38.0,1.0,0.0003373250126496,181.4597645007705,47.57699443413729,27.85161481202079,0.5854008761561432,10796.29414741103,0.1450497554393658,0.3196174369415627,-69.43470168887224,-159.43470168887222,-69.43470168887224,-159.43470168887222,-159.43470168887222,69.43470168887224,159.43470168887222,0.3215820261432837,-71.57189788422494,71.57189788422494,0.0015433644279404,0.5224861392834005,0.240308421961256,0.1390294157769767,0.0981760229783669,-69.77729359577759,-0.3425919069053549,89.65740809309463,0.999928495437492,-0.999928495437492,6,,,,,,,False,
Allen_2022-02-16,backimage,free_viewing_natural_image,167,1242,1370,1242,1370,1194,1447,2.1083333333333334,late_fixation,49.0,30.16649723469894,32,1.0,128.0,1.0666666666666669,-1.1638586474395958,-4.760135734505674,4.900352963015807,0.0331640485194319,0.0261499321153164,0.0064926083821346,0.0584702259247457,0.089859416853812,0.0004346308040373,-7.494042187657068e-05,0.0006738835787775,0.0016838306383363,0.2546857253345392,0.0484599752513573,0.0417439411580065,0.1010731603704922,5.815197030162883,5.009272938960788,12.128779244459064,6.154416856922384,5.815197030162882,-0.6404569673310747,2.4352712156677145,1.3300078778008444,-0.5048716064025839,0.0770765265316434,-0.6404569673310747,-0.0029349568942834,0.890625,1.0,1.0,0.0032955177380593,0.0013161619049628,0.0020090740471372,0.002048655560944,0.0023099074854652,0.0,-0.4524705743046185,0.8564126701623476,True,,596.3497535721358,538.5277776629993,38.0,1.0,0.0003373250126496,181.47222233700077,47.57699443413729,27.85161481202079,0.5854008761561432,10796.29414741103,0.1450497554393658,0.3196174369415627,-69.43470168887224,-159.43470168887222,-69.43470168887224,-159.43470168887222,-159.43470168887222,69.43470168887224,159.43470168887222,0.3215820261432837,-71.57189788422494,71.57189788422494,0.0015433644279404,0.5224861392834005,0.240308421961256,0.1390294157769767,0.0981760229783669,-73.96737571051641,-4.532674021644169,85.46732597835582,0.9875092786950436,-0.9875092786950432,7,,,,,,,False,
Allen_2022-02-16,backimage,free_viewing_natural_image,167,1258,1386,1258,1386,1194,1447,2.1083333333333334,late_fixation,65.0,30.16649723469894,32,1.0,128.0,1.0666666666666669,-1.168606294917535,-4.759456499371698,4.900823078007651,0.0299052240948018,0.024461029869731,0.0070097355774829,0.0542451676074459,0.0606097854048392,0.0003935829949179,1.0342268089509404e-05,0.0005077813421255,0.0014040745140745,0.1287564872993162,0.0453421081004482,0.0413527986592942,0.0959923407453443,5.441052972053783,4.962335839115308,11.519080889441328,5.758447728756921,5.441052972053783,-0.6410832395546665,2.435248107936133,1.2370636540420836,-0.5078449667695392,-0.0169830692427768,-0.6410832395546665,-0.0093323532539171,0.9296875,1.0,1.0,0.0026880894507568,0.0012887709431085,0.001819303213106,0.0017531688801618,0.0021443987302396,0.0001567422110515,-0.336685284298942,0.909675032828469,True,,596.1716941636151,538.5023031081246,38.0,1.0,0.0003373250126496,181.49769689187545,47.57699443413729,27.85161481202079,0.5854008761561432,10796.29414741103,0.1450497554393658,0.3196174369415627,-69.43470168887224,-159.43470168887222,-69.43470168887224,-159.43470168887222,-159.43470168887222,69.43470168887224,159.43470168887222,0.3215820261432837,-71.57189788422494,71.57189788422494,0.0015433644279404,0.5224861392834005,0.240308421961256,0.1390294157769767,0.0981760229783669,84.86671426958105,-25.69858404154673,64.30141595845326,0.6239182235924481,-0.623918223592448,8,,,,,,,False,
Allen_2022-02-16,backimage,free_viewing_natural_image,167,1274,1402,1274,1402,1194,1447,2.1083333333333334,late_fixation,81.0,30.16649723469894,32,1.0,128.0,1.0666666666666669,-1.172867889945277,-4.758730650398548,4.901136244821936,0.0312553415838885,0.0256208541903668,0.0087960040272366,0.0538836163613385,0.0822257783344427,0.0004545130371375,1.5296992683270244e-05,0.0005300754378488,0.0015412776480471,0.0827969967108902,0.0463091741801615,0.0418401524295576,0.0959923407453443,5.55710090161939,5.020818291546912,11.519080889441328,5.881265120880519,5.557100901619388,-0.6412055351804075,2.432016477784795,1.2563367892510278,-0.4488318055132077,0.0305282690103084,-0.6412055351804075,-0.0476662110118332,0.921875,1.0,1.0,0.0027711145739065,0.0013222692452266,0.0018524407263912,0.0017757014321468,0.0022083065701875,0.0001610828131804,-0.3046940238426848,0.9399452766957264,True,,596.0118640385858,538.4750803121115,38.0,1.0,0.0003373250126496,181.5249196878885,47.09799291617473,27.88084562430896,0.5919752266716803,10641.780401416763,0.1440377804014167,0.3266391777726777,-70.17583479193614,-160.17583479193613,-70.17583479193614,-160.17583479193613,-160.17583479193613,70.17583479193614,160.17583479193613,0.3321445568612907,-72.66159807819008,72.66159807819008,0.0017961415679528,0.5157239657318979,0.2561683864308437,0.1300885862060141,0.0980190616312439,78.97888832931397,-30.845276878749875,59.15472312125008,0.4742333651731288,-0.4742333651731272,9,,,,,,,False,
