source_row,session,trial_idx,image_edge_axis_deg,wta_edge_axis_deg,wta_peak_fraction,salient_axis_deg,salient_axis_array_deg,salient_score,salient_length_px,salient_coherence,salient_contrast,salient_center_distance_px,salient_proximity,salient_n_edge_pixels,salient_component_label,salient_ok,salient_error,salient_n_components,salient_average_abs_delta_deg,salient_wta_abs_delta_deg
385,Allen_2022-02-18,294,-179.88340654058447,-2.344620723846294,0.1708101759572792,-60.74226068133157,60.74226068133157,1.0945563994860887,74.2559962115227,0.06183295155218845,0.6338678903402086,1.2316190449665487,0.9955681534682324,1883,1,True,,1,60.85885414074712,58.39763995748528
502,Allen_2022-02-18,433,-16.758964762957973,-12.616705806084685,0.0674449452703922,72.71477513811539,-72.71477513811537,4.460511924966403,66.55138367290763,0.2027580762503548,0.6519120578099518,7.000365226700573,0.8663249327710415,1209,1,True,,1,89.47373990107336,85.33148094420007
880,Allen_2022-02-24,492,-94.00467205069565,87.35714924889231,0.1815424768607627,-55.04799710005642,55.04799710005642,2.56497909496296,73.7152140617781,0.131034172978112,0.5422452445057573,1.0262773147358404,0.9969206716708566,2085,1,True,,1,38.956674950639226,37.59485365105126
986,Allen_2022-02-24,547,-14.973082190480389,-7.220540970725451,0.0953436197149686,39.6456680170738,-39.64566801707381,9.096730223486414,76.32075648652989,0.34010403441425985,0.6471725348277712,9.848241095333071,0.752769071406401,1365,1,True,,1,54.61875020755419,46.866208987799254
991,Allen_2022-02-24,547,-14.663883292284758,-7.218523702971774,0.0891182768289261,38.19981957978305,-38.19981957978306,8.899454711460116,76.87644659656735,0.3373167448574153,0.6524730495406578,10.396098940542208,0.7287145748599811,1303,1,True,,1,52.86370287206781,45.418343282754826
1410,Allen_2022-03-02,531,-171.68770575520955,-1.6423408328065456,0.1392523360011836,55.85813057051075,-55.85813057051076,3.4430066075907355,72.13294996426036,0.14763317752700056,0.6415626427612122,2.516041243672737,0.9816340832926242,1150,1,True,,1,47.54583632572031,57.5004714033173
1976,Allen_2022-03-30,353,-15.60163640187194,-7.893876430731082,0.2618442997837961,-17.391858330410884,17.391858330410884,16.078684118122265,68.18472286440685,0.5280562301011762,0.8978699328304427,14.175921655923146,0.5551953518895643,476,1,True,,3,1.7902219285389442,9.497981899679804
2023,Allen_2022-03-30,434,-165.12053785646077,7.064979670659915,0.0680524393888471,38.36222619384765,-38.36222619384765,2.995287396928427,74.58663266642664,0.1379598755534139,0.5866855747607616,1.746304674414742,0.9911100670407138,1917,1,True,,1,23.482764050308404,31.297246523187727
2085,Allen_2022-03-30,485,-177.6912011543155,7.064811147132687,0.1127898791302677,-20.80501021640015,20.80501021640015,4.25355830578354,68.15755468623597,0.27327622523675865,0.7014159613173326,17.05477584148492,0.4266877302429167,788,1,True,,2,23.11380906208465,27.869821363532836
2444,Allen_2022-04-01,424,-176.90694204581726,2.691488960406702,0.1208002657615685,2.8293497556443583,-2.8293497556443583,7.175296834933074,68.80729274406161,0.3075920004365033,0.6886903027985841,11.069692107585706,0.6985055482127691,1153,2,True,,2,0.2637081985383872,0.13786079523765649
